V_G_V,I_D_A_per_um
-1.125269655481748288e+00,1.754469792555518085e-10
-1.083121524737107322e+00,4.852765510156051593e-10
-1.081925429134894312e+00,1.845421913774068467e-09
-9.773524993414346440e-01,9.637549534754830878e-09
-9.150416141594917008e-01,1.602307761809075651e-08
-8.734060958157994214e-01,2.500186081690405763e-08
-7.694596922901659752e-01,6.486016409603261097e-08
-6.657411164982858232e-01,1.304629823512881305e-07
-6.241625550880316453e-01,1.910247263165105535e-07
-5.617947129726532651e-01,3.384488260986250682e-07
-4.990281723232006250e-01,9.359771082740782480e-07
-3.331695821496958310e-01,2.586315253736264622e-06
-4.422705881515165416e-02,3.546543397460518294e-06
1.002726813188390409e-01,4.287254288791598667e-06
5.745530660629247777e-01,4.551618399514225343e-06
8.838292146350852363e-01,4.540439590354065291e-06
8.838292146350852363e-01,4.540439590354065291e-06
1.316872779569549401e+00,4.821996547198140515e-06
