V_G_V,I_D
-3.495475483599961741e+00,1.610729079593652349e-10
-3.437188438245071698e+00,1.582407078256415804e-10
-3.378901392890182098e+00,1.549077257358909535e-10
-3.320614347535292055e+00,1.509696233820707881e-10
-3.262327302180402455e+00,1.464755058539970367e-10
-3.204040256825512412e+00,1.414814110630895363e-10
-3.145753211470622368e+00,1.361291871823481421e-10
-3.087466166115732769e+00,1.304169168221662474e-10
-3.029179120760842725e+00,1.248606406078372363e-10
-2.970892075405953126e+00,1.194609986979906539e-10
-2.912605030051063082e+00,1.135072391335113258e-10
-2.854317984696173482e+00,1.072634652406272052e-10
-2.796030939341283439e+00,1.006410896744484360e-10
-2.737743893986393395e+00,9.372823405573775355e-11
-2.679456848631503796e+00,8.741864462933314912e-11
-2.621169803276613752e+00,8.119758385637616750e-11
-2.562882757921723709e+00,7.367045316104994470e-11
-2.504595712566834109e+00,6.552793444435854462e-11
-2.446308667211944510e+00,5.750762746783922502e-11
-2.388021621857054022e+00,5.051442507224710218e-11
-2.329734576502164423e+00,4.461552912137662593e-11
-2.271447531147274823e+00,3.972559960465745422e-11
-2.213160485792384780e+00,3.468372216424425209e-11
-2.154873440437494736e+00,3.026535310222075886e-11
-2.096586395082605137e+00,2.627143644994654724e-11
-2.038299349727715093e+00,2.306444730388515828e-11
-1.980012304372825271e+00,2.049830981648303784e-11
-1.921725259017935450e+00,1.838807154708466061e-11
-1.863438213663045628e+00,1.613521208167646377e-11
-1.805151168308155807e+00,1.412862718235480587e-11
-1.746864122953265763e+00,1.234559559229841385e-11
-1.688577077598375942e+00,1.107083086836881382e-11
-1.630290032243486120e+00,9.497334342595132844e-12
-1.572002986888596299e+00,8.180264917601865973e-12
-1.513715941533706477e+00,7.096674728176768354e-12
-1.455428896178816434e+00,6.150633691414143255e-12
-1.397141850823926834e+00,4.960592976886754216e-12
-1.338854805469036791e+00,4.047218666689756065e-12
-1.280567760114146747e+00,3.254610125700418490e-12
-1.222280714759257148e+00,2.579648297886268835e-12
-1.163993669404367104e+00,2.015307189012864686e-12
-1.105706624049477504e+00,1.612401724360329340e-12
-1.047419578694587461e+00,1.274963160482601866e-12
-9.891325333396974173e-01,9.963556798837794858e-13
-9.308454879848078178e-01,7.217326450595629288e-13
-8.725584426299177743e-01,5.040965365234333792e-13
-8.142713972750281748e-01,3.592314906191863877e-13
-7.559843519201381312e-01,2.611911214144846748e-13
-6.976973065652485317e-01,1.937607212754719846e-13
-6.394102612103584882e-01,1.466548390853507913e-13
-5.811232158554684446e-01,1.136999270136448243e-13
-5.228361705005788451e-01,1.119433662824914693e-13
-4.645491251456888016e-01,1.368780225848724142e-13
-4.062620797907992021e-01,2.002967369709892959e-13
-3.479750344359091585e-01,3.809292149198106302e-13
-2.896879890810191149e-01,8.142351767384322533e-13
-2.314009437261295155e-01,1.914561341959049002e-12
-1.731138983712394719e-01,5.135791384115159428e-12
-1.148268530163498724e-01,1.617906242109682884e-11
-5.653980766145982884e-02,5.388862219298912763e-11
1.747237693430214733e-03,1.575275363080930840e-10
6.003428304831981421e-02,4.249557994880139789e-10
1.183213284032098578e-01,1.164698849629992977e-09
1.766083737580994573e-01,2.929182886149230501e-09
2.348954191129895008e-01,6.913731073306817328e-09
2.931824644678795444e-01,1.547295016877028532e-08
3.514695098227691439e-01,3.166092523585951443e-08
4.097565551776591874e-01,5.737362680615592602e-08
4.680436005325487869e-01,1.019784545450636708e-07
5.263306458874383864e-01,1.727044298429256881e-07
5.846176912423288741e-01,2.705946098059706758e-07
6.429047365972184735e-01,3.942214768860983182e-07
7.011917819521080730e-01,5.503462910780009814e-07
7.594788273069985607e-01,7.389906729715849907e-07
8.177658726618881602e-01,9.651811897515525772e-07
8.760529180167777596e-01,1.226155981552105282e-06
9.343399633716682473e-01,1.506438674364158512e-06
9.926270087265578468e-01,1.794761819871028801e-06
1.050914054081447446e+00,2.075350341833355302e-06
1.109201099436337046e+00,2.332644559470407664e-06
1.167488144791227533e+00,2.548521279650288833e-06
1.225775190146117133e+00,2.755947813656004849e-06
1.284062235501006732e+00,2.956584871726291428e-06
1.342349280855897220e+00,3.146634838038372320e-06
1.400636326210786820e+00,3.322301011396821283e-06
1.458923371565676419e+00,3.510174785183881732e-06
1.517210416920566907e+00,3.698486755388477428e-06
1.575497462275456506e+00,3.880642695110692100e-06
1.633784507630346106e+00,4.054782013494312750e-06
1.692071552985235705e+00,4.218962129968979349e-06
1.750358598340126193e+00,4.367557470647435141e-06
1.808645643695015792e+00,4.495943674156842811e-06
1.866932689049905392e+00,4.602060535352703717e-06
1.925219734404795879e+00,4.684174057588970167e-06
1.983506779759685479e+00,4.740923570164392529e-06
2.041793825114575078e+00,4.788437913498611412e-06
2.100080870469464678e+00,4.833336616210506965e-06
2.158367915824355165e+00,4.875537477873169473e-06
2.216654961179244765e+00,4.914962751096712991e-06
2.274942006534134364e+00,4.948009213717259200e-06
2.333229051889024852e+00,4.977288783937185465e-06
2.391516097243914452e+00,5.002732137556308774e-06
2.449803142598804051e+00,5.024278809230284551e-06
2.508090187953694539e+00,5.041877431885898987e-06
2.566377233308584138e+00,5.055468424312347574e-06
2.624664278663473738e+00,5.065010618048724698e-06
2.682951324018363337e+00,5.070480975423599597e-06
2.741238369373253825e+00,5.071866276312367696e-06
2.799525414728143424e+00,5.073154401597799490e-06
2.857812460083033024e+00,5.074416782088936090e-06
2.916099505437923511e+00,5.076562853388650536e-06
2.974386550792813111e+00,5.081647878340295497e-06
3.032673596147702710e+00,5.089680687141770110e-06
3.090960641502593198e+00,5.100692913926064669e-06
3.149247686857482798e+00,5.114712393715270921e-06
3.207534732212372397e+00,5.131763779318570513e-06
3.265821777567261996e+00,5.148739447430192772e-06
3.324108822922152484e+00,5.165638272020237374e-06
3.382395868277042084e+00,5.182459129293480197e-06
3.440682913631931683e+00,5.198269472496222464e-06
