V_G_V,I_D
-1.125269655481748288e+00,1.602307761809075651e-08
-1.104747450145182830e+00,1.602307761809075651e-08
-1.084225244808617150e+00,1.602307761809075651e-08
-1.063703039472051692e+00,1.602307761809075651e-08
-1.043180834135486235e+00,1.612676516661007439e-08
-1.022658628798920555e+00,1.636379814168955908e-08
-1.002136423462355097e+00,1.674003999854053165e-08
-9.816142181257896393e-01,1.731776354353443194e-08
-9.610920127892240705e-01,1.813503163512527850e-08
-9.405698074526585017e-01,1.934607659533826608e-08
-9.200476021160930440e-01,2.107411876196643276e-08
-8.995253967795274752e-01,2.344163385760990181e-08
-8.790031914429619064e-01,2.662614349801229896e-08
-8.584809861063964487e-01,3.068380878380997497e-08
-8.379587807698308799e-01,3.568299023771820127e-08
-8.174365754332653111e-01,4.179750097292971826e-08
-7.969143700966998534e-01,4.916421211413598644e-08
-7.763921647601343956e-01,5.801352852243481520e-08
-7.558699594235688268e-01,6.823921672362562929e-08
-7.353477540870032581e-01,8.009306006317034792e-08
-7.148255487504378003e-01,9.400603609304981154e-08
-6.943033434138722315e-01,1.103358370245540761e-07
-6.737811380773066627e-01,1.295022898301851509e-07
-6.532589327407412050e-01,1.525575606067225539e-07
-6.327367274041756362e-01,1.822987225496903500e-07
-6.122145220676100674e-01,2.225922427967068718e-07
-5.916923167310446097e-01,2.777236956373414026e-07
-5.711701113944790409e-01,3.501506398166120077e-07
-5.506479060579134721e-01,4.393670892842664522e-07
-5.301257007213480144e-01,5.475034165698425297e-07
-5.096034953847824456e-01,6.775367491168283726e-07
-4.890812900482169878e-01,8.326559507588346545e-07
-4.685590847116514190e-01,1.016213678048401123e-06
-4.480368793750858503e-01,1.220975358469652890e-06
-4.275146740385203925e-01,1.433666939240834508e-06
-4.069924687019548237e-01,1.637573055867081353e-06
-3.864702633653893660e-01,1.827357542084306040e-06
-3.659480580288237972e-01,2.015857683022437015e-06
-3.454258526922582284e-01,2.198415100696228182e-06
-3.249036473556927707e-01,2.370134657947890657e-06
-3.043814420191272019e-01,2.526095908572988805e-06
-2.838592366825616331e-01,2.661583785162326671e-06
-2.633370313459961753e-01,2.772323720051407892e-06
-2.428148260094306066e-01,2.854704973452175515e-06
-2.222926206728650378e-01,2.919446227452513831e-06
-2.017704153362995800e-01,2.985655734742946361e-06
-1.812482099997340113e-01,3.053366793531200610e-06
-1.607260046631685535e-01,3.122613457188058653e-06
-1.402037993266029847e-01,3.193430551373520105e-06
-1.196815939900375270e-01,3.264803195324180587e-06
-9.915938865347184716e-02,3.334451007342044454e-06
-7.863718331690638941e-02,3.402197159900563500e-06
-5.811497798034093165e-02,3.467866876986319879e-06
-3.759277264377525185e-02,3.531288178010691322e-06
-1.707056730720979409e-02,3.592292622417754979e-06
3.451638029355663662e-03,3.650716050517818803e-06
2.397384336592134346e-02,3.705311333636154191e-06
4.449604870248680122e-02,3.753074923796797005e-06
6.501825403905225897e-02,3.794943915334924908e-06
8.554045937561771673e-02,3.833289031206801315e-06
1.060626647121833965e-01,3.867994500607860510e-06
1.265848700487488543e-01,3.898954853614540917e-06
1.471070753853143120e-01,3.926075455056847761e-06
1.676292807218799918e-01,3.949272986383532791e-06
1.881514860584454496e-01,3.968475872086663254e-06
2.086736913950109074e-01,3.984794350537713872e-06
2.291958967315765872e-01,4.001179931006660280e-06
2.497181020681420449e-01,4.017632889418771033e-06
2.702403074047075027e-01,4.034153502833950047e-06
