V_G_V,I_D
-3.495475483599961741e+00,4.946741974480218759e-10
-3.145361213752250862e+00,3.160386034326011686e-10
-2.857842613753674321e+00,1.377626693137172240e-10
-2.569014004286008124e+00,6.841068151360225687e-11
-2.343407590935302931e+00,6.397417363000603355e-11
-2.034416227030336088e+00,2.308377962492054805e-11
-1.685156311184204725e+00,8.873416661335122964e-12
-1.427255316573754929e+00,6.040880790857828276e-12
-1.180318531650254910e+00,3.511081847128450861e-12
-9.239268957759305678e-01,7.859308791657663475e-13
-6.681333077027131750e-01,9.021413057216146072e-14
-4.323885601999182260e-01,2.086002420811485212e-14
-1.800123881330222275e-01,4.942202764729183153e-12
7.253465473419051790e-02,1.510902187290870645e-09
3.436496579024197473e-01,4.677490202598077242e-08
6.756801013833433345e-01,5.067315846315341738e-07
8.828609467666268529e-01,1.539883926012825769e-06
1.110119111187055196e+00,2.556805721944017081e-06
1.399004677588159495e+00,3.290011637058094621e-06
1.708736481627831871e+00,5.459116888239847779e-06
1.976775810390369870e+00,5.447495035899126140e-06
2.450828367400701424e+00,4.484220844979461466e-06
2.760218429839740750e+00,5.080041686667608798e-06
3.131349808126331347e+00,5.065073421307018150e-06
3.440682913631931683e+00,5.384457028041129637e-06
