V_G_V,I_D
-3.500000000000000000e+00,3.979999999999998147e-10
-3.100000000000000089e+00,2.000000000000000331e-10
-2.700000000000000178e+00,1.000000000000000036e-10
-2.299999999999999822e+00,5.010000000000001957e-11
-1.899999999999999911e+00,2.510000000000001543e-11
-1.500000000000000000e+00,1.260000000000001336e-11
-1.100000000000000089e+00,6.310000000000013301e-12
-9.114999999999999769e-01,1.581138830084189596e-08
-7.175000000000000266e-01,9.185314365877750363e-08
-5.304999999999999716e-01,5.624659989723830452e-07
-3.330000000000000182e-01,2.590000000000000613e-06
2.800000000000000405e-02,3.902499199231179502e-06
5.749999999999999556e-01,4.550000000000002176e-06
8.840000000000000080e-01,4.539999999999998884e-06
1.316999999999999948e+00,4.820000000000000438e-06
