Vg_V,P_uC_cm2,E_MV_cm
4.0,-3.9074406596519995,-0.333257693045303
3.975,-3.89723095406544,-0.326617172726956
3.95,-3.8868947317242397,-0.32000518356481494
3.925,-3.8764317538903503,-0.31342178634415896
3.9,-3.86584180775044,-0.30686703621507194
3.875,-3.8551247065026395,-0.300340982771407
3.85,-3.8442802892573003,-0.293843670030939
3.825,-3.83330842097326,-0.287375136457176
3.8,-3.82220899236804,-0.28093541498318403
3.775,-3.81098191980529,-0.274524533039166
3.75,-3.79962714516152,-0.268142512584711
3.725,-3.7881446356727,-0.26178937014558096
3.7,-3.7765343837613004,-0.255465116854932
3.675,-3.76479640684439,-0.249169758498829
3.65,-3.7529307471233904,-0.242903295565928
3.625,-3.74093747135616,-0.236665723301182
3.6,-3.72881667061207,-0.230457031763428
3.575,-3.71656846001085,-0.224277205886717
3.55,-3.7041929784457897,-0.218126225545214
3.525,-3.6916903882921797,-0.21200406562154198
3.5,-3.67906087510162,-0.205910696078379
3.475,-3.66630464728303,-0.199846082033176
3.45,-3.65342193577109,-0.193810183835822
3.425,-3.6404129936829,-0.187802957149093
3.4,-3.62727809596372,-0.18182435303172698
3.375,-3.61401753902238,-0.17587431802395098
3.35,-3.6006316403573697,-0.16995279423531498
3.325,-3.58712073817426,-0.16405971943464498
3.3,-3.57348519099525,-0.158195027141982
3.275,-3.55972537726166,-0.15235864672232
3.25,-3.54584169493013,-0.146550503481007
3.225,-3.53183456106564,-0.140770518761612
3.2,-3.51770441142508,-0.135018610043168
3.175,-3.5034517000368703,-0.129294691038749
3.15,-3.48907689878168,-0.123598671796849
3.125,-3.47458049696816,-0.117930458802705
3.1,-3.4599630009071403,-0.112289955080493
3.075,-3.44522493348446,-0.10667706029611398
3.05,-3.43036683373338,-0.10109167086047299
3.025,-3.4153892564071002,-0.09553368003313178
3.0,-3.4002927715520697,-0.0900029780262136
2.975,-3.38507796408275,-0.0844994521084439
2.95,-3.36974543335845,-0.079022986709212
2.925,-3.3542957927627604,-0.0735734635225488
2.9,-3.33872966928622,-0.0681507616109245
2.875,-3.32304770311282,-0.0627547575087603
2.85,-3.30725054721074,-0.0573853253255764
2.825,-3.29133886692806,-0.0520423368486784
2.8,-3.27531333959376,-0.046725661645327
2.775,-3.2591746541248403,-0.0414351671643418
2.75,-3.2429235106391503,-0.036170718836850496
2.725,-3.22656062007559,-0.0309321801764763
2.7,-3.21008673284343,-0.0257194220087206
2.675,-3.19350263746529,-0.0205323217364668
2.65,-3.17680907803115,-0.015370737693479098
2.625,-3.16000680661472,-0.0102345262590161
2.6,-3.14309658436256,-0.00512354240727272
2.575,-3.12607918116721,-3.7639802137356e-05
2.55,-3.10895537535015,0.00502332910905693
2.525,-3.09172595335487,0.0100595130028039
2.5,-3.07439170945068,0.0150710615877293
2.475,-3.05695344544732,0.0200581255139302
2.45,-3.039411970421,0.025020856283346396
2.425,-3.02176810045214,0.0299594061611526
2.4,-3.0040226583751704,0.0348739280881591
2.375,-2.98617647354087,0.0397645755941948
2.35,-2.9682303815915496,0.0446315027124479
2.325,-2.95018522424951,0.0494748638947271
2.3,-2.93204184911928,0.0542948139275985
2.275,-2.9138011095039102,0.05909150784935859
2.25,-2.89546386423599,0.0638651008677722
2.225,-2.87703097752363,0.0686157482785372
2.2,-2.85850331881613,0.0733436053833705
2.175,-2.83988176268686,0.0780488274084298
2.15,-2.821167188708,0.0827315694294913
2.125,-2.80236048137255,0.0873919862898282
2.1,-2.78346253002515,0.09203023252074939
2.075,-2.76447422881096,0.0966464622625076
2.05,-2.7453964766439403,0.10124082918522899
2.025,-2.72623017719568,0.105813486409718
2.0,-2.70697623890563,0.110364586427986
1.975,-2.68763557501364,0.114894281023335
1.95,-2.66820910361622,0.119402721189805
1.925,-2.64869774774754,0.12389005705077599
1.9,-2.6291024354864003,0.128356437776576
1.875,-2.60942410009112,0.132802011500744
1.85,-2.5896636801636803,0.137226925234742
1.825,-2.56982211984511,0.141631324780813
1.8,-2.54990036904407,0.146015354642694
1.775,-2.5298993837009602,0.150379157933792
1.75,-2.5098201260901503,0.154722876282438
1.725,-2.4896635846944797,0.159046645561695
1.7,-2.4694309096985396,0.163350567339986
1.675,-2.44912312427559,0.167634770865041
1.65,-2.42874121840652,0.171899392300356
1.625,-2.40828619105673,0.17614456564550798
1.6,-2.3877590507834,0.18037042261776598
1.575,-2.3671608164066003,0.184577092526886
1.55,-2.34649251774999,0.188764702142285
1.525,-2.32575519645731,0.19293337555172
1.5,-2.30494990689174,0.19708323401046499
1.475,-2.28407771712601,0.201214395779901
1.45000000000001,-2.2631397100320902,0.205326975954263
1.42500000000001,-2.24213698448046,0.209421086274174
1.40000000000001,-2.22107065666019,0.21349683492539298
1.37500000000001,-2.19994186153238,0.217554326321044
1.35000000000001,-2.1787517544315302,0.22159366086532498
1.32500000000001,-2.15750151283078,0.22561493469647098
1.30000000000001,-2.13619233828969,0.229618239406446
1.27500000000001,-2.11482545860544,0.23360366173445
1.25000000000001,-2.09340213019146,0.237571283230972
1.22500000000001,-2.07192364071082,0.241521179888632
1.20000000000001,-2.05039131199588,0.245453421735495
1.17500000000001,-2.02880650329034,0.249368072385901
1.15000000000001,-2.00717061485536,0.253265188543102
1.12500000000001,-1.9854850919881601,0.257144819447071
1.10000000000001,-1.9637514295092497,0.26100700625979
1.07500000000001,-1.9419711767837002,0.264851781379029
1.05000000000001,-1.9201459433533,0.26867916767007394
1.02500000000001,-1.89827740526996,0.27248917760299696
1.00000000000001,-1.87636731223705,0.276281812280758
0.975000000000007,-1.8544174956859,0.280057060340638
0.950000000000007,-1.83242987793933,0.28381489670800897
0.925000000000007,-1.81040648264544,0.28755528117714196
0.900000000000007,-1.78834944670339,0.291278156788283
0.875000000000007,-1.76626103395284,0.29498344796329995
0.850000000000007,-1.7441436509613601,0.298671058353347
0.825000000000007,-1.7219998653263,0.30234086834041696
0.800000000000007,-1.69983242701422,0.305992732119589
0.775000000000007,-1.67764429340259,0.309626474268703
0.750000000000008,-1.65543865887776,0.31324188568535694
0.725000000000008,-1.63321899009888,0.316838718734755
0.700000000000008,-1.61098906838683,0.320416681402259
0.675000000000008,-1.58875304117807,0.323975430176076
0.650000000000008,-1.56651548514807,0.327514561290964
0.625000000000008,-1.54428148453143,0.331033599832925
0.600000000000008,-1.52205672943355,0.33453198602532697
0.575000000000008,-1.49984764066908,0.338009057771478
0.550000000000008,-1.4776615299429101,0.34146402820968697
0.525000000000008,-1.45550680718341,0.344895956620776
0.500000000000008,-1.4333932501976199,0.34830371057237597
0.475000000000009,-1.41133235576971,0.35168591665507604
0.450000000000009,-1.3893377946251702,0.355040896753657
0.425000000000009,-1.3674259957453199,0.358366586431273
0.400000000000009,-1.3456168894498999,0.36166043151287297
0.375000000000009,-1.32393484963238,0.36491925741403003
0.350000000000009,-1.3024099058697,0.36813910137400696
0.325000000000009,-1.28107936168674,0.371314988281199
0.300000000000009,-1.25999006699056,0.374440614804842
0.275000000000009,-1.23920175431758,0.377507883745091
0.250000000000009,-1.2187920742894098,0.38050619896173793
0.225000000000009,-1.1988643065062499,0.383421383617733
0.20000000000001,-1.17955925865852,0.386234009213939
