Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc
4,3.90744,0.333258,0.238041
3.975,3.89723,0.326617,0.233298
3.95,3.88689,0.320005,0.228575
3.925,3.87643,0.313422,0.223873
3.9,3.86584,0.306867,0.219191
3.875,3.85512,0.300341,0.214529
3.85,3.84428,0.293844,0.209888
3.825,3.83331,0.287375,0.205268
3.8,3.82221,0.280935,0.200668
3.775,3.81098,0.274525,0.196089
3.75,3.79963,0.268143,0.19153
3.725,3.78814,0.261789,0.186992
3.7,3.77653,0.255465,0.182475
3.675,3.7648,0.24917,0.177978
3.65,3.75293,0.242903,0.173502
3.625,3.74094,0.236666,0.169047
3.6,3.72882,0.230457,0.164612
3.575,3.71657,0.224277,0.160198
3.55,3.70419,0.218126,0.155804
3.525,3.69169,0.212004,0.151431
3.5,3.67906,0.205911,0.147079
3.475,3.6663,0.199846,0.142747
3.45,3.65342,0.19381,0.138436
3.425,3.64041,0.187803,0.134145
3.4,3.62728,0.181824,0.129875
3.375,3.61402,0.175874,0.125625
3.35,3.60063,0.169953,0.121395
3.325,3.58712,0.16406,0.117186
3.3,3.57349,0.158195,0.112996
3.275,3.55973,0.152359,0.108828
3.25,3.54584,0.146551,0.104679
3.225,3.53183,0.140771,0.10055
3.2,3.5177,0.135019,0.0964419
3.175,3.50345,0.129295,0.0923534
3.15,3.48908,0.123599,0.0882848
3.125,3.47458,0.11793,0.084236
3.1,3.45996,0.11229,0.0802071
3.075,3.44522,0.106677,0.0761979
3.05,3.43037,0.101092,0.0722083
3.025,3.41539,0.0955337,0.0682383
3,3.40029,0.090003,0.0642878
2.975,3.38508,0.0844995,0.0603568
2.95,3.36975,0.079023,0.056445
2.925,3.3543,0.0735735,0.0525525
2.9,3.33873,0.0681508,0.0486791
2.875,3.32305,0.0627548,0.0448248
2.85,3.30725,0.0573853,0.0409895
2.825,3.29134,0.0520423,0.0371731
2.8,3.27531,0.0467257,0.0333755
2.775,3.25917,0.0414352,0.0295965
2.75,3.24292,0.0361707,0.0258362
2.725,3.22656,0.0309322,0.0220944
2.7,3.21009,0.0257194,0.018371
2.675,3.1935,0.0205323,0.0146659
2.65,3.17681,0.0153707,0.0109791
2.625,3.16001,0.0102345,0.00731038
2.6,3.1431,0.00512354,0.00365967
2.575,3.12608,3.76398e-05,2.68856e-05
2.55,3.10896,-0.00502333,-0.00358809
2.525,3.09173,-0.0100595,-0.00718537
2.5,3.07439,-0.0150711,-0.010765
2.475,3.05695,-0.0200581,-0.0143272
2.45,3.03941,-0.0250209,-0.017872
2.425,3.02177,-0.0299594,-0.0213996
2.4,3.00402,-0.0348739,-0.0249099
2.375,2.98618,-0.0397646,-0.0284033
2.35,2.96823,-0.0446315,-0.0318796
2.325,2.95019,-0.0494749,-0.0353392
2.3,2.93204,-0.0542948,-0.038782
2.275,2.9138,-0.0590915,-0.0422082
2.25,2.89546,-0.0638651,-0.0456179
2.225,2.87703,-0.0686157,-0.0490112
2.2,2.8585,-0.0733436,-0.0523883
2.175,2.83988,-0.0780488,-0.0557492
2.15,2.82117,-0.0827316,-0.059094
2.125,2.80236,-0.087392,-0.0624228
2.1,2.78346,-0.0920302,-0.0657359
2.075,2.76447,-0.0966465,-0.0690332
2.05,2.7454,-0.101241,-0.0723149
2.025,2.72623,-0.105813,-0.0755811
2,2.70698,-0.110365,-0.0788318
1.975,2.68764,-0.114894,-0.0820673
1.95,2.66821,-0.119403,-0.0852877
1.925,2.6487,-0.12389,-0.0884929
1.9,2.6291,-0.128356,-0.0916832
1.875,2.60942,-0.132802,-0.0948586
1.85,2.58966,-0.137227,-0.0980192
1.825,2.56982,-0.141631,-0.101165
1.8,2.5499,-0.146015,-0.104297
1.775,2.5299,-0.150379,-0.107414
1.75,2.50982,-0.154723,-0.110516
1.725,2.48966,-0.159047,-0.113605
1.7,2.46943,-0.163351,-0.116679
1.675,2.44912,-0.167635,-0.119739
1.65,2.42874,-0.171899,-0.122785
1.625,2.40829,-0.176145,-0.125818
1.6,2.38776,-0.18037,-0.128836
1.575,2.36716,-0.184577,-0.131841
1.55,2.34649,-0.188765,-0.134832
1.525,2.32576,-0.192933,-0.13781
1.5,2.30495,-0.197083,-0.140774
1.475,2.28408,-0.201214,-0.143725
1.45,2.26314,-0.205327,-0.146662
1.425,2.24214,-0.209421,-0.149586
1.4,2.22107,-0.213497,-0.152498
1.375,2.19994,-0.217554,-0.155396
1.35,2.17875,-0.221594,-0.158281
1.325,2.1575,-0.225615,-0.161154
1.3,2.13619,-0.229618,-0.164013
1.275,2.11483,-0.233604,-0.16686
1.25,2.0934,-0.237571,-0.169694
1.225,2.07192,-0.241521,-0.172515
1.2,2.05039,-0.245453,-0.175324
1.175,2.02881,-0.249368,-0.17812
1.15,2.00717,-0.253265,-0.180904
1.125,1.98549,-0.257145,-0.183675
1.1,1.96375,-0.261007,-0.186434
1.075,1.94197,-0.264852,-0.18918
1.05,1.92015,-0.268679,-0.191914
1.025,1.89828,-0.272489,-0.194635
1,1.87637,-0.276282,-0.197344
0.975,1.85442,-0.280057,-0.200041
0.95,1.83243,-0.283815,-0.202725
0.925,1.81041,-0.287555,-0.205397
0.9,1.78835,-0.291278,-0.208056
0.875,1.76626,-0.294983,-0.210702
0.85,1.74414,-0.298671,-0.213336
0.825,1.722,-0.302341,-0.215958
0.8,1.69983,-0.305993,-0.218566
0.775,1.67764,-0.309626,-0.221162
0.75,1.65544,-0.313242,-0.223744
0.725,1.63322,-0.316839,-0.226313
0.7,1.61099,-0.320417,-0.228869
0.675,1.58875,-0.323975,-0.231411
0.65,1.56652,-0.327515,-0.233939
0.625,1.54428,-0.331034,-0.236453
0.6,1.52206,-0.334532,-0.238951
0.575,1.49985,-0.338009,-0.241435
0.55,1.47766,-0.341464,-0.243903
0.525,1.45551,-0.344896,-0.246354
0.5,1.43339,-0.348304,-0.248788
0.475,1.41133,-0.351686,-0.251204
0.45,1.38934,-0.355041,-0.253601
0.425,1.36743,-0.358367,-0.255976
0.4,1.34562,-0.36166,-0.258329
0.375,1.32393,-0.364919,-0.260657
0.35,1.30241,-0.368139,-0.262957
0.325,1.28108,-0.371315,-0.265225
0.3,1.25999,-0.374441,-0.267458
0.275,1.2392,-0.377508,-0.269648
0.25,1.21879,-0.380506,-0.27179
0.225,1.19886,-0.383421,-0.273872
0.2,1.17956,-0.386234,-0.275881
0.175,1.16107,-0.388917,-0.277798
0.15,1.14369,-0.391431,-0.279593
0.125,1.1278,-0.39372,-0.281229
0.1,1.11396,-0.395709,-0.282649
0.075,1.10283,-0.397303,-0.283788
0.05,1.09493,-0.398435,-0.284596
0.025,1.09013,-0.399119,-0.285085
1.02141e-14,1.08764,-0.399475,-0.28534
-0.025,1.08644,-0.399646,-0.285462
-0.05,1.08585,-0.39973,-0.285521
-0.075,1.08552,-0.399776,-0.285555
-0.1,1.0853,-0.399808,-0.285577
-0.125,1.08513,-0.399833,-0.285595
-0.15,1.08497,-0.399855,-0.285611
-0.175,1.08482,-0.399876,-0.285626
-0.2,1.08468,-0.399896,-0.28564
-0.225,1.08454,-0.399917,-0.285655
-0.25,1.08439,-0.399937,-0.285669
-0.275,1.08425,-0.399957,-0.285683
-0.3,1.08411,-0.399976,-0.285697
-0.325,1.08398,-0.399996,-0.285711
-0.35,1.08384,-0.400016,-0.285725
-0.375,1.0837,-0.400035,-0.285739
-0.4,1.08356,-0.400055,-0.285753
-0.425,1.08342,-0.400074,-0.285767
-0.45,1.08328,-0.400094,-0.285781
-0.475,1.08315,-0.400114,-0.285795
-0.5,1.083,-0.400134,-0.28581
-0.525,1.08284,-0.400156,-0.285826
-0.55,1.08265,-0.400183,-0.285845
-0.575,1.08238,-0.400222,-0.285873
-0.6,1.0819,-0.40029,-0.285922
-0.625,1.08097,-0.400424,-0.286017
-0.65,1.07916,-0.400682,-0.286201
-0.675,1.07606,-0.401123,-0.286516
-0.7,1.07154,-0.401767,-0.286976
-0.725,1.06573,-0.402594,-0.287567
-0.75,1.05887,-0.403568,-0.288263
-0.775,1.05117,-0.404661,-0.289044
-0.8,1.04274,-0.405855,-0.289896
-0.825,1.03367,-0.407138,-0.290813
-0.85,1.02395,-0.40851,-0.291793
-0.875,1.01357,-0.409973,-0.292838
-0.9,1.00247,-0.411534,-0.293953
-0.925,0.990579,-0.413201,-0.295144
-0.95,0.977846,-0.414983,-0.296417
-0.975,0.964218,-0.416886,-0.297776
-1,0.949672,-0.418912,-0.299223
