V_G_V,I_D_A_per_um
-1.996999999999989894e+00,2.293007935540240062e-09
-1.993400000000000061e+00,2.302458344876246644e-09
-1.989079999999999959e+00,2.303357589332394121e-09
-1.983896000000000104e+00,2.304432913084979204e-09
-1.977675199999999966e+00,2.305718755466084544e-09
-1.970210240000010105e+00,2.307255256027620340e-09
-1.961252288000000066e+00,2.309089767510478707e-09
-1.950502745599989929e+00,2.311277992437323911e-09
-1.937603294719999925e+00,2.313885250833127105e-09
-1.922123953664010010e+00,2.316987861154422630e-09
-1.903548744396799997e+00,2.320674523794613185e-09
-1.881258493276170007e+00,2.325047324904788539e-09
-1.854510191931389995e+00,2.330221430286528545e-09
-1.822412230317669968e+00,2.336322007878000191e-09
-1.783894676381200028e+00,2.343477536317176080e-09
-1.737673611657440054e+00,2.351813037828922896e-09
-1.682208333988939986e+00,2.361459694079148025e-09
-1.622208333988929940e+00,2.371839498684450916e-09
-1.562208333988930109e+00,2.382140922729155221e-09
-1.502208333988920064e+00,2.392088439307176098e-09
-1.442208333988920010e+00,2.401675782119246802e-09
-1.382208333988919957e+00,2.410924684728394696e-09
-1.322208333988909912e+00,2.419874982831535287e-09
-1.262208333988910081e+00,2.428581751453126838e-09
-1.202208333988900035e+00,2.437094157057126538e-09
-1.142208333988899982e+00,2.445445743957669334e-09
-1.082208333988899929e+00,2.453660622798894492e-09
-1.022208333988890105e+00,2.461771711211514199e-09
-9.622083339888880538e-01,2.469837905104281727e-09
-9.022083339888840037e-01,2.477922011226444275e-09
-8.422083339888799536e-01,2.486077353481056581e-09
-7.822083339888760145e-01,2.494354475727064000e-09
-7.222083339888719644e-01,2.502811988122140713e-09
-6.622083339888680253e-01,2.511521172717267704e-09
-6.022083339888639753e-01,2.520569552864823806e-09
-5.422083339888600362e-01,2.530048269490507110e-09
-4.822083339888549869e-01,2.539908438619880425e-09
-4.222083339888509923e-01,2.548366280617091971e-09
-3.622083339888469977e-01,2.538190817936197434e-09
-3.022083339888430031e-01,2.361543365128070815e-09
-2.422083339888390086e-01,8.279336552178733770e-10
-1.822083339888349862e-01,9.388097919961409248e-09
-1.222083339888310055e-01,5.093795768130232738e-08
-6.220833398882710114e-02,1.823018180449908317e-07
-2.208333988823029791e-03,6.955579057246394788e-07
5.779166601118120028e-02,3.427230490331070287e-06
1.177916660111850006e-01,1.493637287685873060e-05
1.777916660111890090e-01,4.110424493316641199e-05
2.377916660111930036e-01,8.185582278733451579e-05
2.977916660111969982e-01,1.338718873416514161e-04
3.577916660112009928e-01,1.899308809802366165e-04
4.177916660112059866e-01,2.437751892888246621e-04
4.777916660112099811e-01,2.929870752505056206e-04
5.377916660112139757e-01,3.374273355206612287e-04
5.977916660112180258e-01,3.768039751198971454e-04
6.577916660112219649e-01,4.115289756680260607e-04
7.177916660112260150e-01,4.423596644390627680e-04
7.777916660112299541e-01,4.700172918072359637e-04
8.377916660112340042e-01,4.949312577617887964e-04
8.977916660112380542e-01,5.174621409102162211e-04
9.577916660112419933e-01,5.378883532157029265e-04
1.000000000000000000e+00,5.511342213400177107e-04
