V_G_V,I_D_A_per_um
-1.996999999999989894e+00,3.709514756813755755e-09
-1.993400000000000061e+00,3.724602058546899899e-09
-1.989079999999979975e+00,3.725392285417389381e-09
-1.983895999999979898e+00,3.726337539447567406e-09
-1.977675199999979982e+00,3.727468894137133876e-09
-1.970210239999989899e+00,3.728822288100055074e-09
-1.961252287999980082e+00,3.730440282486189145e-09
-1.950502745599959953e+00,3.732373126863188936e-09
-1.937603294719949965e+00,3.734679918552144649e-09
-1.922123953663930074e+00,3.737429828296900316e-09
-1.903548744396730052e+00,3.740703352300456233e-09
-1.881258493276060095e+00,3.744593503258355495e-09
-1.854510191931310059e+00,3.749206652123577658e-09
-1.822412230317600024e+00,3.754662436945988433e-09
-1.783894676381150068e+00,3.761093417624100108e-09
-1.737673611657410078e+00,3.768650945448800262e-09
-1.682208333988910010e+00,3.777524935443922359e-09
-1.622208333988929940e+00,3.787376163265200406e-09
-1.562208333988950093e+00,3.797444404646722893e-09
-1.502208333988980016e+00,3.807418832384145073e-09
-1.442208333988999946e+00,3.817338741925699777e-09
-1.382208333989020099e+00,3.827245784243011591e-09
-1.322208333989040030e+00,3.837187907099022230e-09
-1.262208333989059961e+00,3.847277328882966896e-09
-1.202208333989079891e+00,3.857535330790688691e-09
-1.142208333989100044e+00,3.868097760776044990e-09
-1.082208333989119975e+00,3.878106116890633500e-09
-1.022208333989149898e+00,3.878010584336522103e-09
-9.622083339891680520e-01,3.779500481467022699e-09
-9.022083339891889819e-01,2.795145284327255451e-09
-8.422083339892100229e-01,6.003167796606822185e-09
-7.822083339892319520e-01,8.242673647331700423e-08
-7.222083339892529930e-01,7.088536895070656191e-07
-6.622083339892740339e-01,4.788451965461255293e-06
-6.022083339892959630e-01,2.035257274279911140e-05
-5.422083339893170040e-01,5.425457339224522345e-05
-4.822083339893379894e-01,1.059603527898360088e-04
-4.222083339893599740e-01,1.696016237584699966e-04
-3.622083339893810150e-01,2.385749450970833265e-04
-3.022083339894020004e-01,3.095181310395355594e-04
-2.422083339894240128e-01,3.827147849843855264e-04
-1.822083339894449983e-01,4.549321097603255173e-04
-1.222083339894659976e-01,5.237300396496333233e-04
-6.220833398948769771e-02,5.855016136398455244e-04
-2.208333989509149789e-03,6.399095839378744289e-04
5.779166601046940160e-02,6.888782569786089383e-04
1.177916660104480068e-01,7.333218473871411366e-04
1.777916660104270075e-01,7.730673584477234378e-04
2.377916660104059943e-01,8.085593856406878216e-04
2.977916660103839819e-01,8.408868014683100120e-04
3.577916660103629964e-01,8.703857650913499706e-04
4.177916660103410118e-01,8.973506031494822826e-04
4.777916660103200264e-01,9.220540842170922352e-04
5.377916660102990409e-01,9.447396799730311103e-04
5.977916660102780000e-01,9.656221660262611717e-04
6.577916660102559598e-01,9.848910535840511501e-04
7.177916660102350299e-01,1.002707145071043320e-03
7.777916660102129898e-01,1.019220916810704546e-03
8.377916660101919488e-01,1.034561479885657935e-03
8.977916660101710189e-01,1.048839223517631031e-03
9.577916660101499780e-01,1.062153071781154513e-03
1.000000000000000000e+00,1.070991456899130162e-03
