time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
0.0,0.05,0.05,0.0,-3.03461801326945e-22,7.87124783486439e-12,2.92026230638439e-22,7.87124783485295e-12,3.87309909367238e-17,0.0,0.0,0.0,-2.04186366659458e-22,-7.87124779287367e-12,-4.82724387201764e-22,-7.87124779356058e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,-2.74031537808189e-21,0.0,-2.74031537808189e-21,-1.95804470440889e-16,0.0,2.70775250150662e-07,-410.08043643603,191388.146329559
5e-09,0.05,0.05,0.0,-7.18580835559324e-20,7.87124793497894e-12,2.90120143075051e-22,7.87124786341097e-12,3.87309909367238e-17,0.0,0.0,0.0,2.89611191567673e-19,-7.8712481420109e-12,-4.86675361599136e-22,-7.87124785288638e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,5.89575938541698e-23,0.0,5.89575938541698e-23,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436435989,191388.146329559
1e-08,0.05,0.05,0.0,-7.05112332457135e-20,7.87124793497894e-12,2.9012472823356e-22,7.87124786475783e-12,3.87309909367239e-17,0.0,0.0,0.0,-4.43175234484671e-19,-7.87124742728907e-12,-4.86662743224003e-22,-7.87124787095097e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,1.90458268465627e-22,0.0,1.90458268465627e-22,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436063,191388.146329559
1.5e-08,0.05,0.05,0.0,-7.76164968381345e-20,7.87124793497893e-12,2.90116729445239e-22,7.87124785765255e-12,3.87309909367239e-17,0.0,0.0,0.0,-4.36270464805143e-19,-7.87124742728908e-12,-4.8667708126567e-22,-7.87124786404622e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,2.22314581021429e-24,0.0,2.22314581021429e-24,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436082,191388.146329559
2e-08,0.05,0.05,0.0,-7.14097418318937e-20,7.87124793497894e-12,2.90117463153949e-22,7.87124786385931e-12,3.87309909367239e-17,0.0,0.0,0.0,-5.11384380972756e-20,-7.8712477862617e-12,-4.8667692719319e-22,-7.87124783788682e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,6.43905597623112e-25,0.0,6.43905597623112e-25,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436048,191388.146329559
2.5e-08,0.05,0.05,0.0,-7.66241383853863e-20,7.87124793497893e-12,2.90117505000479e-22,7.87124785864491e-12,3.87309909367239e-17,0.0,0.0,0.0,2.78563143672869e-19,-7.8712481420109e-12,-4.86677069828627e-22,-7.87124786393443e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,-1.81349852814168e-24,0.0,-1.81349852814168e-24,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436048,191388.146329559
3e-08,0.05,0.05,0.0,-8.20044221628097e-20,7.87124793497893e-12,2.90117473037786e-22,7.87124785326463e-12,3.87309909367239e-17,0.0,0.0,0.0,-4.29339264173458e-19,-7.87124742406565e-12,-4.86676991054551e-22,-7.87124785389159e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,-3.01249835363343e-25,0.0,-3.01249835363343e-25,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436435961,191388.146329559
3.5e-08,0.05,0.05,0.0,-3.07700310723918e-20,7.87124789190222e-12,2.90117475528499e-22,7.87124786142231e-12,3.87309909367239e-17,0.0,0.0,0.0,-4.36302591645223e-19,-7.87124742406565e-12,-4.86676866566265e-22,-7.87124786085492e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,6.43905597623112e-25,0.0,6.43905597623112e-25,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436052,191388.146329559
4e-08,0.05,0.05,0.0,-2.83028680503052e-20,7.87124789190222e-12,2.90117449397229e-22,7.87124786388947e-12,3.87309909367238e-17,0.0,0.0,0.0,-8.2112713051183e-20,-7.87124778303828e-12,-4.86676907427144e-22,-7.87124786563767e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,-1.2464052683498e-24,0.0,-1.2464052683498e-24,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436052,191388.146329559
4.5e-08,0.05,0.05,0.0,-7.87222707529415e-20,7.87124793497894e-12,2.90117474984359e-22,7.87124785654679e-12,3.87309909367239e-17,0.0,0.0,0.0,-7.54821396969967e-20,-7.87124778303827e-12,-4.86677061061788e-22,-7.87124785900709e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,6.43905597623114e-25,0.0,6.43905597623114e-25,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436048,191388.146329559
5e-08,0.05,0.05,0.0,-3.55429244182453e-20,7.87124789190223e-12,2.90117542906241e-22,7.87124785664942e-12,3.87309909367238e-17,0.0,0.0,0.0,-6.77029266056942e-20,-7.87124778303827e-12,-4.86677070464034e-22,-7.87124785122788e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,1.58906103060957e-24,0.0,1.58906103060957e-24,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436076,191388.146329559
5.5e-08,0.05,0.05,0.0,-8.52614309532998e-20,7.87124793497894e-12,2.90117439221649e-22,7.87124785000762e-12,3.87309909367239e-17,0.0,0.0,0.0,2.86404350110484e-19,-7.8712481420109e-12,-4.86677068224467e-22,-7.87124785609323e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,-4.08187156730917e-24,0.0,-4.08187156730917e-24,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436076,191388.146329559
6e-08,0.05,0.05,0.0,-3.25582992765464e-20,7.87124789190223e-12,2.90117472420515e-22,7.87124785963404e-12,3.87309909367239e-17,0.0,0.0,0.0,-4.3597546343916e-19,-7.87124742728908e-12,-4.86676802758061e-22,-7.87124786375121e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,6.1793578422972e-25,0.0,6.1793578422972e-25,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436082,191388.146329559
6.5e-08,0.05,0.05,0.0,-8.63225292449897e-20,7.87124793497894e-12,2.90117483999575e-22,7.87124784894653e-12,3.87309909367239e-17,0.0,0.0,0.0,2.77075310071445e-19,-7.8712481420109e-12,-4.86676951359051e-22,-7.87124786542227e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,-1.27237508174319e-24,0.0,-1.27237508174319e-24,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436076,191388.146329559
7e-08,0.05,0.05,0.0,-3.60669786989564e-20,7.87124789190223e-12,2.90117415242481e-22,7.87124785612537e-12,3.87309909367238e-17,0.0,0.0,0.0,-4.44871903570296e-19,-7.87124742406565e-12,-4.86676965136865e-22,-7.87124786942423e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,1.56309121721618e-24,0.0,1.56309121721618e-24,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436076,191388.146329559
7.5e-08,0.05,0.05,0.0,-8.48260339062248e-20,7.87124793497893e-12,2.90117534619854e-22,7.87124785044302e-12,3.87309909367239e-17,0.0,0.0,0.0,2.90354631474369e-19,-7.8712481420109e-12,-4.86676887698452e-22,-7.87124785214294e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,6.17935784229723e-25,0.0,6.17935784229723e-25,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436076,191388.146329559
8e-08,0.05,0.05,0.0,-3.44420431005371e-20,7.87124789190222e-12,2.90117450897778e-22,7.8712478577503e-12,3.87309909367238e-17,0.0,0.0,0.0,-4.2922490738492e-19,-7.87124742406565e-12,-4.86677046623777e-22,-7.87124785377724e-12,3.70321550394525e-17,-0.5,-0.5,0.0,0.0,-3.27219648756736e-25,0.0,-3.27219648756736e-25,-1.95804470440889e-16,0.0,2.70775250150663e-07,-410.080436436046,191388.146329559
