time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
1.414e-06,0.05,0.05,0.0,-6.03775459142181e-13,1.55453661135261e-07,4.39074426876913e-22,1.55453057359802e-07,3.85653713764544e-17,0.0,0.0,0.0,-7.78952485609549e-13,1.56291548868539e-07,4.39900678528198e-22,1.56290769916054e-07,3.67109099749875e-17,-0.5,-0.5,0.0,0.0,-3.11743827275882e-07,0.0,-3.11743827275882e-07,-1.72836250877744e-16,0.0,7.75821606925469e-08,172.304767650209,194245.230277939
1.419e-06,0.05,0.05,0.0,-3.4059567849912e-17,5.24354508176285e-11,4.3014304525206e-22,5.24354167584908e-11,3.81470147847934e-17,0.0,0.0,0.0,-3.39663229399386e-17,5.05979743901733e-11,4.31899037831921e-22,5.05979404242822e-11,3.62893326985017e-17,-0.5,-0.5,0.0,0.0,-1.03033357190085e-10,0.0,-1.03033357190085e-10,-1.77928018835125e-16,0.0,7.6072249949889e-08,188.139256244528,209473.063122089
1.424e-06,0.05,0.05,0.0,-1.89820125670162e-18,4.05702703278177e-11,4.30000834525327e-22,4.05702684300464e-11,3.81028256277999e-17,0.0,0.0,0.0,-2.0064877892832e-18,3.85877310637497e-11,4.31715342793921e-22,3.85877290576936e-11,3.62468500662385e-17,-0.5,-0.5,0.0,0.0,-7.91579972024329e-11,0.0,-7.91579972024329e-11,-1.78337271008718e-16,0.0,7.45651791073629e-08,187.87681439453,211192.097508212
1.429e-06,0.05,0.05,0.0,-1.01114330323792e-18,3.78109197880758e-11,4.29876665876702e-22,3.78109187773623e-11,3.80624165107196e-17,0.0,0.0,0.0,-1.33722391070471e-18,3.56701307204409e-11,4.31562307718156e-22,3.56701293836485e-11,3.62082344704231e-17,-0.5,-0.5,0.0,0.0,-7.34810481451073e-11,0.0,-7.34810481451073e-11,-1.7870800972672e-16,0.0,7.30608516400426e-08,187.566442510088,212803.149457973
1.434e-06,0.05,0.05,0.0,-4.67907672287231e-19,3.55131043266448e-11,4.29763423164305e-22,3.55131038591669e-11,3.80246702345304e-17,0.0,0.0,0.0,7.7580498481369e-19,3.32174155274735e-11,4.31425504050254e-22,3.32174163037099e-11,3.61722113795434e-17,-0.5,-0.5,0.0,0.0,-6.87305179868123e-11,0.0,-6.87305179868123e-11,-1.79051662316654e-16,0.0,7.15592773206644e-08,187.249826825484,214338.125253718
1.439e-06,0.05,0.05,0.0,-1.12084146511223e-20,3.33873408182593e-11,4.29659982722302e-22,3.33873408074806e-11,3.79889952390377e-17,0.0,0.0,0.0,-1.60866548915776e-19,3.09274830007299e-11,4.31299606920122e-22,3.09274828402947e-11,3.61381668080736e-17,-0.5,-0.5,0.0,0.0,-6.43148224751226e-11,0.0,-6.43148224751226e-11,-1.7937323642903e-16,0.0,7.00602358100615e-08,186.930240599475,215810.510148631
1.444e-06,0.05,0.05,0.0,-8.32983843035979e-19,3.14116201795851e-11,4.29564502474936e-22,3.14116193470308e-11,3.7955182416764e-17,0.0,0.0,0.0,-1.69683702900509e-19,2.87748207375267e-11,4.31181700450986e-22,2.87748205682742e-11,3.61059007158086e-17,-0.5,-0.5,0.0,0.0,-6.01864394389989e-11,0.0,-6.01864394389989e-11,-1.79674168626225e-16,0.0,6.85637283961035e-08,186.606747925566,217224.012504555
1.449e-06,0.05,0.05,0.0,-9.69775819618546e-19,2.95736859839371e-11,4.29475999521402e-22,2.95736850145908e-11,3.79230544946515e-17,0.0,0.0,0.0,-5.67112448036742e-19,2.6746252762798e-11,4.31070351031036e-22,2.67462521961167e-11,3.60752556088843e-17,-0.5,-0.5,0.0,0.0,-5.63199372129529e-11,0.0,-5.63199372129529e-11,-1.79955768312289e-16,0.0,6.70697561858025e-08,186.277753547365,218582.088210963
1.454e-06,0.05,0.05,0.0,-1.19693829771037e-19,2.78632957500716e-11,4.29393584323457e-22,2.78632956308071e-11,3.78924603150091e-17,0.0,0.0,0.0,3.78273698357541e-19,2.48319072075766e-11,4.30964607770439e-22,2.48319075862813e-11,3.60461006528745e-17,-0.5,-0.5,0.0,0.0,-5.26952017673999e-11,0.0,-5.26952017673999e-11,-1.80219244321126e-16,0.0,6.55783201137648e-08,185.941737795662,219887.98076807
1.459e-06,0.05,0.05,0.0,-4.63601324117396e-19,2.62711551300422e-11,4.29316539301951e-22,2.62711546668702e-11,3.7863270071948e-17,0.0,0.0,0.0,-8.01961311200577e-19,2.30238198808641e-11,4.30863864285756e-22,2.30238190793336e-11,3.60183224080035e-17,-0.5,-0.5,0.0,0.0,-4.92949737552479e-11,0.0,-4.92949737552479e-11,-1.80465719189903e-16,0.0,6.40894209501783e-08,185.597577701704,221144.737652782
