time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
1.717e-06,0.05,0.05,0.0,5.51429816081407e-12,2.24357756279668e-05,2.16507722678344e-22,2.2435781142265e-05,-7.7210963225524e-17,0.0,0.0,0.0,-5.33093108885732e-12,-2.32970358830416e-05,-1.78682130863036e-22,-2.32970412139727e-05,-7.79176723795568e-17,4.0,4.0,0.0,0.0,8.61260277528728e-07,0.0,8.61260277528728e-07,6.10516873555382e-16,0.0,-1.47440232685407e-08,-145.427592779884,-1176845.48273707
1.727e-06,0.05,0.05,0.0,7.70182277106118e-17,2.28670608903873e-05,2.20832921374751e-22,2.28670608904643e-05,-7.72341922893735e-17,0.0,0.0,0.0,-7.71750303249736e-17,-2.28670742917884e-05,-1.75853313836754e-22,-2.28670742918656e-05,-7.79410818869201e-17,4.0,4.0,0.0,0.0,1.34014013700583e-11,0.0,1.34014013700583e-11,6.10713146788079e-16,0.0,-1.78607366821986e-08,-145.345566639701,-1176285.75716378
1.737e-06,0.05,0.05,0.0,7.9265731849797e-17,2.28674878882245e-05,2.20835854835778e-22,2.28674878883037e-05,-7.72509299298073e-17,0.0,0.0,0.0,-7.76776028069023e-17,-2.28675013447021e-05,-1.75857307224108e-22,-2.28675013447797e-05,-7.7958001039705e-17,4.0,4.0,0.0,0.0,1.34564774362049e-11,0.0,1.34564774362049e-11,6.10847578088269e-16,0.0,-2.09860248564828e-08,-145.28461398838,-1175596.02172557
1.747e-06,0.05,0.05,0.0,6.93871671450062e-17,2.28679166327824e-05,2.20838829512712e-22,2.28679166328518e-05,-7.7267749762014e-17,0.0,0.0,0.0,-8.76044144699583e-17,-2.28679301481487e-05,-1.75861363981315e-22,-2.28679301482363e-05,-7.79750014457708e-17,4.0,4.0,0.0,0.0,1.35153663888398e-11,0.0,1.35153663888398e-11,6.1098259180729e-16,0.0,-2.41187250922917e-08,-145.22353672495,-1174904.64878026
1.757e-06,0.05,0.05,0.0,6.259238718933e-17,2.28683470491739e-05,2.20841846345234e-22,2.28683470492365e-05,-7.72846486078474e-17,0.0,0.0,0.0,-9.44554825436105e-17,-2.28683606203761e-05,-1.7586548489056e-22,-2.28683606204706e-05,-7.79920799411658e-17,4.0,4.0,0.0,0.0,1.35712020375526e-11,0.0,1.35712020375526e-11,6.11118164359141e-16,0.0,-2.72584875896678e-08,-145.162340711174,-1174211.71561312
1.767e-06,0.05,0.05,0.0,6.37503141876937e-17,2.28687791280804e-05,2.20844905954803e-22,2.28687791281441e-05,-7.73016262723917e-17,0.0,0.0,0.0,-9.48856845881415e-17,-2.28687927549203e-05,-1.75869670717309e-22,-2.28687927550152e-05,-7.80092363225137e-17,4.0,4.0,0.0,0.0,1.36268397868846e-11,0.0,1.36268397868846e-11,6.11254293789392e-16,0.0,-3.04052808169069e-08,-145.101026169689,-1173517.22918071
1.777e-06,0.05,0.05,0.0,6.34045443201268e-17,2.28692128613008e-05,2.20848008981649e-22,2.28692128613643e-05,-7.73186825456255e-17,0.0,0.0,0.0,-9.68999950957118e-17,-2.28692265435703e-05,-1.75873922215485e-22,-2.28692265436672e-05,-7.8026470371592e-17,4.0,4.0,0.0,0.0,1.36822698841205e-11,0.0,1.36822698841205e-11,6.11390978045775e-16,0.0,-3.35590718480314e-08,-145.039593380018,-1172821.19674845
1.787e-06,0.05,0.05,0.0,6.28215602410895e-17,2.28696482687405e-05,2.20851155305423e-22,2.28696482688033e-05,-7.73358184106416e-17,0.0,0.0,0.0,-9.63049492771082e-17,-2.28696620079297e-05,-1.75878239539559e-22,-2.2869662008026e-05,-7.80437829560975e-17,4.0,4.0,0.0,0.0,1.37391887784573e-11,0.0,1.37391887784573e-11,6.11528223510028e-16,0.0,-3.67198263935953e-08,-144.978042133006,-1172123.62588182
1.797e-06,0.05,0.05,0.0,-3.01346480744313e-16,2.28700881263849e-05,2.20854368844003e-22,2.28700881260836e-05,-7.73531860196958e-17,0.0,0.0,0.0,-4.01076964058248e-16,-2.28701020707941e-05,-1.75882660675367e-22,-2.28701020711952e-05,-7.80613214335316e-17,4.0,4.0,0.0,0.0,1.39444084551893e-11,0.0,1.39444084551893e-11,6.11666922142224e-16,0.0,-3.99013074870602e-08,-144.934360203842,-1171421.46839413
1.807e-06,0.05,0.05,0.0,-6.29184562156053e-16,2.28705376244207e-05,2.20857736854239e-22,2.28705376237915e-05,-7.73709795794001e-17,0.0,0.0,0.0,-6.94800425396666e-16,-2.28705518860571e-05,-1.75887287841354e-22,-2.28705518867519e-05,-7.80792858450239e-17,4.0,4.0,0.0,0.0,1.42616361031161e-11,0.0,1.42616361031161e-11,6.11808746183055e-16,0.0,-4.31533232900305e-08,-144.906374074347,-1170703.72250527
