time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
1e-11,0.05,0.05,0.0,1.56188609840243e-12,8.79947659897905e-09,8.07041271564652e-23,8.80103848507754e-09,3.67674603692918e-17,0.0,0.0,0.0,1.59207566293417e-12,8.39101010318461e-09,-1.13954387763776e-22,8.39260217884743e-09,3.44164042852671e-17,-0.002,-0.002,0.0,0.0,-1.71936406639287e-08,0.0,-1.71936406639287e-08,-1.81737134486823e-16,0.0,2.30495183094472e-07,-202.814129826613,155305.539081405
2.4e-11,0.05,0.05,0.0,8.42034364190753e-15,8.86372805994761e-09,8.52480215162043e-23,8.86373648029134e-09,3.68880742921653e-17,0.0,0.0,0.0,1.55309249325943e-14,8.50952045195852e-09,-8.95110092549439e-23,8.50953598288336e-09,3.4538613263756e-17,-0.0048,-0.0048,0.0,0.0,-1.73732724631747e-08,0.0,-1.73732724631747e-08,-1.81980360301308e-16,0.0,2.30495183094472e-07,-202.774075541398,155306.433072283
4.36e-11,0.05,0.05,0.0,-3.20372335880067e-15,8.82950075896805e-09,9.05718665986757e-23,8.82949755524478e-09,3.705685644237e-17,0.0,0.0,0.0,3.05173180209734e-15,8.54212136069319e-09,-5.94389455478399e-23,8.54212441242493e-09,3.47096021937088e-17,-0.00872,-0.00872,0.0,0.0,-1.73716219676701e-08,0.0,-1.73716219676701e-08,-1.82320844091874e-16,0.0,2.30495183094473e-07,-202.705192521064,155307.963542406
7.104e-11,0.05,0.05,0.0,-2.99173459417489e-15,8.78475966174452e-09,9.66806717800099e-23,8.78475667001002e-09,3.7292900914758e-17,0.0,0.0,0.0,2.29467988285529e-15,8.57644060751719e-09,-2.4215055129394e-23,8.57644290219705e-09,3.49487147169531e-17,-0.014208,-0.014208,0.0,0.0,-1.73611995722065e-08,0.0,-1.73611995722065e-08,-1.82797235408135e-16,0.0,2.30495183094473e-07,-202.588743680985,155310.542971348
1.09456e-10,0.05,0.05,0.0,-2.55258032810835e-15,8.73130981968769e-09,1.02999433916705e-22,8.73130726710747e-09,3.76228110622837e-17,0.0,0.0,0.0,1.60287351142481e-15,8.61000252470207e-09,1.41441461455834e-23,8.61000412757559e-09,3.52829174813866e-17,-0.0218912,-0.0218912,0.0,0.0,-1.73413113946845e-08,0.0,-1.73413113946845e-08,-1.83463419226673e-16,0.0,2.30495183094476e-07,-202.397510717449,155314.774765965
1.632384e-10,0.05,0.05,0.0,-2.04757483488099e-15,8.67128732897859e-09,1.08708497518565e-22,8.67128528140387e-09,3.8083555165889e-17,0.0,0.0,0.0,9.10371910474107e-16,8.63668659192777e-09,5.18975459055715e-23,8.63668750229973e-09,3.57497125099681e-17,-0.03264768,-0.03264768,0.0,0.0,-1.73079727837226e-08,0.0,-1.73079727837226e-08,-1.84394283542117e-16,0.0,2.30495183094486e-07,-202.096286444131,155321.451974286
2.3853376e-10,0.05,0.05,0.0,-1.56556719094092e-15,8.6070436719621e-09,1.12402996187571e-22,8.60704210639503e-09,3.87263380979388e-17,0.0,0.0,0.0,2.73203886283928e-16,8.64791028599547e-09,8.40433595118201e-23,8.64791055919944e-09,3.64011029189297e-17,-0.047706752,-0.047706752,0.0,0.0,-1.72549526658686e-08,0.0,-1.72549526658686e-08,-1.85693501414876e-16,0.0,2.30495183094519e-07,-201.646458972353,155331.477983348
3.43947264e-10,0.05,0.05,0.0,-1.18818995299651e-15,8.53886826125961e-09,1.11959885681132e-22,8.53886707306977e-09,3.96217236181626e-17,0.0,0.0,0.0,-2.3445809023724e-16,8.63454122973896e-09,1.05905570101526e-22,8.63454099528098e-09,3.73088791038687e-17,-0.0687894528,-0.0687894528,0.0,0.0,-1.71734080718508e-08,0.0,-1.71734080718508e-08,-1.87503810535352e-16,0.0,2.30495183094622e-07,-201.014268011001,155345.721050748
4.915261696e-10,0.05,0.05,0.0,-9.58982031344736e-16,8.46172896091766e-09,1.03059933219179e-22,8.46172800193573e-09,4.08661486349542e-17,0.0,0.0,0.0,-5.62142132201682e-16,8.58932682519403e-09,1.1516507002115e-22,8.58932626305201e-09,3.85714337760166e-17,-0.09830523392,-0.09830523392,0.0,0.0,-1.70510542649877e-08,0.0,-1.70510542649877e-08,-1.90020186463105e-16,0.0,2.3049518309493e-07,-200.176304673829,155364.930399353
6.9813663744e-10,0.05,0.05,0.0,-8.79858811185932e-16,8.36263875498277e-09,7.56483665286307e-23,8.36263787512403e-09,4.25894921874394e-17,0.0,0.0,0.0,-7.3362893289852e-16,8.50669062075918e-09,1.09585604331089e-22,8.50668988713036e-09,4.03219596202473e-17,-0.139627327488,-0.139627327488,0.0,0.0,-1.68693277622545e-08,0.0,-1.68693277622545e-08,-1.93505566164211e-16,0.0,2.30495183095816e-07,-199.112072552192,155389.893598229
