time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
1.080001e-05,0.05,0.05,0.0,-1.8603232964585e-13,8.72161653574866e-09,-1.59841272442426e-20,8.72143050340303e-09,3.24368822661683e-17,0.0,0.0,0.0,-2.24130403477394e-13,-1.09665162609685e-08,-1.54540506071912e-19,-1.09667403915265e-08,3.00978204316245e-17,-0.249749999999983,-0.249749999999983,0.0,0.0,2.24530988811999e-09,0.0,2.24530988811999e-09,-1.6825553281136e-16,0.0,-1.92385117797851e-06,-7.42376328997567,799865.641050288
1.0800024e-05,0.05,0.05,0.0,1.38990492334108e-14,8.82767506465493e-09,-1.62879376146118e-20,8.82768896368787e-09,3.2421585659909e-17,0.0,0.0,0.0,-2.04852759549789e-14,-1.11228318299862e-08,-1.5686989892771e-19,-1.1122852315419e-08,3.00824836676905e-17,-0.249399999999983,-0.249399999999983,0.0,0.0,2.29516335172592e-09,0.0,2.29516335172592e-09,-1.68223400524436e-16,0.0,-1.92385606643816e-06,-7.60112712940109,799863.743679764
1.08000436e-05,0.05,0.05,0.0,1.57001419981723e-14,8.99539659673084e-09,-1.67223652766487e-20,8.99541229685612e-09,3.24001700370009e-17,0.0,0.0,0.0,-1.89037352859141e-14,-1.13247789721986e-08,-1.60190626242912e-19,-1.13247978760941e-08,3.0061022539874e-17,-0.248909999999985,-0.248909999999985,0.0,0.0,2.32938557922944e-09,0.0,2.32938557922944e-09,-1.68177744567083e-16,0.0,-1.92386291018859e-06,-7.93575356711206,799858.972435217
1.080007104e-05,0.05,0.05,0.0,1.60520761233634e-14,9.23547504344649e-09,-1.73464059212083e-20,9.23549109550527e-09,3.23702002578079e-17,0.0,0.0,0.0,-1.89572482516506e-14,-1.16083063516405e-08,-1.64927783215997e-19,-1.16083253090537e-08,3.0031003400446e-17,-0.248223999999995,-0.248223999999995,0.0,0.0,2.37283421353521e-09,0.0,2.37283421353521e-09,-1.68112633996263e-16,0.0,-1.92387249125676e-06,-8.55692440466895,799848.381160104
1.0800109456e-05,0.05,0.05,0.0,1.65098006350282e-14,9.58116405245574e-09,-1.82526368248557e-20,9.58118056223812e-09,3.23282745390255e-17,0.0,0.0,0.0,-1.91163816735036e-14,-1.20085706530079e-08,-1.71737894422519e-19,-1.20085897695613e-08,2.99890239944015e-17,-0.247263599999984,-0.247263599999984,0.0,0.0,2.42740920733465e-09,0.0,2.42740920733465e-09,-1.68019382644154e-16,0.0,-1.92388590439463e-06,-9.68554264969462,799826.448845441
1.08001632384e-05,0.05,0.05,0.0,1.71432918899831e-14,1.00836989334059e-08,-1.95888537745943e-20,1.00837160766782e-08,3.22696402501996e-17,0.0,0.0,0.0,-1.94224441766279e-14,-1.25779133919919e-08,-1.81637508392802e-19,-1.25779328146177e-08,2.99303263929113e-17,-0.245919039999985,-0.245919039999985,0.0,0.0,2.49421673794217e-09,0.0,2.49421673794217e-09,-1.67885237681868e-16,0.0,-1.92390468208684e-06,-11.6768203591152,799783.194533367
1.080023853376e-05,0.05,0.05,0.0,1.80463318431558e-14,1.08243154457065e-08,-2.16009633998768e-20,1.08243334920168e-08,3.2187650508115e-17,0.0,0.0,0.0,-1.99692204310206e-14,-1.33974412162974e-08,-1.96256039154634e-19,-1.33974611857141e-08,2.98482514696711e-17,-0.244036656000005,-0.244036656000005,0.0,0.0,2.5731276936991e-09,0.0,2.5731276936991e-09,-1.67691493105845e-16,0.0,-1.92393096948242e-06,-15.0518065934962,799701.276317311
1.0800343947264e-05,0.05,0.05,0.0,1.93701758453851e-14,1.19372190744128e-08,-2.47199508750213e-20,1.19372384445639e-08,3.2072998379455e-17,0.0,0.0,0.0,-2.09189256212146e-14,-1.45993348840421e-08,-2.1832554743724e-19,-1.4599355803186e-08,2.9733473071161e-17,-0.241401318400023,-0.241401318400023,0.0,0.0,2.66211735864745e-09,0.0,2.66211735864745e-09,-1.6741086998701e-16,0.0,-1.92396776914442e-06,-20.4658191937531,799551.915013494
1.08004915261696e-05,0.05,0.05,0.0,2.13685977182935e-14,1.36560463136153e-08,-2.97512223589817e-20,1.36560676821833e-08,3.19126391761859e-17,0.0,0.0,0.0,-2.25489436583958e-14,-1.64130963149139e-08,-2.52690726283006e-19,-1.64131188641102e-08,2.95729245162749e-17,-0.237711845760023,-0.237711845760023,0.0,0.0,2.75705118198335e-09,0.0,2.75705118198335e-09,-1.6700398739089e-16,0.0,-1.92401928339629e-06,-28.5122862695265,799289.767876971
1.08006981366374e-05,0.05,0.05,0.0,2.45036696534862e-14,1.64154404517881e-08,-3.83056676649723e-20,1.64154649554195e-08,3.16882741959037e-17,0.0,0.0,0.0,-2.53493761850366e-14,-1.92677430712816e-08,-3.08539973261637e-19,-1.92677684209663e-08,2.93483007769466e-17,-0.232546584064031,-0.232546584064031,0.0,0.0,2.85230346569888e-09,0.0,2.85230346569888e-09,-1.6641467163742e-16,0.0,-1.9240913930135e-06,-39.2144256877876,798847.322853536
