time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
5.56001e-06,0.05,0.05,0.0,2.85853002984423e-12,1.0469956431564e-05,1.051405085985e-22,1.0469959290094e-05,-4.12861609143706e-17,0.0,0.0,0.0,2.84938286691355e-12,-1.04709549139633e-05,-7.96011742762827e-23,-1.04709520645804e-05,-4.19123702607377e-17,2.0,2.0,0.0,0.0,9.92774488959428e-10,0.0,9.92774488959428e-10,3.59139756532662e-16,0.0,3.22075054210755e-07,-156.830194654886,-860386.106700393
5.560024e-06,0.05,0.05,0.0,6.42204546622186e-14,1.04704463642947e-05,1.05139747000504e-22,1.04704464285151e-05,-4.12861892276541e-17,0.0,0.0,0.0,6.40533372502378e-14,-1.04704662557201e-05,-7.96064355380956e-23,-1.04704661916667e-05,-4.19123983647045e-17,2.0,2.0,0.0,0.0,1.97631511825575e-11,0.0,1.97631511825575e-11,3.59140033216779e-16,0.0,3.22075247556259e-07,-156.830149899148,-860386.757738401
5.5600436e-06,0.05,0.05,0.0,9.69110516903143e-16,1.04704572609884e-05,1.05139323187e-22,1.04704572619575e-05,-4.12861778980385e-17,0.0,0.0,0.0,9.99096001464937e-16,-1.04704549715258e-05,-7.96069749774424e-23,-1.04704549705267e-05,-4.19123868348082e-17,2.0,2.0,0.0,0.0,-2.2915393854352e-12,0.0,-2.2915393854352e-12,3.59139988302607e-16,0.0,3.22075518177002e-07,-156.830173955687,-860386.825651525
5.56007104e-06,0.05,0.05,0.0,-8.33466204030582e-18,1.04704571452317e-05,1.05139269723612e-22,1.04704571452234e-05,-4.12861608777784e-17,0.0,0.0,0.0,3.15253666464245e-17,-1.04704544953558e-05,-7.96069946423068e-23,-1.04704544953243e-05,-4.19123695362785e-17,2.0,2.0,0.0,0.0,-2.64989999660041e-12,0.0,-2.64989999660041e-12,3.59139915589351e-16,0.0,3.22075896922636e-07,-156.830209606664,-860386.901494318
5.560109456e-06,0.05,0.05,0.0,-1.94033183823039e-17,1.04704567323744e-05,1.0513923199076e-22,1.0470456732355e-05,-4.12861370341518e-17,0.0,0.0,0.0,1.9465637370063e-17,-1.04704540788566e-05,-7.96069821857193e-23,-1.04704540788371e-05,-4.19123453031313e-17,2.0,2.0,0.0,0.0,-2.65351800784654e-12,0.0,-2.65351800784654e-12,3.59139813651803e-16,0.0,3.22076426924643e-07,-156.830259538365,-860387.007312498
5.5601632384e-06,0.05,0.05,0.0,-1.95882650556536e-17,1.04704561515718e-05,1.05139186609272e-22,1.04704561515522e-05,-4.12861036600617e-17,0.0,0.0,0.0,1.99038805743049e-17,-1.04704534988074e-05,-7.96069606248183e-23,-1.04704534987875e-05,-4.19123113837559e-17,2.0,2.0,0.0,0.0,-2.65276426608005e-12,0.0,-2.65276426608005e-12,3.59139670979774e-16,0.0,3.22077168453357e-07,-156.830329421044,-860387.155359644
5.56023853376e-06,0.05,0.05,0.0,-2.03762987073179e-17,1.04704553386758e-05,1.05139123594888e-22,1.04704553386554e-05,-4.12860569504631e-17,0.0,0.0,0.0,1.97611499894371e-17,-1.04704526870156e-05,-7.96069205669941e-23,-1.04704526869958e-05,-4.19122639108423e-17,2.0,2.0,0.0,0.0,-2.65166033091617e-12,0.0,-2.65166033091617e-12,3.59139471322055e-16,0.0,3.22078205664304e-07,-156.830427214037,-860387.362440115
5.560343947264e-06,0.05,0.05,0.0,-2.01732594246186e-17,1.04704542011152e-05,1.05139043260869e-22,1.04704542010951e-05,-4.12859915847207e-17,0.0,0.0,0.0,2.07662949532945e-17,-1.04704515510006e-05,-7.96068601016284e-23,-1.04704515509799e-05,-4.19121974766243e-17,2.0,2.0,0.0,0.0,-2.65011445135931e-12,0.0,-2.65011445135931e-12,3.59139191964205e-16,0.0,3.22079655938222e-07,-156.830564039345,-860387.651989173
5.5604915261696e-06,0.05,0.05,0.0,-1.96103782448585e-17,1.04704526094983e-05,1.0513892994852e-22,1.04704526094787e-05,-4.12859001269709e-17,0.0,0.0,0.0,1.95339872276053e-17,-1.0470449961548e-05,-7.96067733748891e-23,-1.04704499615285e-05,-4.19121045233329e-17,2.0,2.0,0.0,0.0,-2.64795006412609e-12,0.0,-2.64795006412609e-12,3.59138801182632e-16,0.0,3.22081682751552e-07,-156.830755428455,-860388.056645157
5.56069813663744e-06,0.05,0.05,0.0,-1.93168759154121e-17,1.04704503831319e-05,1.05138775519791e-22,1.04704503831126e-05,-4.12857721925447e-17,0.0,0.0,0.0,1.89047664802306e-17,-1.04704477382124e-05,-7.96066496982048e-23,-1.04704477381935e-05,-4.19119744957839e-17,2.0,2.0,0.0,0.0,-2.64491961542119e-12,0.0,-2.64491961542119e-12,3.59138254714553e-16,0.0,3.22084513292166e-07,-156.831023047209,-860388.62176654
