time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
5.55001e-06,0.05,0.05,0.0,-2.1289321894003e-12,8.67381683117804e-06,1.66048314607464e-23,8.67381470224585e-06,-2.86001965749518e-19,0.0,0.0,0.0,-3.37345572227071e-12,-8.70379940095294e-06,-1.003704741577e-23,-8.70380277440866e-06,-1.07376130915549e-18,1.00099999999999,1.00099999999999,0.0,0.0,2.99880723158143e-08,0.0,2.99880723158143e-08,4.23078476691296e-17,0.0,3.21930331139633e-07,-204.483225171746,-272570.038052769
5.550024e-06,0.05,0.05,0.0,5.71071615559893e-13,8.67817358520138e-06,1.66058556990273e-23,8.678174156273e-06,-3.43170641272498e-19,0.0,0.0,0.0,-7.05249468166854e-13,-8.70917981017885e-06,-9.98093095216805e-24,-8.70918051542832e-06,-1.13043767081174e-18,1.00239999999998,1.00239999999998,0.0,0.0,3.10063591553573e-08,0.0,3.10063591553573e-08,4.27419366973047e-17,0.0,3.21930541785956e-07,-204.327602691694,-273376.574526185
5.5500436e-06,0.05,0.05,0.0,6.22613218889828e-13,8.68496005550591e-06,1.65504363005914e-23,8.68496067811913e-06,-4.23263719891566e-19,0.0,0.0,0.0,-6.50878768744472e-13,-8.71599573519443e-06,-9.93587475683276e-24,-8.7159963860732e-06,-1.2098435387028e-18,1.00435999999998,1.00435999999998,0.0,0.0,3.1035682446603e-08,0.0,3.1035682446603e-08,4.33502360732581e-17,0.0,3.21930836660203e-07,-204.110349920272,-274506.848607626
5.55007104e-06,0.05,0.05,0.0,5.53740750295594e-13,8.69444098916133e-06,1.64684324068938e-23,8.69444154290208e-06,-5.3539648432568e-19,0.0,0.0,0.0,-7.14585389280587e-13,-8.72548306741071e-06,-9.88097521769317e-24,-8.72548378199609e-06,-1.32101928542938e-18,1.00710399999994,1.00710399999994,0.0,0.0,3.10420786748965e-08,0.0,3.10420786748965e-08,4.42020307120972e-17,0.0,3.21931249423992e-07,-203.808077765901,-276089.530048026
5.550109456e-06,0.05,0.05,0.0,6.30488556820565e-13,8.70763976443392e-06,1.63573829482541e-23,8.70764039492247e-06,-6.92384632610126e-19,0.0,0.0,0.0,-6.30883820026152e-13,-8.73869012279466e-06,-9.79969026819608e-24,-8.73869075367848e-06,-1.47667738493206e-18,1.01094559999989,1.01094559999989,0.0,0.0,3.1050358744631e-08,0.0,3.1050358744631e-08,4.53948612936309e-17,0.0,3.21931827174923e-07,-203.38852209119,-278305.816828375
5.5501632384e-06,0.05,0.05,0.0,6.256120980387e-13,8.72597513291024e-06,1.62118632367124e-23,8.72597575852234e-06,-9.12172320788099e-19,0.0,0.0,0.0,-6.26002046037719e-13,-8.75703691090456e-06,-9.68743989843199e-24,-8.7570375369066e-06,-1.69462209485376e-18,1.01632383999989,1.01632383999989,0.0,0.0,3.10617783837436e-08,0.0,3.10617783837436e-08,4.70654382833768e-17,0.0,3.21932635792938e-07,-202.808211992718,-281409.647186487
5.55023853376e-06,0.05,0.05,0.0,6.18569281475728e-13,8.75135565019589e-06,1.6025072449157e-23,8.75135626876517e-06,-1.2198853757197e-18,0.0,0.0,0.0,-6.18956351744715e-13,-8.78243331140377e-06,-9.53649911169294e-24,-8.78243393036013e-06,-1.9997914142409e-18,1.0238533759999,1.0238533759999,0.0,0.0,3.10776615949499e-08,0.0,3.10776615949499e-08,4.94054420011267e-17,0.0,3.219337673974e-07,-202.009022776204,-285757.017887926
5.550343947264e-06,0.05,0.05,0.0,6.09012366174806e-13,8.78633937349161e-06,1.58003485942521e-23,8.78633998250398e-06,-1.6507036421214e-18,0.0,0.0,0.0,-6.09388232092881e-13,-8.8174386583522e-06,-9.33945602226544e-24,-8.81743926774044e-06,-2.42711800640571e-18,1.03439472639991,1.03439472639991,0.0,0.0,3.10992852369925e-08,0.0,3.10992852369925e-08,5.26837266298535e-17,0.0,3.2193535073092e-07,-200.915597446595,-291847.165056259
5.5504915261696e-06,0.05,0.05,0.0,5.96024115140327e-13,8.83427207948138e-06,1.55662906136693e-23,8.8342726755055e-06,-2.25389232550564e-18,0.0,0.0,0.0,-5.96390248239717e-13,-8.86540076235518e-06,-9.10060345629628e-24,-8.86540135874543e-06,-3.0255498964635e-18,1.04915261695991,1.04915261695991,0.0,0.0,3.11286832396327e-08,0.0,3.11286832396327e-08,5.72776636351275e-17,0.0,3.21937565582421e-07,-199.432891349484,-300380.67029364
5.55069813663744e-06,0.05,0.05,0.0,5.78621382011112e-13,8.89941854436279e-06,1.54258023127543e-23,8.89941912298417e-06,-3.09844784634671e-18,0.0,0.0,0.0,-5.78973558672679e-13,-8.93058669147602e-06,-8.86177815660739e-24,-8.93058727044958e-06,-3.86369319232645e-18,1.06981366374387,1.06981366374387,0.0,0.0,3.11681474636246e-08,0.0,3.11681474636246e-08,6.3717329164293e-17,0.0,3.21940662743525e-07,-197.446874779368,-312341.327439306
