time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
1.717e-06,0.05,0.05,0.0,6.26945695830629e-12,2.23727416097686e-05,2.17183050382264e-22,2.23727478792256e-05,-7.51925865021056e-17,0.0,0.0,0.0,-5.80875241480875e-12,-2.33104280560335e-05,-1.79702169919739e-22,-2.33104338647859e-05,-7.59887834188142e-17,4.0,4.0,0.0,0.0,9.37686473529164e-07,0.0,9.37686473529164e-07,6.0307445572241e-16,0.0,4.03376908468063e-08,-278.53303356677,-1189118.00272531
1.727e-06,0.05,0.05,0.0,8.08739637919689e-17,2.28422756953225e-05,2.21867545704745e-22,2.28422756954034e-05,-7.52163376161153e-17,0.0,0.0,0.0,-8.16217916450789e-17,-2.28422893084127e-05,-1.76543487229867e-22,-2.28422893084943e-05,-7.60126477532544e-17,4.0,4.0,0.0,0.0,1.36130897877164e-11,0.0,1.36130897877164e-11,6.03278434302919e-16,0.0,3.71284560414505e-08,-278.265541355456,-1188549.67095523
1.737e-06,0.05,0.05,0.0,8.06327290006432e-17,2.28427172912886e-05,2.21865584394873e-22,2.28427172913692e-05,-7.5233019441395e-17,0.0,0.0,0.0,-8.13845774336085e-17,-2.28427309619826e-05,-1.76541597078462e-22,-2.2842730962064e-05,-7.60294444355975e-17,4.0,4.0,0.0,0.0,1.36706945697392e-11,0.0,1.36706945697392e-11,6.03415000983526e-16,0.0,3.39106426576287e-08,-278.021129635514,-1187839.82888609
1.747e-06,0.05,0.05,0.0,6.9974171803899e-17,2.2843160750946e-05,2.21863629996489e-22,2.2843160751016e-05,-7.52497915133689e-17,0.0,0.0,0.0,-9.28110653827398e-17,-2.2843174483146e-05,-1.76539733481637e-22,-2.28431744832388e-05,-7.60463306248687e-17,4.0,4.0,0.0,0.0,1.37322000707481e-11,0.0,1.37322000707481e-11,6.03552176596841e-16,0.0,3.06854225161284e-08,-277.776531277021,-1187128.34879506
1.757e-06,0.05,0.05,0.0,6.40357753574292e-17,2.28436059958048e-05,2.21861684425993e-22,2.28436059958689e-05,-7.52666504885545e-17,0.0,0.0,0.0,-1.00679340159816e-16,-2.28436197864349e-05,-1.76537898378101e-22,-2.28436197865356e-05,-7.60633029888357e-17,4.0,4.0,0.0,0.0,1.37906300168389e-11,0.0,1.37906300168389e-11,6.0368993692856e-16,0.0,2.7453147913121e-08,-277.531758680418,-1186415.30855064
1.767e-06,0.05,0.05,0.0,6.30266098137164e-17,2.28440530170108e-05,2.21859748333668e-22,2.28440530170739e-05,-7.52835962445779e-17,0.0,0.0,0.0,-9.97345038937898e-17,-2.28440668658951e-05,-1.76536092640006e-22,-2.28440668659948e-05,-7.60803613976596e-17,4.0,4.0,0.0,0.0,1.38488842078516e-11,0.0,1.38488842078516e-11,6.03828280248417e-16,0.0,2.42138502675495e-08,-277.286811243985,-1185700.71507355
1.777e-06,0.05,0.05,0.0,6.43855658048516e-17,2.28445018068036e-05,2.21857822395447e-22,2.28445018068679e-05,-7.53006286408402e-17,0.0,0.0,0.0,-1.00225014636152e-16,-2.28445157137553e-05,-1.76534317134512e-22,-2.28445157138555e-05,-7.60975057034999e-17,4.0,4.0,0.0,0.0,1.39069518060119e-11,0.0,1.39069518060119e-11,6.03967204717443e-16,0.0,2.09675624251244e-08,-277.041688512554,-1184984.57560103
1.787e-06,0.05,0.05,0.0,5.85155192159242e-17,2.2844952467405e-05,2.21855906456488e-22,2.28449524674636e-05,-7.53177492289024e-17,0.0,0.0,0.0,-1.07208761845034e-16,-2.28449664387777e-05,-1.76532571557615e-22,-2.28449664388849e-05,-7.61147374409866e-17,4.0,4.0,0.0,0.0,1.39713725164066e-11,0.0,1.39713725164066e-11,6.04106741141545e-16,0.0,1.77143186269237e-08,-276.796387042956,-1184266.89767736
1.797e-06,0.05,0.05,0.0,-4.41632553059967e-16,2.28454090013609e-05,2.21853986931898e-22,2.28454090009192e-05,-7.53351543777728e-17,0.0,0.0,0.0,-5.30941693388628e-16,-2.2845423225385e-05,-1.76530850719855e-22,-2.28454232259159e-05,-7.61322487881645e-17,4.0,4.0,0.0,0.0,1.42240239296883e-11,0.0,1.42240239296883e-11,6.04248159735904e-16,0.0,1.44282265760608e-08,-276.553111241667,-1183541.95988641
1.807e-06,0.05,0.05,0.0,-6.96850921122936e-16,2.28458758566285e-05,2.21852093601026e-22,2.28458758559316e-05,-7.53530136693396e-17,0.0,0.0,0.0,-7.58028064203154e-16,-2.28458904085009e-05,-1.76529185621492e-22,-2.2845890409259e-05,-7.61502136711409e-17,4.0,4.0,0.0,0.0,1.45518728098124e-11,0.0,1.45518728098124e-11,6.04392859529079e-16,0.0,1.10677471192488e-08,-276.304571542666,-1182800.58420542
