time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
0.0,0.05,0.05,0.0,-2.35344103938068e-22,4.62402508352278e-16,1.59237143377662e-23,4.62402288931888e-16,5.96732138311074e-17,0.0,0.0,0.0,-2.50338659603889e-22,-4.62401074984004e-16,-3.12320809506733e-22,-4.62401637643473e-16,5.7863526969814e-17,-1.1,-1.1,0.0,0.0,-2.74031537808189e-21,0.0,-2.74031537808189e-21,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260882682,238916.125087583
5e-09,0.05,0.05,0.0,-1.33898438498556e-19,4.62535935310176e-16,1.44913449726224e-23,4.62402051363022e-16,5.96732138311073e-17,0.0,0.0,0.0,1.30133805445569e-19,-4.62531539727003e-16,-3.1280880292526e-22,-4.62401718730361e-16,5.7863526969814e-17,-1.1,-1.1,0.0,0.0,-1.53235385696369e-24,0.0,-1.53235385696369e-24,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260903629,238916.125087583
1e-08,0.05,0.05,0.0,-4.78520039515001e-19,4.62880549030949e-16,1.44918466896353e-23,4.6240204348328e-16,5.96732138311073e-17,0.0,0.0,0.0,1.15429423355233e-19,-4.62517180821971e-16,-3.12803995235358e-22,-4.62402064202611e-16,5.7863526969814e-17,-1.1,-1.1,0.0,0.0,-1.1305212229516e-22,0.0,-1.1305212229516e-22,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260903629,238916.125087583
1.5e-08,0.05,0.05,0.0,-4.78626956522279e-19,4.62880549030949e-16,1.44900855900141e-23,4.62401936564512e-16,5.96732138311073e-17,0.0,0.0,0.0,1.30106359593974e-19,-4.62531539727003e-16,-3.12806731110728e-22,-4.6240174617414e-16,5.7863526969814e-17,-1.1,-1.1,0.0,0.0,-3.45075395360951e-23,0.0,-3.45075395360951e-23,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260905567,238916.125087583
2e-08,0.05,0.05,0.0,-1.33986972683667e-19,4.62535935310177e-16,1.44900897511912e-23,4.62401962827583e-16,5.96732138311073e-17,0.0,0.0,0.0,3.65418516303666e-19,-4.62766849946204e-16,-3.1280675193561e-22,-4.62401744236652e-16,5.78635269698139e-17,-1.1,-1.1,0.0,0.0,-5.50560043939906e-25,0.0,-5.50560043939906e-25,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260903629,238916.125087583
2.5e-08,0.05,0.05,0.0,-4.78581739506176e-19,4.62880549030949e-16,1.44900817117022e-23,4.62401981781524e-16,5.96732138311073e-17,0.0,0.0,0.0,1.30158644540509e-19,-4.62531539727003e-16,-3.12806757964678e-22,-4.62401693889221e-16,5.7863526969814e-17,-1.1,-1.1,0.0,0.0,8.90099428592468e-24,0.0,8.90099428592468e-24,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260903629,238916.125087583
3e-08,0.05,0.05,0.0,-1.33910446643642e-19,4.62535935310176e-16,1.44900761603979e-23,4.62402039353608e-16,5.96732138311073e-17,0.0,0.0,0.0,1.15660315051051e-19,-4.62517180821971e-16,-3.12806742501437e-22,-4.62401833313662e-16,5.7863526969814e-17,-1.1,-1.1,0.0,0.0,-4.33118177588574e-24,0.0,-4.33118177588574e-24,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260903629,238916.125087583
3.5e-08,0.05,0.05,0.0,-1.33965748508952e-19,4.62535935310177e-16,1.44901061552574e-23,4.62401984051774e-16,5.96732138311073e-17,0.0,0.0,0.0,3.9032772748241e-19,-4.62791611731412e-16,-3.12806729740483e-22,-4.6240159681066e-16,5.7863526969814e-17,-1.1,-1.1,0.0,0.0,5.16192425540827e-24,0.0,5.16192425540827e-24,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260903629,238916.125087583
4e-08,0.05,0.05,0.0,-4.78551996771032e-19,4.62880549030949e-16,1.44900952194964e-23,4.62402011524273e-16,5.96732138311073e-17,0.0,0.0,0.0,1.40675594208819e-19,-4.6254194260718e-16,-3.12806740163214e-22,-4.62401579819711e-16,5.78635269698139e-17,-1.1,-1.1,0.0,0.0,-6.17994094042922e-24,0.0,-6.17994094042922e-24,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260903629,238916.125087583
4.5e-08,0.05,0.05,0.0,-4.78549603091812e-19,4.62880549030948e-16,1.44900773796399e-23,4.62402013917934e-16,5.96732138311074e-17,0.0,0.0,0.0,1.1589556550905e-19,-4.62517180821971e-16,-3.12806747063429e-22,-4.62401598063209e-16,5.7863526969814e-17,-1.1,-1.1,0.0,0.0,8.96851580074749e-24,0.0,8.96851580074749e-24,-2.6476140619002e-16,0.0,3.48113176017022e-07,-7.37701260903629,238916.125087583
