time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
4.04e-07,0.05,0.05,0.0,-2.0641707420348e-13,1.64078390231959e-07,2.37261933338648e-23,1.64078183814885e-07,6.93186165060153e-17,0.0,0.0,0.0,-2.03818318984186e-13,1.65255734773523e-07,2.73475173026368e-23,1.65255530955204e-07,6.75916341696547e-17,-1.3,-1.3,0.0,0.0,-3.29333714770092e-07,0.0,-3.29333714770092e-07,-2.35800979869387e-16,0.0,3.76964656900609e-07,4.41712860517437,104118.598497473
4.09e-07,0.05,0.05,0.0,-2.84357132961076e-17,5.75019979316032e-11,1.49490433969099e-23,5.75019694959049e-11,6.91383240319047e-17,0.0,0.0,0.0,-2.80803523738228e-17,5.5983449598751e-11,1.65660076180343e-23,5.59834215184151e-11,6.73945641549838e-17,-1.3,-1.3,0.0,0.0,-1.13485391014307e-10,0.0,-1.13485391014307e-10,-2.4008681838365e-16,0.0,3.76720408547494e-07,12.4358223701099,115749.242293498
4.14e-07,0.05,0.05,0.0,-2.32436417091889e-18,4.52253310125355e-11,1.48998368490936e-23,4.52253286881862e-11,6.91187920662676e-17,0.0,0.0,0.0,-2.28839985527963e-18,4.42319077930972e-11,1.65290343840036e-23,4.42319055047139e-11,6.73712399601347e-17,-1.3,-1.3,0.0,0.0,-8.94572341929113e-11,0.0,-8.94572341929113e-11,-2.40550139391944e-16,0.0,3.76476774232473e-07,12.1940934742655,117072.363103283
4.19e-07,0.05,0.05,0.0,-1.65917590241023e-18,4.1421151320891e-11,1.49058372615403e-23,4.142114966173e-11,6.90945463866747e-17,0.0,0.0,0.0,-1.14355502506047e-18,4.07027146467463e-11,1.65387377924347e-23,4.07027135032078e-11,6.73449013194712e-17,-1.3,-1.3,0.0,0.0,-8.21238631649592e-11,0.0,-8.21238631649592e-11,-2.40965059479158e-16,0.0,3.76233733882994e-07,11.9914240177846,118294.433680529
4.24e-07,0.05,0.05,0.0,-1.22975150474666e-18,3.85369594870504e-11,1.49108645055927e-23,3.85369582573138e-11,6.90689011866372e-17,0.0,0.0,0.0,-7.11056604038495e-19,3.7967778096969e-11,1.65463870396194e-23,3.7967777385929e-11,6.73179918798389e-17,-1.3,-1.3,0.0,0.0,-7.65047356441312e-11,0.0,-7.65047356441312e-11,-2.41347583157378e-16,0.0,3.75991291593137e-07,11.8274540860768,119441.325814932
4.29e-07,0.05,0.05,0.0,-7.01897025771698e-19,3.6029026877457e-11,1.49144852709286e-23,3.60290261755749e-11,6.90432854299919e-17,0.0,0.0,0.0,-7.28562132410656e-19,3.55513633999466e-11,1.65522435834885e-23,3.5551362671401e-11,6.72915064436741e-17,-1.3,-1.3,0.0,0.0,-7.15803888471079e-11,0.0,-7.15803888471079e-11,-2.41705485101614e-16,0.0,3.75749396111212e-07,11.687416693204,120526.422223543
4.34e-07,0.05,0.05,0.0,-1.09333456720393e-18,3.37803942103596e-11,1.49171406280563e-23,3.37803931170399e-11,6.90182449055424e-17,0.0,0.0,0.0,-6.94088084209818e-19,3.3360967593212e-11,1.65569250760286e-23,3.33609668991404e-11,6.72658294431159e-17,-1.3,-1.3,0.0,0.0,-6.71413600161923e-11,0.0,-6.71413600161923e-11,-2.42041191901695e-16,0.0,3.75508048633061e-07,11.5649316009127,121553.485122811
4.39e-07,0.05,0.05,0.0,-1.07311699097221e-18,3.17279759270472e-11,1.49191321022273e-23,3.17279748539452e-11,6.89940580587489e-17,0.0,0.0,0.0,-5.05673245860913e-19,3.1347370127449e-11,1.65607944542025e-23,3.13473696217923e-11,6.724114732276e-17,-1.3,-1.3,0.0,0.0,-6.30753444765352e-11,0.0,-6.30753444765352e-11,-2.42356568624078e-16,0.0,3.75267250179693e-07,11.4558425075451,122526.001008853
4.44e-07,0.05,0.05,0.0,-8.382433772486e-19,2.98342665428142e-11,1.49206524086163e-23,2.98342657045857e-11,6.89708576257287e-17,0.0,0.0,0.0,-4.322069740741e-19,2.94808386026202e-11,1.65640555506964e-23,2.94808381704298e-11,6.72175396388533e-17,-1.3,-1.3,0.0,0.0,-5.93151038750423e-11,0.0,-5.93151038750423e-11,-2.42653144143453e-16,0.0,3.75027001607931e-07,11.357445881573,123447.22887134
4.49e-07,0.05,0.05,0.0,-1.05708722095742e-18,2.80752116520402e-11,1.49218228298686e-23,2.80752105949679e-11,6.89486951242148e-17,0.0,0.0,0.0,-7.61578861517015e-19,2.77417161487964e-11,1.6566833781727e-23,2.77417153872341e-11,6.71950266206375e-17,-1.3,-1.3,0.0,0.0,-5.58169259828166e-11,0.0,-5.58169259828166e-11,-2.42932228773367e-16,0.0,3.74787303620394e-07,11.2679399055138,124320.223273703
