time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
0.0,0.05,0.05,0.0,-2.4048557442623e-22,2.56510260893102e-15,3.77157977269185e-23,2.56510240616124e-15,5.89180064332315e-17,0.0,0.0,0.0,-2.29616427858294e-22,-2.56510552458291e-15,-1.34989598331184e-22,-2.56510588918893e-15,5.65404042733536e-17,-0.5,-0.5,0.0,0.0,-4.78643599951649e-21,0.0,-4.78643599951649e-21,-2.52523098487768e-16,0.0,3.02561736140343e-07,-15.3602100614986,211220.092448766
5e-09,0.05,0.05,0.0,3.14842134280587e-19,2.56478864248382e-15,3.92644265533182e-23,2.56510352388253e-15,5.89180064332319e-17,0.0,0.0,0.0,1.01105956593217e-19,-2.565204464652e-15,-1.34298922559055e-22,-2.56510349299433e-15,5.65404042733614e-17,-0.5,-0.5,0.0,0.0,-1.55545579828628e-22,0.0,-1.55545579828628e-22,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.3602100648104,211220.09244869
1e-08,0.05,0.05,0.0,3.1453480701708e-19,2.56478864248383e-15,3.92636350924411e-23,2.56510321655448e-15,5.89180064332319e-17,0.0,0.0,0.0,-2.43385207206858e-19,-2.56486014397011e-15,-1.34296895577459e-22,-2.56510366347421e-15,5.65404042733614e-17,-0.5,-0.5,0.0,0.0,-2.50530874756589e-22,0.0,-2.50530874756589e-22,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.3602100646994,211220.09244869
1.5e-08,0.05,0.05,0.0,3.1445972250691e-19,2.56478864248382e-15,3.92631660845077e-23,2.5651031414695e-15,5.89180064332319e-17,0.0,0.0,0.0,-2.43136097976217e-19,-2.56486014397011e-15,-1.34295979806236e-22,-2.56510341436406e-15,5.65404042733614e-17,-0.5,-0.5,0.0,0.0,1.15824973860168e-23,0.0,1.15824973860168e-23,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.3602100646994,211220.09244869
2e-08,0.05,0.05,0.0,3.0458334165382e-19,2.56479860580568e-15,3.92632403454696e-23,2.56510322841058e-15,5.89180064332319e-17,0.0,0.0,0.0,1.00896019491236e-19,-2.565204464652e-15,-1.34296287868775e-22,-2.5651037029288e-15,5.65404042733614e-17,-0.5,-0.5,0.0,0.0,3.1178741766398e-24,0.0,3.1178741766398e-24,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.360210064698,211220.09244869
2.5e-08,0.05,0.05,0.0,3.14357056018228e-19,2.56478864248382e-15,3.92632169149072e-23,2.56510303880306e-15,5.89180064332319e-17,0.0,0.0,0.0,-2.53353434570994e-19,-2.56484944805105e-15,-1.34296305231403e-22,-2.56510293578193e-15,5.65404042733615e-17,-0.5,-0.5,0.0,0.0,-6.07693633405369e-25,0.0,-6.07693633405369e-25,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.3602100646994,211220.09244869
3e-08,0.05,0.05,0.0,3.14599261588751e-19,2.56478864248382e-15,3.92631981491494e-23,2.56510328100861e-15,5.89180064332319e-17,0.0,0.0,0.0,1.00841546469332e-19,-2.565204464652e-15,-1.34296297183827e-22,-2.56510375740183e-15,5.65404042733614e-17,-0.5,-0.5,0.0,0.0,-1.09377357036983e-24,0.0,-1.09377357036983e-24,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.3602100646983,211220.092448691
3.5e-08,0.05,0.05,0.0,3.14481482042818e-19,2.56478864248382e-15,3.92632157896532e-23,2.56510316322908e-15,5.89180064332319e-17,0.0,0.0,0.0,1.15236067511538e-19,-2.56521823747928e-15,-1.34296237157711e-22,-2.565103135708e-15,5.65404042733614e-17,-0.5,-0.5,0.0,0.0,-5.6614193197594e-25,0.0,-5.6614193197594e-25,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.3602100647023,211220.09244869
4e-08,0.05,0.05,0.0,3.14663068666146e-19,2.56478864248382e-15,3.92632231889957e-23,2.56510334481571e-15,5.89180064332319e-17,0.0,0.0,0.0,1.15026105652613e-19,-2.56521823747928e-15,-1.34296280969791e-22,-2.5651033456699e-15,5.65404042733614e-17,-0.5,-0.5,0.0,0.0,3.07945759525754e-24,0.0,3.07945759525754e-24,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.3602100646958,211220.09244869
4.5e-08,0.05,0.05,0.0,3.14765132069343e-19,2.56478864248382e-15,3.92632182020801e-23,2.56510344687911e-15,5.89180064332319e-17,0.0,0.0,0.0,1.14221644485392e-19,-2.56521823747927e-15,-1.3429620474736e-22,-2.56510415013099e-15,5.65404042733615e-17,-0.5,-0.5,0.0,0.0,2.04529674900183e-25,0.0,2.04529674900183e-25,-2.52523098487567e-16,0.0,3.02561736140343e-07,-15.3602100646958,211220.09244869
