time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
1.414e-06,0.05,0.05,0.0,-3.11745342060521e-13,1.89809451439332e-07,1.32958047040003e-22,1.8980913969399e-07,5.78989287811685e-17,0.0,0.0,0.0,-3.10665894016786e-13,1.91974120232001e-07,1.41193911471923e-22,1.91973809566107e-07,5.54341074766407e-17,-0.5,-0.5,0.0,0.0,-3.81782949260099e-07,0.0,-3.81782949260099e-07,-2.1133819888162e-16,0.0,-1.95703570189264e-08,27.311660836678,212528.732906614
1.419e-06,0.05,0.05,0.0,-3.39910339294927e-17,5.2708138667647e-11,1.11794488127289e-22,5.27081046767249e-11,5.76671023582472e-17,0.0,0.0,0.0,-3.34145877251987e-17,5.14393632648268e-11,1.24975092018842e-22,5.14393298503641e-11,5.51778965353503e-17,-0.5,-0.5,0.0,0.0,-1.04147434527471e-10,0.0,-1.04147434527471e-10,-2.1638405632153e-16,0.0,-2.20532685551219e-08,37.4605236501265,227372.363819333
1.424e-06,0.05,0.05,0.0,-1.97780355076597e-18,4.02653506206719e-11,1.1205316867916e-22,4.02653486429804e-11,5.76216520068378e-17,0.0,0.0,0.0,-1.93400956137634e-18,3.93997361636422e-11,1.24961652918979e-22,3.93997342297576e-11,5.51296589818287e-17,-0.5,-0.5,0.0,0.0,-7.96650828730731e-11,0.0,-7.96650828730731e-11,-2.16796691504506e-16,0.0,-2.45322128376066e-08,37.4856876601754,229394.932856147
1.429e-06,0.05,0.05,0.0,-9.87654059596034e-19,3.71403578364849e-11,1.12313638558087e-22,3.71403568489431e-11,5.75763957952895e-17,0.0,0.0,0.0,-8.37036822927056e-19,3.6483061047075e-11,1.2494813547884e-22,3.64830602101631e-11,5.50828728874903e-17,-0.5,-0.5,0.0,0.0,-7.36234170580987e-11,0.0,-7.36234170580987e-11,-2.17168335862544e-16,0.0,-2.70073128800651e-08,37.5217802489077,231309.785143531
1.434e-06,0.05,0.05,0.0,-7.94327479369815e-19,3.46265722378611e-11,1.12567603243512e-22,3.46265714436462e-11,5.75321035833142e-17,0.0,0.0,0.0,-8.87451171032415e-19,3.40735579978543e-11,1.24936125928898e-22,3.40735571105281e-11,5.50375974352196e-17,-0.5,-0.5,0.0,0.0,-6.870012855584e-11,0.0,-6.870012855584e-11,-2.17511836505323e-16,0.0,-2.94785521701727e-08,37.5749611522807,233147.780287547
1.439e-06,0.05,0.05,0.0,-5.77944987765447e-19,3.23286182692601e-11,1.12814094318907e-22,3.23286176914279e-11,5.74889583995948e-17,0.0,0.0,0.0,-5.46647067130018e-19,3.18351690043759e-11,1.24924431773246e-22,3.18351684578538e-11,5.49936876363627e-17,-0.5,-0.5,0.0,0.0,-6.41637861494566e-11,0.0,-6.41637861494566e-11,-2.17832655436071e-16,0.0,-3.19462164589164e-08,37.6380595450213,234922.489416466
1.444e-06,0.05,0.05,0.0,-1.02608524876594e-18,3.01931300573506e-11,1.13053986531072e-22,3.01931290313784e-11,5.7447019126384e-17,0.0,0.0,0.0,-1.16970880929071e-18,2.97367295806227e-11,1.24913357635043e-22,2.97367284110388e-11,5.49510941768941e-17,-0.5,-0.5,0.0,0.0,-5.99298574433634e-11,0.0,-5.99298574433634e-11,-2.18132304723288e-16,0.0,-3.44103010464659e-08,37.7085554264082,236637.650733839
1.449e-06,0.05,0.05,0.0,-7.84419425770664e-19,2.8195652910533e-11,1.13287636296019e-22,2.81956521262269e-11,5.74062718080862e-17,0.0,0.0,0.0,-8.49348847975812e-19,2.77651666475888e-11,1.24902979902935e-22,2.77651657983649e-11,5.49097516313404e-17,-0.5,-0.5,0.0,0.0,-5.59608179266989e-11,0.0,-5.59608179266989e-11,-2.18412108812921e-16,0.0,-3.68708014168628e-08,37.7850796116839,238296.74784148
1.454e-06,0.05,0.05,0.0,-8.38920986609496e-19,2.63217591567812e-11,1.13515400107106e-22,2.63217583179738e-11,5.73666727844363e-17,0.0,0.0,0.0,-7.83946895215278e-19,2.59116319644783e-11,1.24893199636843e-22,2.59116311806563e-11,5.48695921858258e-17,-0.5,-0.5,0.0,0.0,-5.22333894978442e-11,0.0,-5.22333894978442e-11,-2.1867327576041e-16,0.0,-3.93277132308667e-08,37.8668408437369,239903.050024849
1.459e-06,0.05,0.05,0.0,-5.20563884302895e-19,2.45614457169189e-11,1.13737378305785e-22,2.45614451964687e-11,5.73281676084358e-17,0.0,0.0,0.0,-2.74312635718317e-19,2.41686732330594e-11,1.24884049077981e-22,2.41686729588717e-11,5.48305499860237e-17,-0.5,-0.5,0.0,0.0,-4.87301181562684e-11,0.0,-4.87301181562684e-11,-2.18916926351191e-16,0.0,-4.17810323191855e-08,37.953325540065,241459.628629665
