time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
1.717e-06,0.05,0.05,0.0,5.29814116541419e-12,2.30175406074116e-05,2.65613982233625e-22,2.30175459055528e-05,-1.07135520813732e-16,0.0,0.0,0.0,-4.85548881237679e-12,-2.42533373160903e-05,-2.39648193999455e-22,-2.42533421715791e-05,-1.08333688868528e-16,4.0,4.0,0.0,0.0,1.2357967518166e-06,0.0,1.2357967518166e-06,8.64929955228094e-16,0.0,-1.71695324636617e-07,-312.642387015138,-1658491.29568174
1.727e-06,0.05,0.05,0.0,1.18293500506453e-16,2.36363962478019e-05,2.7305987128193e-22,2.36363962479202e-05,-1.07187044602107e-16,0.0,0.0,0.0,-1.18209068329489e-16,-2.36364275206645e-05,-2.34172461909629e-22,-2.36364275207827e-05,-1.08385631785755e-16,4.0,4.0,0.0,0.0,3.12728627587168e-11,0.0,3.12728627587168e-11,8.65369169552796e-16,0.0,-1.76841897489465e-07,-312.36002833548,-1657886.5859681
1.737e-06,0.05,0.05,0.0,1.19322768949443e-16,2.36370423297568e-05,2.73053808661901e-22,2.36370423298761e-05,-1.07225141280206e-16,0.0,0.0,0.0,-1.18832258207081e-16,-2.36370737008117e-05,-2.34158318768561e-22,-2.36370737009305e-05,-1.08424149768812e-16,4.0,4.0,0.0,0.0,3.13710551948885e-11,0.0,3.13710551948885e-11,8.65682653536359e-16,0.0,-1.81998720567693e-07,-312.116463936279,-1657021.26389469
1.747e-06,0.05,0.05,0.0,1.05166307278475e-16,2.36376902983719e-05,2.73047697323649e-22,2.3637690298477e-05,-1.07263395634085e-16,0.0,0.0,0.0,-1.31818731140119e-16,-2.36377217767897e-05,-2.34144087414549e-22,-2.36377217769215e-05,-1.08462823587115e-16,4.0,4.0,0.0,0.0,3.14784177722948e-11,0.0,3.14784177722948e-11,8.65997186035035e-16,0.0,-1.87164290031935e-07,-311.872787050952,-1656154.47700725
1.757e-06,0.05,0.05,0.0,9.81101896321962e-17,2.36383400685537e-05,2.7304153750214e-22,2.36383400686518e-05,-1.07301801862588e-16,0.0,0.0,0.0,-1.42199868326839e-16,-2.36383716475377e-05,-2.34129768960086e-22,-2.36383716476799e-05,-1.08501647453452e-16,4.0,4.0,0.0,0.0,3.1578984015138e-11,0.0,3.1578984015138e-11,8.66312724553422e-16,0.0,-1.92338167762971e-07,-311.629008023847,-1655286.29892463
1.767e-06,0.05,0.05,0.0,9.76518435286772e-17,2.36389916309952e-05,2.73035328691234e-22,2.36389916310928e-05,-1.07340360038235e-16,0.0,0.0,0.0,-1.41383690616186e-16,-2.36390233103809e-05,-2.34115362882456e-22,-2.36390233105223e-05,-1.08540621411915e-16,4.0,4.0,0.0,0.0,3.16793852290161e-11,0.0,3.16793852290161e-11,8.66629267515067e-16,0.0,-1.97520334150444e-07,-311.385126339351,-1654416.73294045
1.777e-06,0.05,0.05,0.0,9.8146374850895e-17,2.36396449790922e-05,2.7302907043007e-22,2.36396449791904e-05,-1.07379070184542e-16,0.0,0.0,0.0,-1.42364712100911e-16,-2.36396767586846e-05,-2.34100868643259e-22,-2.36396767588269e-05,-1.08579745458213e-16,4.0,4.0,0.0,0.0,3.17795919973232e-11,0.0,3.17795919973232e-11,8.66946813048728e-16,0.0,-2.02710766732986e-07,-311.141141676368,-1653545.78282922
1.787e-06,0.05,0.05,0.0,9.17898380994606e-17,2.36403001918939e-05,2.7302276287893e-22,2.36403001919857e-05,-1.07417937372075e-16,0.0,0.0,0.0,-1.49770620194613e-16,-2.36403320793636e-05,-2.34086285414398e-22,-2.36403320795133e-05,-1.0861902456664e-16,4.0,4.0,0.0,0.0,3.18874696354282e-11,0.0,3.18874696354282e-11,8.67265398463976e-16,0.0,-2.07909440252076e-07,-310.897052148665,-1652673.45283363
1.797e-06,0.05,0.05,0.0,-9.27471381630385e-16,2.36409621838077e-05,2.73016295692932e-22,2.36409621828802e-05,-1.07457423385427e-16,0.0,0.0,0.0,-9.9189715323379e-16,-2.36409945662581e-05,-2.34071424887359e-22,-2.364099456725e-05,-1.08658912391459e-16,4.0,4.0,0.0,0.0,3.23824506862304e-11,0.0,3.23824506862304e-11,8.67587474491583e-16,0.0,-2.13138045338137e-07,-310.654053521217,-1651796.08290595
1.807e-06,0.05,0.05,0.0,-1.92946823146101e-15,2.36416389003762e-05,2.73009575514409e-22,2.36416388984467e-05,-1.07497947554816e-16,0.0,0.0,0.0,-1.87815357076616e-15,-2.36416720437287e-05,-2.34056094323902e-22,-2.36416720456069e-05,-1.08699839860106e-16,4.0,4.0,0.0,0.0,3.31433525016519e-11,0.0,3.31433525016519e-11,8.67917006823874e-16,0.0,-2.18481272542769e-07,-310.407782969453,-1650899.4501079
