time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
8.08e-07,0.05,0.05,0.0,-1.92863223825972e-13,1.45938091250691e-07,8.34522475842134e-23,1.45937898387467e-07,6.00911362631571e-17,0.0,0.0,0.0,-1.90413419217047e-13,1.47617664520229e-07,1.27415027085198e-22,1.4761747410681e-07,5.76864168791077e-17,-0.5,-0.5,0.0,0.0,-2.93555372494277e-07,0.0,-2.93555372494277e-07,-2.16376034020032e-16,0.0,2.53784963582055e-07,7.11229246642712,128721.62790748
8.13e-07,0.05,0.05,0.0,-3.01107233605068e-17,5.49761678601428e-11,6.43214370838957e-23,5.49761377494838e-11,5.99120211364367e-17,0.0,0.0,0.0,-2.93556125391947e-17,5.36670838347956e-11,1.09195231944664e-22,5.36670544792922e-11,5.7482795435681e-17,-0.5,-0.5,0.0,0.0,-1.08643192229044e-10,0.0,-1.08643192229044e-10,-2.20942756063725e-16,0.0,2.52857719761043e-07,18.6093211915549,141567.843387442
8.18e-07,0.05,0.05,0.0,-1.9965934702317e-18,4.33777655197991e-11,6.45645686641893e-23,4.33777635232702e-11,5.98826805832753e-17,0.0,0.0,0.0,-2.31444476772145e-18,4.2428049042159e-11,1.0930315449729e-22,4.24280467278235e-11,5.74503915700364e-17,-0.5,-0.5,0.0,0.0,-8.58058102512821e-11,0.0,-8.58058102512821e-11,-2.21385781660673e-16,0.0,2.51932267075239e-07,18.5733587515549,143104.074887332
8.23e-07,0.05,0.05,0.0,-1.04690568038282e-18,4.01628025799639e-11,6.4811578705168e-23,4.01628015331231e-11,5.98527050423877e-17,0.0,0.0,0.0,-1.08090608607438e-18,3.94335201375247e-11,1.0940792622146e-22,3.9433519056728e-11,5.74186027438481e-17,-0.5,-0.5,0.0,0.0,-7.95963205901892e-11,0.0,-7.95963205901892e-11,-2.21787407675646e-16,0.0,2.51008543947086e-07,18.5447048511055,144536.554120022
8.28e-07,0.05,0.05,0.0,-8.08359700914697e-19,3.75758070215479e-11,6.50517306929432e-23,3.75758062132533e-11,5.98232270126387e-17,0.0,0.0,0.0,-7.08298306565922e-19,3.69801353546767e-11,1.09511008483592e-22,3.69801346464879e-11,5.7387993151881e-17,-0.5,-0.5,0.0,0.0,-7.45559408635885e-11,0.0,-7.45559408635885e-11,-2.22160187379964e-16,0.0,2.50086556016852e-07,18.53615296687,145893.057108932
8.33e-07,0.05,0.05,0.0,-6.89076105441157e-19,3.52311682949043e-11,6.52870446553853e-23,3.52311676058934e-11,5.979464712652e-17,0.0,0.0,0.0,-7.30292125603951e-19,3.47209387374113e-11,1.09611734206297e-22,3.47209380072288e-11,5.73586104144527e-17,-0.5,-0.5,0.0,0.0,-6.99521056139853e-11,0.0,-6.99521056139853e-11,-2.22509947908034e-16,0.0,2.49166162489865e-07,18.5401688011835,147186.998726011
8.38e-07,0.05,0.05,0.0,-8.66127952211477e-19,3.3066780830583e-11,6.55176410062367e-23,3.30667799645205e-11,5.97671151633088e-17,0.0,0.0,0.0,-9.75665060985515e-19,3.2612582873917e-11,1.0971080938503e-22,3.26125818983617e-11,5.73304626589854e-17,-0.5,-0.5,0.0,0.0,-6.56793618625218e-11,0.0,-6.56793618625218e-11,-2.22838344717347e-16,0.0,2.48247363518206e-07,18.5535514045348,148422.105769817
8.43e-07,0.05,0.05,0.0,-4.2606998171266e-19,3.10510493267718e-11,6.57438958422369e-23,3.10510489007676e-11,5.974067175867e-17,0.0,0.0,0.0,-8.53606822317277e-19,3.06357748542657e-11,1.09808485057292e-22,3.06357740007687e-11,5.7303509890969e-17,-0.5,-0.5,0.0,0.0,-6.16868229090552e-11,0.0,-6.16868229090552e-11,-2.23146778831892e-16,0.0,2.47330159080904e-07,18.5743203363708,149601.852636066
8.48e-07,0.05,0.05,0.0,-9.59623450578999e-19,2.91650257808884e-11,6.5966010236377e-23,2.91650248213309e-11,5.97153048476843e-17,0.0,0.0,0.0,-7.40031929077164e-19,2.87788185837191e-11,1.09904856085409e-22,2.8778817843797e-11,5.7277695493278e-17,-0.5,-0.5,0.0,0.0,-5.79438426645153e-11,0.0,-5.79438426645153e-11,-2.23436498045214e-16,0.0,2.46414548993515e-07,18.6012450042632,150729.4999198
8.53e-07,0.05,0.05,0.0,-4.55675654237742e-19,2.73959775131623e-11,6.61843438264193e-23,2.73959770575529e-11,5.96909779146857e-17,0.0,0.0,0.0,-1.00926613336199e-19,2.70330798031586e-11,1.099999388796e-22,2.70330797023419e-11,5.72529586708148e-17,-0.5,-0.5,0.0,0.0,-5.44290567688647e-11,0.0,-5.44290567688647e-11,-2.23708643329059e-16,0.0,2.45500532917171e-07,18.6335280721394,151808.111114705
