time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
0.0,0.05,0.05,0.0,-2.46962142272035e-22,1.87462955445173e-13,2.62150773583916e-22,1.87462955460362e-13,4.70542960760953e-17,0.0,0.0,0.0,-3.71963852285215e-22,-1.87462897294462e-13,-3.83246274044585e-22,-1.87462898049672e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,-5.38622618014931e-21,0.0,-5.38622618014931e-21,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952185,201446.553618424
5e-09,0.05,0.05,0.0,-1.11003387844352e-20,1.87462943693977e-13,2.61044299354336e-22,1.87462932854682e-13,4.70542960760953e-17,0.0,0.0,0.0,1.13616353063834e-20,-1.87462947210443e-13,-3.86042125012694e-22,-1.8746293623485e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,6.80511911750249e-23,0.0,6.80511911750249e-23,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952262,201446.553618425
1e-08,0.05,0.05,0.0,6.02578112029748e-20,1.87462873364646e-13,2.61046941589949e-22,1.87462933883504e-13,4.70542960760953e-17,0.0,0.0,0.0,1.01001788608257e-20,-1.87462943693977e-13,-3.8603631758042e-22,-1.87462933979834e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,-8.79294284517909e-23,0.0,-8.79294284517909e-23,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952358,201446.553618425
1.5e-08,0.05,0.05,0.0,-1.0753125761526e-20,1.87462943693977e-13,2.61043151601553e-22,1.87462933201894e-13,4.70542960760953e-17,0.0,0.0,0.0,1.10226631738279e-20,-1.87462947210443e-13,-3.86040303639497e-22,-1.8746293657382e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,5.9106056939922e-24,0.0,5.9106056939922e-24,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952265,201446.553618425
2e-08,0.05,0.05,0.0,-7.83915603299194e-21,1.87462943693977e-13,2.61043234304268e-22,1.87462936115864e-13,4.70542960760953e-17,0.0,0.0,0.0,1.12814727174482e-20,-1.87462943693977e-13,-3.86040018433719e-22,-1.87462932798544e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,-1.67099349551513e-24,0.0,-1.67099349551513e-24,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952254,201446.553618424
2.5e-08,0.05,0.05,0.0,-2.0755346337802e-20,1.87462954243376e-13,2.61043229890587e-22,1.87462933749073e-13,4.70542960760953e-17,0.0,0.0,0.0,9.00724588655176e-21,-1.87462947210443e-13,-3.86039922181347e-22,-1.87462938589237e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,-5.03814379831798e-25,0.0,-5.03814379831798e-25,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952252,201446.553618425
3e-08,0.05,0.05,0.0,-5.7740465090913e-21,1.87462943693977e-13,2.61043304249751e-22,1.87462938180974e-13,4.70542960760953e-17,0.0,0.0,0.0,9.53175983677747e-21,-1.87462947210443e-13,-3.86039963467932e-22,-1.87462938064723e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,5.59485482277963e-25,0.0,5.59485482277963e-25,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952262,201446.553618425
3.5e-08,0.05,0.05,0.0,-1.05067584786363e-20,1.87462943693977e-13,2.61043180823527e-22,1.87462933448261e-13,4.70542960760953e-17,0.0,0.0,0.0,7.55866761233992e-21,-1.87462943693977e-13,-3.86040006230478e-22,-1.87462936521349e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,-1.56711424194157e-24,0.0,-1.56711424194157e-24,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952262,201446.553618425
4e-08,0.05,0.05,0.0,-1.2230935721745e-20,1.87462943693977e-13,2.61043340165193e-22,1.87462931724084e-13,4.70542960760953e-17,0.0,0.0,0.0,9.16281653293383e-21,-1.87462943693977e-13,-3.86040051374549e-22,-1.874629349172e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,9.84805427121869e-25,0.0,9.84805427121869e-25,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952262,201446.553618425
4.5e-08,0.05,0.05,0.0,-1.1676640009833e-20,1.87462943693977e-13,2.61043315310145e-22,1.8746293227838e-13,4.70542960760953e-17,0.0,0.0,0.0,1.36900300781628e-20,-1.87462947210443e-13,-3.86040046218972e-22,-1.87462933906453e-13,4.50833016441216e-17,-0.5,-0.5,0.0,0.0,5.85455295671355e-25,0.0,5.85455295671355e-25,-2.20385701136955e-16,0.0,2.86806140912211e-07,-283.268950952252,201446.553618425
