time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
1.717e-06,0.05,0.05,0.0,5.98763422839327e-12,2.24408063821894e-05,2.54081052739448e-22,2.24408123698236e-05,-7.50983430561487e-17,0.0,0.0,0.0,-5.40018757509529e-12,-2.33431302627345e-05,-2.24656888252392e-22,-2.33431356629221e-05,-7.59812513669707e-17,3.5,3.5,0.0,0.0,9.02323911484054e-07,0.0,9.02323911484054e-07,6.00036891977495e-16,0.0,6.50459583729868e-10,-215.598103568178,-1182185.45354032
1.727e-06,0.05,0.05,0.0,9.2027052310931e-17,2.28927360100788e-05,2.5938317126165e-22,2.28927360101708e-05,-7.51259893137359e-17,0.0,0.0,0.0,-9.17295294016292e-17,-2.28927519638174e-05,-2.20767721428152e-22,-2.28927519639092e-05,-7.60091380844814e-17,3.5,3.5,0.0,0.0,1.59537384466088e-11,0.0,1.59537384466088e-11,6.00273299873967e-16,0.0,-2.50492252482873e-09,-215.456181254092,-1181715.88353627
1.737e-06,0.05,0.05,0.0,9.30884853927644e-17,2.28932395131919e-05,2.59379130756795e-22,2.2893239513285e-05,-7.51455757351781e-17,0.0,0.0,0.0,-9.16853030232195e-17,-2.28932555327926e-05,-2.2075843202013e-22,-2.28932555328842e-05,-7.60289675046232e-17,3.5,3.5,0.0,0.0,1.60196001564683e-11,0.0,1.60196001564683e-11,6.00433336108175e-16,0.0,-5.66886974276405e-09,-215.340910541668,-1181086.44987266
1.747e-06,0.05,0.05,0.0,7.8694809510326e-17,2.28937450675139e-05,2.59375050717065e-22,2.28937450675926e-05,-7.51652643778656e-17,0.0,0.0,0.0,-1.06967527053708e-16,-2.28937611575267e-05,-2.20749090475783e-22,-2.28937611576336e-05,-7.60488979345501e-17,3.5,3.5,0.0,0.0,1.60900124458517e-11,0.0,1.60900124458517e-11,6.00594068845588e-16,0.0,-8.84021755200976e-09,-215.225453304803,-1180455.54269744
1.757e-06,0.05,0.05,0.0,6.90454178572947e-17,2.28942525838586e-05,2.59370931655147e-22,2.28942525839276e-05,-7.51850513944839e-17,0.0,0.0,0.0,-1.16403827974401e-16,-2.28942687406687e-05,-2.20739698005782e-22,-2.28942687407851e-05,-7.60689255438148e-17,3.5,3.5,0.0,0.0,1.61568101454531e-11,0.0,1.61568101454531e-11,6.00755470086157e-16,0.0,-1.20186161879136e-08,-215.109818406446,-1179823.23169632
1.767e-06,0.05,0.05,0.0,6.86956274098723e-17,2.28947620512321e-05,2.59366773276289e-22,2.28947620513008e-05,-7.52049366083611e-17,0.0,0.0,0.0,-1.17457219896524e-16,-2.28947782746207e-05,-2.2073025445605e-22,-2.28947782747381e-05,-7.60890501435882e-17,3.5,3.5,0.0,0.0,1.62233884520713e-11,0.0,1.62233884520713e-11,6.00917537665759e-16,0.0,-1.52040349571734e-08,-214.994005547293,-1179189.52297676
1.777e-06,0.05,0.05,0.0,6.9085623655849e-17,2.28952734599598e-05,2.59362575310024e-22,2.28952734600289e-05,-7.52249198231856e-17,0.0,0.0,0.0,-1.18245253548188e-16,-2.28952897496951e-05,-2.2072075966448e-22,-2.28952897498134e-05,-7.61092715257361e-17,3.5,3.5,0.0,0.0,1.62897355109507e-11,0.0,1.62897355109507e-11,6.01080269301401e-16,0.0,-1.83964417757474e-08,-214.878014527118,-1178554.42292433
1.787e-06,0.05,0.05,0.0,6.58570980319389e-17,2.28957868850678e-05,2.5935833750653e-22,2.28957868851337e-05,-7.52450031969867e-17,0.0,0.0,0.0,-1.22306039202172e-16,-2.28958032459381e-05,-2.20711213354114e-22,-2.28958032460604e-05,-7.61295917332464e-17,3.5,3.5,0.0,0.0,1.63608707104497e-11,0.0,1.63608707104497e-11,6.01243687748376e-16,0.0,-2.15958031993844e-08,-214.761843134243,-1177917.9381934
1.797e-06,0.05,0.05,0.0,-5.91958013274629e-16,2.28963064365536e-05,2.593539907047e-22,2.28963064359616e-05,-7.52654151794636e-17,0.0,0.0,0.0,-6.77322964765113e-16,-2.28963230767618e-05,-2.20701496312589e-22,-2.28963230774391e-05,-7.61502340801987e-17,3.5,3.5,0.0,0.0,1.66402082274094e-11,0.0,1.66402082274094e-11,6.01409133813245e-16,0.0,-2.48212906186201e-08,-214.669898826692,-1177276.23848028
1.807e-06,0.05,0.05,0.0,-9.84873200226355e-16,2.2896837591588e-05,2.59349491903249e-22,2.28968375906031e-05,-7.5286347871268e-17,0.0,0.0,0.0,-1.03832680940429e-15,-2.28968546132171e-05,-2.20691496877834e-22,-2.28968546142554e-05,-7.61713976738578e-17,3.5,3.5,0.0,0.0,1.70216289105855e-11,0.0,1.70216289105855e-11,6.01578397387851e-16,0.0,-2.81206483912509e-08,-214.574130974102,-1176619.82702466
1.817e-06,0.05,0.05,0.0,-9.7210383860551e-16,2.2897380342275e-05,2.5934484028668e-22,2.28973803413029e-05,-7.53078000199127e-17,0.0,0.0,0.0,-1.03147574133064e-15,-2.28973977439551e-05,-2.20681214059102e-22,-2.28973977449866e-05,-7.61930811967739e-17,3.5,3.5,0.0,0.0,1.74016803207863e-11,0.0,1.74016803207863e-11,6.01751464936417e-16,0.0,-3.14935674977565e-08,-214.474547762463,-1175948.76539364
