time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
0.0,0.05,0.05,0.0,-1.34018064611942e-22,7.54283365437299e-16,6.44788627781675e-24,7.54283237867121e-16,5.62531410248297e-17,0.0,0.0,0.0,-1.2952822748636e-22,-7.54283431975578e-16,-4.29269948786174e-23,-7.542836044308e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,-4.80533123063324e-21,0.0,-4.80533123063324e-21,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
5e-09,0.05,0.05,0.0,-2.65964394815258e-19,7.54549323963615e-16,9.15917259983107e-24,7.54283368727972e-16,5.62531410248297e-17,0.0,0.0,0.0,1.06610215363359e-19,-7.54389910813871e-16,-4.41529628063088e-23,-7.5428334475147e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,3.1298739718409e-23,0.0,3.1298739718409e-23,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
1e-08,0.05,0.05,0.0,-2.65950232943876e-19,7.54549323963616e-16,9.15984693307324e-24,7.54283382890519e-16,5.62531410248297e-17,0.0,0.0,0.0,1.44211891068929e-19,-7.54427419790281e-16,-4.41527554474694e-23,-7.54283252051968e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,-7.54742381033469e-23,0.0,-7.54742381033469e-23,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
1.5e-08,0.05,0.05,0.0,-2.65986299942431e-19,7.54549323963615e-16,9.15995225762074e-24,7.54283346823625e-16,5.62531410248297e-17,0.0,0.0,0.0,1.44118056857935e-19,-7.54427419790281e-16,-4.4152919043579e-23,-7.54283345886342e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,-6.6255121767786e-24,0.0,-6.6255121767786e-24,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
2e-08,0.05,0.05,0.0,-2.65977921172286e-19,7.54549323963616e-16,9.15994602455599e-24,7.54283355202389e-16,5.62531410248297e-17,0.0,0.0,0.0,1.44122589959333e-19,-7.54427419790281e-16,-4.41528037359656e-23,-7.54283341353126e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,9.24438461087653e-25,0.0,9.24438461087653e-25,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
2.5e-08,0.05,0.05,0.0,-2.6598428547769e-19,7.54549323963616e-16,9.15993754992598e-24,7.54283348838075e-16,5.62531410248297e-17,0.0,0.0,0.0,1.44126562777546e-19,-7.54427419790281e-16,-4.41527595138158e-23,-7.54283337380263e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,2.53373944455519e-26,0.0,2.53373944455519e-26,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
3e-08,0.05,0.05,0.0,-2.65983621318476e-19,7.54549323963615e-16,9.15993112541657e-24,7.54283349502228e-16,5.62531410248297e-17,0.0,0.0,0.0,1.06609250619866e-19,-7.54389910813871e-16,-4.41527849495348e-23,-7.54283345716036e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,8.33445289648971e-25,0.0,8.33445289648971e-25,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
3.5e-08,0.05,0.05,0.0,-2.65983638037358e-19,7.54549323963615e-16,9.15993277763026e-24,7.54283349485511e-16,5.62531410248297e-17,0.0,0.0,0.0,1.44098774916747e-19,-7.54427419790282e-16,-4.41527620281056e-23,-7.54283365168127e-16,5.40666077111029e-17,-0.5,-0.5,0.0,0.0,-1.03264596835366e-24,0.0,-1.03264596835366e-24,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
4e-08,0.05,0.05,0.0,-2.65986998934689e-19,7.54549323963616e-16,9.15994538390314e-24,7.54283346124627e-16,5.62531410248297e-17,0.0,0.0,0.0,1.44102546428283e-19,-7.54427419790281e-16,-4.41527762728129e-23,-7.54283361396629e-16,5.40666077111029e-17,-0.5,-0.5,0.0,0.0,-1.245102107192e-27,0.0,-1.245102107192e-27,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
4.5e-08,0.05,0.05,0.0,-2.65982559282879e-19,7.54549323963616e-16,9.15993224233193e-24,7.54283350564265e-16,5.62531410248297e-17,0.0,0.0,0.0,1.06609655267864e-19,-7.54389910813871e-16,-4.41527865708642e-23,-7.5428334531139e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,4.71923336531652e-25,0.0,4.71923336531652e-25,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
5e-08,0.05,0.05,0.0,-2.65982271880141e-19,7.54549323963616e-16,9.15993175126672e-24,7.54283350851667e-16,5.62531410248297e-17,0.0,0.0,0.0,1.44101351768356e-19,-7.54427419790281e-16,-4.41527645774081e-23,-7.54283362591277e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,6.25528896193936e-26,0.0,6.25528896193936e-26,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
5.5e-08,0.05,0.05,0.0,-2.65987338610511e-19,7.54549323963615e-16,9.15994528819364e-24,7.5428334578495e-16,5.62531410248297e-17,0.0,0.0,0.0,1.44115957621383e-19,-7.54427419790281e-16,-4.41527663255051e-23,-7.54283347985426e-16,5.4066607711103e-17,-0.5,-0.5,0.0,0.0,-7.45555005584025e-25,0.0,-7.45555005584025e-25,-2.48815526987855e-16,0.0,2.92917720786982e-07,-12175.0310644642,118662.016574576
