time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
1.717e-06,0.05,0.05,0.0,3.31940938212302e-12,1.53061593220392e-05,1.37035316060813e-22,1.53061626414485e-05,-1.08098063730458e-16,0.0,0.0,0.0,-2.76663056661443e-12,-1.65450010137085e-05,-1.071928096552e-22,-1.65450037803391e-05,-1.0903166258651e-16,4.0,4.0,0.0,0.0,1.23884173402034e-06,0.0,1.23884173402034e-06,8.68145060414335e-16,0.0,-1.88037677435105e-07,98486.7989981321,-960614.461995532
1.727e-06,0.05,0.05,0.0,7.05048883448157e-17,1.59263057350289e-05,1.43202006356988e-22,1.59263057350994e-05,-1.08161177797035e-16,0.0,0.0,0.0,-7.01752007966704e-17,-1.59263374213214e-05,-1.03681775934959e-22,-1.59263374213916e-05,-1.09095100900166e-16,4.0,4.0,0.0,0.0,3.16862924203233e-11,0.0,3.16862924203233e-11,8.68676961560257e-16,0.0,-1.93242934286289e-07,98460.2575401983,-960355.17401618
1.737e-06,0.05,0.05,0.0,6.99440174549832e-17,1.59266906067102e-05,1.43186671931678e-22,1.59266906067802e-05,-1.08199616511727e-16,0.0,0.0,0.0,-7.06616909591774e-17,-1.59267223906271e-05,-1.03663754521552e-22,-1.59267223906978e-05,-1.09133869525378e-16,4.0,4.0,0.0,0.0,3.17839168906072e-11,0.0,3.17839168906072e-11,8.68994576413996e-16,0.0,-1.98458288861154e-07,98408.4833414566,-959849.988115353
1.747e-06,0.05,0.05,0.0,5.74761993232956e-17,1.59270766220838e-05,1.43171326332476e-22,1.59270766221413e-05,-1.08238212837542e-16,0.0,0.0,0.0,-8.41406849245056e-17,-1.59271085129063e-05,-1.03645680502069e-22,-1.59271085129904e-05,-1.09172793835266e-16,4.0,4.0,0.0,0.0,3.18908226122341e-11,0.0,3.18908226122341e-11,8.69313234326867e-16,0.0,-2.03682244814526e-07,98356.6238789453,-959343.97109152
1.757e-06,0.05,0.05,0.0,4.9676274403762e-17,1.59274637323024e-05,1.43155973254269e-22,1.59274637323521e-05,-1.08276960959108e-16,0.0,0.0,0.0,-9.43790915263574e-17,-1.59274957231376e-05,-1.03627557960501e-22,-1.5927495723232e-05,-1.09211868033347e-16,4.0,4.0,0.0,0.0,3.19908351156353e-11,0.0,3.19908351156353e-11,8.69632892746604e-16,0.0,-2.08914365292976e-07,98304.6834971505,-958837.165310737
1.767e-06,0.05,0.05,0.0,5.0416061097161e-17,1.59278519305967e-05,1.43140613367873e-22,1.59278519306472e-05,-1.08315860942747e-16,0.0,0.0,0.0,-9.36996135307898e-17,-1.59278840212698e-05,-1.03609387472988e-22,-1.59278840213635e-05,-1.09251092157213e-16,4.0,4.0,0.0,0.0,3.20906730582259e-11,0.0,3.20906730582259e-11,8.69953550000638e-16,0.0,-2.14154629394453e-07,98252.6624039332,-958329.572800809
1.777e-06,0.05,0.05,0.0,5.15478543264645e-17,1.5928241213169e-05,1.43125247406479e-22,1.59282412132206e-05,-1.08354912805721e-16,0.0,0.0,0.0,-9.23607604389317e-17,-1.59282734034761e-05,-1.03591169631857e-22,-1.59282734035685e-05,-1.09290466196158e-16,4.0,4.0,0.0,0.0,3.21903071484924e-11,0.0,3.21903071484924e-11,8.70275204123345e-16,0.0,-2.19403013404489e-07,98200.5608352642,-957821.195863797
1.787e-06,0.05,0.05,0.0,4.74810378026973e-17,1.59286316144119e-05,1.43109872795844e-22,1.59286316144594e-05,-1.08394121277872e-16,0.0,0.0,0.0,-9.75131335236648e-17,-1.5928663909599e-05,-1.0357290050428e-22,-1.59286639096965e-05,-1.09329994779516e-16,4.0,4.0,0.0,0.0,3.22951868665914e-11,0.0,3.22951868665914e-11,8.70597880251379e-16,0.0,-2.24659490850517e-07,98148.3790545482,-957312.037067644
1.797e-06,0.05,0.05,0.0,-9.21215359375336e-16,1.5929026328013e-05,1.4309428936031e-22,1.59290263270917e-05,-1.08433947350596e-16,0.0,0.0,0.0,-9.08144454265334e-16,-1.59290591222681e-05,-1.03554361413985e-22,-1.59290591231763e-05,-1.0937013064395e-16,4.0,4.0,0.0,0.0,3.279425558152e-11,0.0,3.279425558152e-11,8.70924050273523e-16,0.0,-2.29946839764858e-07,98095.8892233629,-956799.879179747
1.807e-06,0.05,0.05,0.0,-1.97769106624704e-15,1.59294299506171e-05,1.43078379662841e-22,1.59294299486394e-05,-1.08474817110587e-16,0.0,0.0,0.0,-1.84208293859318e-15,-1.59294635082398e-05,-1.03535419025926e-22,-1.59294635100818e-05,-1.09411309446965e-16,4.0,4.0,0.0,0.0,3.35576228773074e-11,0.0,3.35576228773074e-11,8.71257719201398e-16,0.0,-2.35349911330288e-07,98042.2484031403,-956276.497890375
