time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0145) Polarization/x","Pos(0,0.0145) Polarization/y","Pos(0,0.0145) ElectricField/x","Pos(0,0.0145) ElectricField/y"
8.08e-07,0.05,0.05,0.0,-3.18208108594016e-13,1.8220901498443e-07,9.24238948961414e-23,1.82208696776321e-07,5.87170228776859e-17,0.0,0.0,0.0,-3.1423157610696e-13,1.84408625710025e-07,1.09121098177044e-22,1.84408311478449e-07,5.63857780171488e-17,-0.5,-0.5,0.0,0.0,-3.66617008254771e-07,0.0,-3.66617008254771e-07,-2.13265050201634e-16,0.0,2.10492609700945e-07,-10.4966873982476,135931.815340239
8.13e-07,0.05,0.05,0.0,-3.33907579015845e-17,5.56069082107379e-11,7.35228167858556e-23,5.56068748200536e-11,5.85484337990702e-17,0.0,0.0,0.0,-3.34053222352414e-17,5.42980071527124e-11,8.46071483280481e-23,5.42979737474747e-11,5.61916352499833e-17,-0.5,-0.5,0.0,0.0,-1.09904848567631e-10,0.0,-1.09904848567631e-10,-2.18314548120286e-16,0.0,2.08913136118477e-07,-2.10380715233118,150067.793963952
8.18e-07,0.05,0.05,0.0,-2.36876654478852e-18,4.29965724815709e-11,7.36928633733341e-23,4.29965701128781e-11,5.85170967579944e-17,0.0,0.0,0.0,-2.25338289367674e-18,4.20554151530822e-11,8.45585297422072e-23,4.20554128997839e-11,5.61570164647738e-17,-0.5,-0.5,0.0,0.0,-8.50519830126384e-11,0.0,-8.50519830126384e-11,-2.18754660263615e-16,0.0,2.07336325841303e-07,-2.00052275734054,151807.734924494
8.23e-07,0.05,0.05,0.0,-1.04559923425906e-18,3.9699833606598e-11,7.38641012561929e-23,3.96998325610726e-11,5.84848198620586e-17,0.0,0.0,0.0,-1.05439936768069e-18,3.89805452153933e-11,8.45102656452896e-23,3.89805441610785e-11,5.61227226127507e-17,-0.5,-0.5,0.0,0.0,-7.86803767221649e-11,0.0,-7.86803767221649e-11,-2.19151786553268e-16,0.0,2.05762092129375e-07,-1.89562483777155,153440.949271201
8.28e-07,0.05,0.05,0.0,-1.14991853009715e-18,3.70698950345645e-11,7.40277634575459e-23,3.706989388472e-11,5.84528071502211e-17,0.0,0.0,0.0,-1.08519946272699e-18,3.64867655047937e-11,8.44632356043636e-23,3.64867644196787e-11,5.60894047932528e-17,-0.5,-0.5,0.0,0.0,-7.3556658306681e-11,0.0,-7.3556658306681e-11,-2.19519569844801e-16,0.0,2.04190443628083e-07,-1.78030798170002,154997.531066861
8.33e-07,0.05,0.05,0.0,-7.72134152798678e-19,3.46905602131673e-11,7.41848425743577e-23,3.46905594411073e-11,5.84215250317404e-17,0.0,0.0,0.0,-6.68364978891282e-19,3.41948085249673e-11,8.44172199628892e-23,3.41948078566868e-11,5.60571688804756e-17,-0.5,-0.5,0.0,0.0,-6.88853672980805e-11,0.0,-6.88853672980805e-11,-2.19863996681292e-16,0.0,2.02621182184093e-07,-1.6599874150572,156491.051087208
8.38e-07,0.05,0.05,0.0,-7.47094630717433e-19,3.24967396749824e-11,7.43361142943233e-23,3.24967389279621e-11,5.83911478464837e-17,0.0,0.0,0.0,-8.70772088965967e-19,3.20579215398846e-11,8.4372764188574e-23,3.20579206691969e-11,5.60260413038891e-17,-0.5,-0.5,0.0,0.0,-6.45546595971161e-11,0.0,-6.45546595971161e-11,-2.20186769979277e-16,0.0,2.01054308767191e-07,-1.53709464062326,157925.266096477
8.43e-07,0.05,0.05,0.0,-5.76521705962854e-19,3.04553387613338e-11,7.44821464657863e-23,3.04553381848866e-11,5.83617338190716e-17,0.0,0.0,0.0,-6.24721114779247e-19,3.00554226239063e-11,8.43296463199077e-23,3.00554219992695e-11,5.59959943780318e-17,-0.5,-0.5,0.0,0.0,-6.05107601905535e-11,0.0,-6.05107601905535e-11,-2.2048932378023e-16,0.0,1.99489824170142e-07,-1.41301682571935,159303.674759898
8.48e-07,0.05,0.05,0.0,-6.77277960295055e-19,2.85464459047676e-11,7.46233116935965e-23,2.85464452275643e-11,5.8333283903125e-17,0.0,0.0,0.0,-4.64431198308538e-19,2.81749441549866e-11,8.42879545356391e-23,2.81749436906397e-11,5.59669807273558e-17,-0.5,-0.5,0.0,0.0,-5.67213889182787e-11,0.0,-5.67213889182787e-11,-2.20772930724821e-16,0.0,1.97927729017475e-07,-1.28850309355777,160629.558732609
8.53e-07,0.05,0.05,0.0,-7.36108200405214e-19,2.67567125080478e-11,7.47600525959726e-23,2.67567117720144e-11,5.83057716884286e-17,0.0,0.0,0.0,-3.24805882703381e-19,2.6407483720913e-11,8.42477187070929e-23,2.64074833961914e-11,5.5938947171789e-17,-0.5,-0.5,0.0,0.0,-5.31641951783944e-11,0.0,-5.31641951783944e-11,-2.21038751700713e-16,0.0,1.96368023773771e-07,-1.16394020984147,161905.999891423
8.58e-07,0.05,0.05,0.0,-4.81953536355998e-19,2.50762794480796e-11,7.48925496223423e-23,2.5076278966201e-11,5.82791584607051e-17,0.0,0.0,0.0,-7.46424594145933e-19,2.47456139869962e-11,8.42086902786731e-23,2.47456132406558e-11,5.59118401988179e-17,-0.5,-0.5,0.0,0.0,-4.98218922070575e-11,0.0,-4.98218922070575e-11,-2.21287861161749e-16,0.0,1.94810708751487e-07,-1.0395175393662,163135.893686253
8.63e-07,0.05,0.05,0.0,-8.04085863975898e-19,2.34972365634939e-11,7.5021180473434e-23,2.34972357594831e-11,5.82534007281807e-17,0.0,0.0,0.0,-4.00855472598656e-19,2.31827652747722e-11,8.41709593546781e-23,2.31827648740009e-11,5.58856080450058e-17,-0.5,-0.5,0.0,0.0,-4.66800006393597e-11,0.0,-4.66800006393597e-11,-2.21521261164945e-16,0.0,1.93255784118356e-07,-0.915320151401076,164321.961021406
8.67999999999999e-07,0.05,0.05,0.0,-5.62002843551205e-19,2.20128662937571e-11,7.51461224684673e-23,2.20128657318294e-11,5.82284539443804e-17,0.0,0.0,0.0,-7.14029447261906e-19,2.17128946865307e-11,8.41344014175139e-23,2.17128939725854e-11,5.58602014226843e-17,-0.5,-0.5,0.0,0.0,-4.37257597044453e-11,0.0,-4.37257597044453e-11,-2.21739889963467e-16,0.0,1.91703249904367e-07,-0.791382761803643,165466.75913824
8.72999999999999e-07,0.05,0.05,0.0,-4.67626133231917e-19,2.06171416344151e-11,7.52675825093439e-23,2.06171411668643e-11,5.82042743157976e-17,0.0,0.0,0.0,-5.02439262184513e-19,2.03304510795495e-11,8.40989306793165e-23,2.03304505771943e-11,5.5835573706609e-17,-0.5,-0.5,0.0,0.0,-4.09475917478101e-11,0.0,-4.09475917478101e-11,-2.21944627922207e-16,0.0,1.90153106008375e-07,-0.667710646205488,166572.691757188
8.77999999999999e-07,0.05,0.05,0.0,-3.23994670165907e-19,1.93045914323964e-11,7.53857527923029e-23,1.93045911084771e-11,5.81808196473767e-17,0.0,0.0,0.0,-4.73267232503392e-19,1.90302249088711e-11,8.40645083868836e-23,1.90302244356879e-11,5.5811680913306e-17,-0.5,-0.5,0.0,0.0,-3.83348155442927e-11,0.0,-3.83348155442927e-11,-2.22136301999928e-16,0.0,1.88605352204342e-07,-0.544296192675997,167642.018487543
8.82999999999999e-07,0.05,0.05,0.0,-5.6474527459212e-19,1.80701724598891e-11,7.55008789265287e-23,1.80701718952193e-11,5.81580497055872e-17,0.0,0.0,0.0,-7.9341126387658e-19,1.78073196917628e-11,8.40310884047012e-23,1.78073188984356e-11,5.57884816013189e-17,-0.5,-0.5,0.0,0.0,-3.58774907959459e-11,0.0,-3.58774907959459e-11,-2.22315689453908e-16,0.0,1.8705998814724e-07,-0.421126887290823,168676.863630719
8.87999999999999e-07,0.05,0.05,0.0,-7.18413699304433e-19,1.69091891556813e-11,7.56130199106743e-23,1.69091884373432e-11,5.81359263405065e-17,0.0,0.0,0.0,-5.65637067360261e-19,1.66571357065499e-11,8.3998546348063e-23,1.66571351409969e-11,5.57659367448373e-17,-0.5,-0.5,0.0,0.0,-3.35663235783346e-11,0.0,-3.35663235783346e-11,-2.22483521071799e-16,0.0,1.85517013378638e-07,-0.298188830696621,169679.224424825
8.92999999999999e-07,0.05,0.05,0.0,-3.10992269375345e-19,1.58172511761351e-11,7.57223928832349e-23,1.58172508652185e-11,5.81144134884846e-17,0.0,0.0,0.0,-6.22756921091596e-19,1.55753519666223e-11,8.39669945679662e-23,1.55753513439493e-11,5.57440096016503e-17,-0.5,-0.5,0.0,0.0,-3.13926022106586e-11,0.0,-3.13926022106586e-11,-2.22640484082853e-16,0.0,1.83976427331977e-07,-0.175468498190631,170650.978767819
8.97999999999999e-07,0.05,0.05,0.0,-8.31294568443697e-19,1.47902454545153e-11,7.58291469652304e-23,1.47902446232966e-11,5.80934771167285e-17,0.0,0.0,0.0,-4.59407741491746e-19,1.45579053085937e-11,8.39361830120452e-23,1.45579048492699e-11,5.57226655834476e-17,-0.5,-0.5,0.0,0.0,-2.93481494722348e-11,0.0,-2.93481494722348e-11,-2.22787224830214e-16,0.0,1.82438229337571e-07,-0.0529535362851849,171593.892456602
9.02999999999999e-07,0.05,0.05,0.0,-4.299537107193e-19,1.38243082861068e-11,7.59333942677567e-23,1.3824307856229e-11,5.80730851408451e-17,0.0,0.0,0.0,-3.86940936035323e-19,1.36009764043843e-11,8.39060801820503e-23,1.36009760175272e-11,5.5701872131461e-17,-0.5,-0.5,0.0,0.0,-2.74252838746813e-11,0.0,-2.74252838746813e-11,-2.22924351249587e-16,0.0,1.80902418627336e-07,0.0693669386189735,172509.625974907
9.08e-07,0.05,0.05,0.0,-1.83964129807226e-19,1.29158131899569e-11,7.60351343833478e-23,1.29158130060689e-11,5.80532073311082e-17,0.0,0.0,0.0,-2.53903820672644e-19,1.27009736329466e-11,8.38767507230023e-23,1.27009733791266e-11,5.56815985984162e-17,-0.5,-0.5,0.0,0.0,-2.56167863852597e-11,0.0,-2.56167863852597e-11,-2.23052435181514e-16,0.0,1.79368994339259e-07,0.191502292855579,173399.740859825
