time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0085) Polarization/x","Pos(0,0.0085) Polarization/y","Pos(0,0.0085) ElectricField/x","Pos(0,0.0085) ElectricField/y"
0.0,0.05,0.05,0.0,-1.08671680086737e-22,3.13143572206369e-16,2.84243155739541e-24,3.1314346637712e-16,5.41120556579687e-17,0.0,0.0,0.0,-1.02529184133015e-22,-3.13143583838229e-16,-7.32418536952856e-24,-3.13143693691599e-16,5.21884396679473e-17,-0.5,-0.5,0.0,0.0,-4.45311258540623e-21,0.0,-4.45311258540623e-21,-2.44881097448656e-16,0.0,2.84340612825275e-07,-2.73496680713314,199242.959495016
5e-09,0.05,0.05,0.0,1.3120151336227e-19,3.13012408146366e-16,2.31991338677136e-24,3.13143611979642e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44287877337026e-19,-3.13287864691881e-16,-6.78715626441158e-24,-3.13143583601701e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,6.28472765557581e-23,0.0,6.28472765557581e-23,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680864072,199242.959494921
1e-08,0.05,0.05,0.0,1.31117147713974e-19,3.13012408146366e-16,2.3199770307291e-24,3.13143527614057e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44315776946574e-19,-3.13287864691881e-16,-6.78720741539858e-24,-3.13143555702142e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-1.17786318838239e-22,0.0,-1.17786318838239e-22,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861056,199242.959494921
1.5e-08,0.05,0.05,0.0,1.31169129261686e-19,3.13012408146366e-16,2.31984846129993e-24,3.13143579595477e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44294135221165e-19,-3.13287864691881e-16,-6.78698742987458e-24,-3.13143577343648e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-6.21096405205463e-24,0.0,-6.21096405205463e-24,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.7349668086307,199242.959494921
2e-08,0.05,0.05,0.0,1.31168057987052e-19,3.13012408146366e-16,2.31985142182979e-24,3.13143578524204e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292273680214e-19,-3.13287864691881e-16,-6.78700761473018e-24,-3.13143579205209e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,4.27185682673593e-25,0.0,4.27185682673593e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861056,199242.959494921
2.5e-08,0.05,0.05,0.0,1.31168676378882e-19,3.13012408146366e-16,2.31985495529038e-24,3.131435791426e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44293196496205e-19,-3.13287864691881e-16,-6.78700860257761e-24,-3.13143578282394e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-8.74168609586755e-27,0.0,-8.74168609586755e-27,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861391,199242.959494921
3e-08,0.05,0.05,0.0,1.3116917796449e-19,3.13012408146366e-16,2.31985227508864e-24,3.13143579644183e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292098097838e-19,-3.13287864691881e-16,-6.78701568430456e-24,-3.13143579380799e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,1.24219932815091e-24,0.0,1.24219932815091e-24,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.7349668086307,199242.959494921
3.5e-08,0.05,0.05,0.0,1.31167737626775e-19,3.13012408146366e-16,2.31984746424444e-24,3.1314357820384e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44293184758445e-19,-3.13287864691881e-16,-6.78700298912729e-24,-3.13143578294126e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-2.91717954421962e-24,0.0,-2.91717954421962e-24,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861056,199242.959494921
4e-08,0.05,0.05,0.0,1.3116881292044e-19,3.13012408146366e-16,2.31985723057932e-24,3.13143579279144e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292608710746e-19,-3.13287864691881e-16,-6.78700333553693e-24,-3.13143578870174e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-2.27656363589053e-25,0.0,-2.27656363589053e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.7349668086307,199242.959494921
4.5e-08,0.05,0.05,0.0,1.31168584936615e-19,3.13012408146366e-16,2.3198566758312e-24,3.13143579051159e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292664674285e-19,-3.13287864691881e-16,-6.78700771758792e-24,-3.13143578814215e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,1.31714804796647e-25,0.0,1.31714804796647e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680864072,199242.959494921
5e-08,0.05,0.05,0.0,1.31168691693593e-19,3.13012408146366e-16,2.31985493758203e-24,3.13143579157914e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292935780913e-19,-3.13287864691881e-16,-6.78700457525726e-24,-3.13143578543105e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-9.31585057313114e-25,0.0,-9.31585057313114e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680864642,199242.959494921
5.5e-08,0.05,0.05,0.0,1.31168429453547e-19,3.13012408146366e-16,2.31984991893714e-24,3.1314357889567e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44291677454924e-19,-3.13287864691881e-16,-6.78700898197844e-24,-3.13143579801435e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,2.88082431577494e-25,0.0,2.88082431577494e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861252,199242.959494921
6e-08,0.05,0.05,0.0,1.31169193382992e-19,3.13012408146366e-16,2.31984867787172e-24,3.13143579659598e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44293827033181e-19,-3.13287864691881e-16,-6.7870004179347e-24,-3.13143577651848e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,3.11520912377521e-24,0.0,3.11520912377521e-24,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861252,199242.959494921
6.5e-08,0.05,0.05,0.0,1.3116830424605e-19,3.13012408146366e-16,2.31985358425302e-24,3.13143578770466e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292835787827e-19,-3.13287864691881e-16,-6.78701218539663e-24,-3.13143578643106e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-8.87802121814475e-25,0.0,-8.87802121814475e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861252,199242.959494921
7e-08,0.05,0.05,0.0,1.31168212516454e-19,3.13012408146366e-16,2.31985347483551e-24,3.13143578678736e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44291219838542e-19,-3.13287864691881e-16,-6.78701092937751e-24,-3.13143580259054e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,1.60157049653661e-24,0.0,1.60157049653661e-24,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861924,199242.959494921
7.5e-08,0.05,0.05,0.0,1.31168215062275e-19,3.13012408146366e-16,2.31985794875508e-24,3.13143578681286e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292958969339e-19,-3.13287864691881e-16,-6.78701225169556e-24,-3.13143578519924e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-1.66338555064748e-24,0.0,-1.66338555064748e-24,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861924,199242.959494921
8e-08,0.05,0.05,0.0,1.31168335202117e-19,3.13012408146366e-16,2.31985761245344e-24,3.13143578801426e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292677369164e-19,-3.13287864691881e-16,-6.78700429770599e-24,-3.13143578801516e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,8.51005887988544e-25,0.0,8.51005887988544e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861924,199242.959494921
8.5e-08,0.05,0.05,0.0,1.31168307975938e-19,3.13012408146366e-16,2.31985462477081e-24,3.13143578774196e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44293011327727e-19,-3.13287864691881e-16,-6.78700007392178e-24,-3.13143578467554e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-1.58832908979267e-24,0.0,-1.58832908979267e-24,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861588,199242.959494921
9e-08,0.05,0.05,0.0,1.31168852575408e-19,3.13012408146366e-16,2.31985430687585e-24,3.13143579318796e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44292381790697e-19,-3.13287864691881e-16,-6.78700649486752e-24,-3.13143579097097e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,3.78942287281396e-26,0.0,3.78942287281396e-26,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861924,199242.959494921
9.5e-08,0.05,0.05,0.0,1.31168414162765e-19,3.13012408146366e-16,2.31986211427655e-24,3.13143578880391e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44291960930956e-19,-3.13287864691881e-16,-6.78700682525756e-24,-3.13143579517957e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,-4.62482176970571e-25,0.0,-4.62482176970571e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861924,199242.959494921
1e-07,0.05,0.05,0.0,1.31167447843089e-19,3.13012408146366e-16,2.31984753866658e-24,3.13143577914057e-16,5.4112055657969e-17,0.0,0.0,0.0,1.44293026046543e-19,-3.13287864691881e-16,-6.78700704949517e-24,-3.13143578452842e-16,5.21884396679479e-17,-0.5,-0.5,0.0,0.0,3.40022058364275e-25,0.0,3.40022058364275e-25,-2.44881097448623e-16,0.0,2.84340612825275e-07,-2.73496680861924,199242.959494921
