time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0085) Polarization/x","Pos(0,0.0085) Polarization/y","Pos(0,0.0085) ElectricField/x","Pos(0,0.0085) ElectricField/y"
1.616e-06,0.05,0.05,0.0,-5.51119061280465e-13,1.59360539617139e-07,1.46184487677524e-23,1.59359988498078e-07,5.20059119038378e-17,0.0,0.0,0.0,-4.71254585432456e-13,1.64070130046658e-07,9.33588598797074e-24,1.64069658792072e-07,5.00320841945475e-17,-0.5,-0.5,0.0,0.0,-3.23429647290151e-07,0.0,-3.23429647290151e-07,-1.99606637962695e-16,0.0,-1.45075666275123e-07,11.8778807527174,222668.771836752
1.621e-06,0.05,0.05,0.0,-3.66875994569403e-17,5.86869876371209e-11,4.71486505597454e-24,5.86869509495262e-11,5.1983516804915e-17,0.0,0.0,0.0,-3.63329923933784e-17,5.67948776516126e-11,4.01239296449501e-24,5.67948413186242e-11,4.99626776234897e-17,-0.5,-0.5,0.0,0.0,-1.15481792268152e-10,0.0,-1.15481792268152e-10,-2.05134825052104e-16,0.0,-1.47753129739009e-07,22.3765770709806,237650.61990606
1.626e-06,0.05,0.05,0.0,-2.51870307396302e-18,4.46675419769741e-11,4.68616059238783e-24,4.46675394582757e-11,5.19602327243416e-17,0.0,0.0,0.0,-2.39673425555884e-18,4.32487211876783e-11,3.9888561446131e-24,4.3248718790948e-11,4.99326355595599e-17,-0.5,-0.5,0.0,0.0,-8.79162582492325e-11,0.0,-8.79162582492325e-11,-2.05591055061765e-16,0.0,-1.50426377456357e-07,22.3854906588334,239711.493501303
1.631e-06,0.05,0.05,0.0,-1.34938130131115e-18,4.0921495512493e-11,4.66024303049701e-24,4.09214941631164e-11,5.19335837357291e-17,0.0,0.0,0.0,-1.04690636289244e-18,3.9852785765413e-11,3.96638489209986e-24,3.98527847185106e-11,4.99012891938571e-17,-0.5,-0.5,0.0,0.0,-8.0774278881633e-11,0.0,-8.0774278881633e-11,-2.05999123630314e-16,0.0,-1.53095538424949e-07,22.4096228041247,241660.582178743
1.636e-06,0.05,0.05,0.0,-1.08362842525888e-18,3.79922459424979e-11,4.63534035459718e-24,3.79922448588741e-11,5.19056758742128e-17,0.0,0.0,0.0,-9.79040312651659e-19,3.71499305367866e-11,3.94475196509123e-24,3.71499295577503e-11,4.98699971926014e-17,-0.5,-0.5,0.0,0.0,-7.51421744176262e-11,0.0,-7.51421744176262e-11,-2.06374834502402e-16,0.0,-1.55760594272887e-07,22.4576807031873,243530.326557212
1.641e-06,0.05,0.05,0.0,-9.97229439598407e-19,3.53776172769124e-11,4.61123771806494e-24,3.53776162796876e-11,5.18775050885824e-17,0.0,0.0,0.0,-8.94966039134658e-19,3.46849835514475e-11,3.92369497430181e-24,3.46849826564854e-11,4.98391546200566e-17,-0.5,-0.5,0.0,0.0,-7.00625989363373e-11,0.0,-7.00625989363373e-11,-2.06725147497083e-16,0.0,-1.58421846026795e-07,22.5192745541999,245334.966906254
1.646e-06,0.05,0.05,0.0,-8.61798816655624e-19,3.29949162065664e-11,4.5877849466924e-24,3.29949153447722e-11,5.18494485401336e-17,0.0,0.0,0.0,-8.17581341545634e-19,3.23992031853161e-11,3.90323803155647e-24,3.23992023677386e-11,4.98088749060239e-17,-0.5,-0.5,0.0,0.0,-6.53941177125397e-11,0.0,-6.53941177125397e-11,-2.07052118085646e-16,0.0,-1.61079287976468e-07,22.5896079899498,247078.521509377
1.651e-06,0.05,0.05,0.0,-8.60106261799378e-19,3.07963186224347e-11,4.56491248695329e-24,3.0796317762333e-11,5.18216975565586e-17,0.0,0.0,0.0,-7.03275181418134e-19,3.02645837421058e-11,3.88336763038718e-24,3.02645830388345e-11,4.9779185397114e-17,-0.5,-0.5,0.0,0.0,-6.10609008029552e-11,0.0,-6.10609008029552e-11,-2.07357422589661e-16,0.0,-1.63732914599881e-07,22.6656887184668,248764.712739487
1.656e-06,0.05,0.05,0.0,-7.04502433419255e-19,2.87526254742856e-11,4.54256691676929e-24,2.87526247697877e-11,5.17943430859212e-17,0.0,0.0,0.0,-6.92257746764112e-19,2.826493229194e-11,3.8640427193743e-24,2.82649315996861e-11,4.97500784355211e-17,-0.5,-0.5,0.0,0.0,-5.70175563695196e-11,0.0,-5.70175563695196e-11,-2.07642510371508e-16,0.0,-1.66382720555851e-07,22.7457173630731,250397.014165581
1.661e-06,0.05,0.05,0.0,-7.41492461334942e-19,2.68446505338737e-11,4.52072228128708e-24,2.68446497923858e-11,5.17674224578294e-17,0.0,0.0,0.0,-7.93270310301383e-19,2.63890436259151e-11,3.8452390335143e-24,2.63890428326486e-11,4.97215328275273e-17,-0.5,-0.5,0.0,0.0,-5.32336926270706e-11,0.0,-5.32336926270706e-11,-2.07908678834644e-16,0.0,-1.69028700677135e-07,22.828624739641,251978.671761336
1.666e-06,0.05,0.05,0.0,-5.31326244404093e-19,2.50588172923894e-11,4.49931606163721e-24,2.50588167610676e-11,5.17409447050978e-17,0.0,0.0,0.0,-5.73230333962959e-19,2.4628059811707e-11,3.82691965687995e-24,2.46280592384805e-11,4.96935227554007e-17,-0.5,-0.5,0.0,0.0,-4.96868759995687e-11,0.0,-4.96868759995687e-11,-2.08157113214642e-16,0.0,-1.71670849963936e-07,22.9137711212762,253512.720790373
1.671e-06,0.05,0.05,0.0,-7.42303796570775e-19,2.33847795550968e-11,4.47834166127573e-24,2.33847788127975e-11,5.1714904184971e-17,0.0,0.0,0.0,-6.44756265390142e-19,2.29743702369765e-11,3.80905846405626e-24,2.2974369592224e-11,4.96660214302403e-17,-0.5,-0.5,0.0,0.0,-4.63591484059865e-11,0.0,-4.63591484059865e-11,-2.08388908956672e-16,0.0,-1.74309163577783e-07,23.0007638698582,255002.000858508
1.676e-06,0.05,0.05,0.0,-6.69162169306819e-19,2.18141203721579e-11,4.45776983316714e-24,2.18141197030002e-11,5.16892878737489e-17,0.0,0.0,0.0,-5.90909633887252e-19,2.14211341083783e-11,3.79164505951268e-24,2.14211335174724e-11,4.96390025574463e-17,-0.5,-0.5,0.0,0.0,-4.3235253220486e-11,0.0,-4.3235253220486e-11,-2.08605085222774e-16,0.0,-1.76943636835768e-07,23.0893510831054,256449.169622322
1.681e-06,0.05,0.05,0.0,-4.52383258473407e-19,2.03396430779532e-11,4.43757376830658e-24,2.03396426255743e-11,5.16640792608412e-17,0.0,0.0,0.0,-5.11833175146997e-19,1.99620673126632e-11,3.77463012970367e-24,1.99620668008338e-11,4.96124408970453e-17,-0.5,-0.5,0.0,0.0,-4.03017094269788e-11,0.0,-4.03017094269788e-11,-2.08806593769909e-16,0.0,-1.79574265205111e-07,23.1793610025666,257856.715365014
1.686e-06,0.05,0.05,0.0,-5.31458559247892e-19,1.8954977323752e-11,4.41773396097607e-24,1.89549767922979e-11,5.16392604215471e-17,0.0,0.0,0.0,-3.86123590497019e-19,1.85913366413647e-11,3.7580057334977e-24,1.85913362552449e-11,4.95863124513764e-17,-0.5,-0.5,0.0,0.0,-3.75463130475498e-11,0.0,-3.75463130475498e-11,-2.08994325335147e-16,0.0,-1.82201044298031e-07,23.2706679476057,259226.968577504
1.691e-06,0.05,0.05,0.0,-4.72461901818544e-19,1.76543558113926e-11,4.39847837967802e-24,1.76543553389351e-11,5.16148131157804e-17,0.0,0.0,0.0,-5.45698336571424e-19,1.73035017104934e-11,3.74175748572373e-24,1.73035011647988e-11,4.95605945005437e-17,-0.5,-0.5,0.0,0.0,-3.49578565040907e-11,0.0,-3.49578565040907e-11,-2.09169114617667e-16,0.0,-1.84823969866904e-07,23.3631732679812,260562.112649327
1.696e-06,0.05,0.05,0.0,-3.07839331799947e-19,1.64324859598349e-11,4.37957505626673e-24,1.6432485652e-11,5.15907193655494e-17,0.0,0.0,0.0,-3.91661603974605e-19,1.60934755350861e-11,3.72586260974839e-24,1.60934751434282e-11,4.95352655767087e-17,-0.5,-0.5,0.0,0.0,-3.2525960795433e-11,0.0,-3.2525960795433e-11,-2.09331744421644e-16,0.0,-1.87443037799695e-07,23.4567946864194,261864.193754397
1.701e-06,0.05,0.05,0.0,-5.24615086984916e-19,1.52844702571936e-11,4.36097358559877e-24,1.52844697325828e-11,5.15669617525856e-17,0.0,0.0,0.0,-4.89720007030914e-19,1.49564979447189e-11,3.7102883317972e-24,1.49564974550026e-11,4.95103054148249e-17,-0.5,-0.5,0.0,0.0,-3.02409671878125e-11,0.0,-3.02409671878125e-11,-2.09482949257583e-16,0.0,-1.90058244115636e-07,23.5514602948863,263135.130003941
1.706e-06,0.05,0.05,0.0,-4.09932910065021e-19,1.42057524119139e-11,4.34264056684418e-24,1.42057520019853e-11,5.15435235650347e-17,0.0,0.0,0.0,-4.06675575357013e-19,1.38881096144021e-11,3.69502360445239e-24,1.38881092077302e-11,4.94856948953533e-17,-0.5,-0.5,0.0,0.0,-2.80938612097212e-11,0.0,-2.80938612097212e-11,-2.09623418563632e-16,0.0,-1.9266958496115e-07,23.6471051334433,264376.719929745
1.711e-06,0.05,0.05,0.0,-2.00986387683192e-19,1.31920826218039e-11,4.32459623057449e-24,1.31920824208218e-11,5.15203888620843e-17,0.0,0.0,0.0,-2.49671754856725e-19,1.28841326771273e-11,3.68006206001287e-24,1.28841324274593e-11,4.94614159853617e-17,-0.5,-0.5,0.0,0.0,-2.60762148484311e-11,0.0,-2.60762148484311e-11,-2.09753799637874e-16,0.0,-1.95277056605981e-07,23.7436692074379,265590.650353733
1.716e-06,0.05,0.05,0.0,-2.62496172090521e-19,1.22394887214264e-11,4.30680177524652e-24,1.22394884589345e-11,5.14975424936222e-17,0.0,0.0,0.0,-4.83088298716899e-19,1.19406516118727e-11,3.66539133791443e-24,1.1940651128788e-11,4.94374516806372e-17,-0.5,-0.5,0.0,0.0,-2.41801395877228e-11,0.0,-2.41801395877228e-11,-2.09874700335813e-16,0.0,-1.97880655439555e-07,23.8410963161902,266778.503694172
