time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0085) Polarization/x","Pos(0,0.0085) Polarization/y","Pos(0,0.0085) ElectricField/x","Pos(0,0.0085) ElectricField/y"
1.717e-06,0.05,0.05,0.0,1.67068905494169e-12,1.05236929134811e-05,1.21369026484409e-22,1.05236945841702e-05,-1.07890450727673e-16,0.0,0.0,0.0,-1.39359654929033e-12,-1.17589352092096e-05,-1.09368356897597e-22,-1.17589366028062e-05,-1.08651206189658e-16,4.0,4.0,0.0,0.0,1.23524233837672e-06,0.0,1.23524233837672e-06,8.66300039251332e-16,0.0,-1.98401199895228e-07,-186.354568536873,-1653088.83353276
1.727e-06,0.05,0.05,0.0,3.53268248997333e-17,1.11418522612441e-05,1.29095820222896e-22,1.11418522612794e-05,-1.07967377464728e-16,0.0,0.0,0.0,-3.62294450772773e-17,-1.1141883880575e-05,-1.043234619584e-22,-1.11418838806113e-05,-1.08728400166823e-16,4.0,4.0,0.0,0.0,3.16193309750434e-11,0.0,3.16193309750434e-11,8.66942666703156e-16,0.0,-2.03611704039247e-07,-186.175190764849,-1652845.33294454
1.737e-06,0.05,0.05,0.0,3.59721279665298e-17,1.11420467895729e-05,1.29095477137762e-22,1.11420467896089e-05,-1.08005629046627e-16,0.0,0.0,0.0,-3.72104665620021e-17,-1.11420785053988e-05,-1.04318830740239e-22,-1.1142078505436e-05,-1.08766924288679e-16,4.0,4.0,0.0,0.0,3.17158261423545e-11,0.0,3.17158261423545e-11,8.67259603715107e-16,0.0,-2.08832174183244e-07,-186.022281186051,-1651968.6613271
1.747e-06,0.05,0.05,0.0,2.43968785627476e-17,1.11422419170088e-05,1.2909511657206e-22,1.11422419170332e-05,-1.08044036696357e-16,0.0,0.0,0.0,-4.70830003970098e-17,-1.11422737385801e-05,-1.04314161068907e-22,-1.11422737386272e-05,-1.08805602637087e-16,4.0,4.0,0.0,0.0,3.18215711676466e-11,0.0,3.18215711676466e-11,8.67577571980614e-16,0.0,-2.14061124812563e-07,-185.869331767132,-1651090.57059943
1.757e-06,0.05,0.05,0.0,1.81388460177712e-17,1.11424376228813e-05,1.29094738230962e-22,1.11424376228994e-05,-1.08082594638067e-16,0.0,0.0,0.0,-5.51904996754838e-17,-1.11424695433119e-05,-1.04309453081953e-22,-1.11424695433671e-05,-1.08844429455672e-16,4.0,4.0,0.0,0.0,3.19204304422631e-11,0.0,3.19204304422631e-11,8.67896529241705e-16,0.0,-2.19298121404208e-07,-185.716348437889,-1650211.1337882
1.767e-06,0.05,0.05,0.0,1.82755457328558e-17,1.11426339023301e-05,1.29094341817159e-22,1.11426339023484e-05,-1.08121302925655e-16,0.0,0.0,0.0,-5.46195773360128e-17,-1.11426659214376e-05,-1.04304706575504e-22,-1.11426659214922e-05,-1.0888340477119e-16,4.0,4.0,0.0,0.0,3.20191073997898e-11,0.0,3.20191073997898e-11,8.68216473746297e-16,0.0,-2.24543141957177e-07,-185.563331208619,-1649330.35460298
1.777e-06,0.05,0.05,0.0,1.81227636983495e-17,1.11428307536539e-05,1.29093927074158e-22,1.1142830753672e-05,-1.08160161564822e-16,0.0,0.0,0.0,-5.5140242427291e-17,-1.11428628712272e-05,-1.04299921321917e-22,-1.11428628712824e-05,-1.08922528562971e-16,4.0,4.0,0.0,0.0,3.21175732846754e-11,0.0,3.21175732846754e-11,8.68537403455226e-16,0.0,-2.29796161714626e-07,-185.410280190308,-1648448.23721984
1.787e-06,0.05,0.05,0.0,1.79619405041323e-17,1.11430281887498e-05,1.29093494260761e-22,1.11430281887677e-05,-1.08199174318762e-16,0.0,0.0,0.0,-5.69153284334632e-17,-1.11430604077972e-05,-1.04295097335028e-22,-1.11430604078542e-05,-1.08961804675966e-16,4.0,4.0,0.0,0.0,3.22190476298396e-11,0.0,3.22190476298396e-11,8.68859332284539e-16,0.0,-2.35057153217998e-07,-185.257195411343,-1647564.78626485
1.797e-06,0.05,0.05,0.0,-8.28868670965898e-16,1.11432277914856e-05,1.29093024730542e-22,1.11432277906567e-05,-1.0823878966932e-16,0.0,0.0,0.0,-7.8811808384119e-16,-1.11432605033377e-05,-1.04290170674433e-22,-1.11432605041258e-05,-1.09001675636536e-16,4.0,4.0,0.0,0.0,3.27118522044141e-11,0.0,3.27118522044141e-11,8.69184689894647e-16,0.0,-2.40349234097795e-07,-185.104542650066,-1646676.11237331
1.807e-06,0.05,0.05,0.0,-1.78187877583797e-15,1.11434319114596e-05,1.29092499210444e-22,1.11434319096778e-05,-1.08279439010891e-16,0.0,0.0,0.0,-1.61669526276757e-15,-1.11434653790791e-05,-1.04285067863721e-22,-1.11434653806958e-05,-1.09042578998566e-16,4.0,4.0,0.0,0.0,3.34676196482036e-11,0.0,3.34676196482036e-11,8.69517477823914e-16,0.0,-2.45756708127046e-07,-184.949794479234,-1645768.05587496
