time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0085) Polarization/x","Pos(0,0.0085) Polarization/y","Pos(0,0.0085) ElectricField/x","Pos(0,0.0085) ElectricField/y"
1.818e-06,0.05,0.05,0.0,-5.70810694470467e-13,1.62685421370058e-07,1.44313952819161e-23,1.62684850559364e-07,5.12691104714067e-17,0.0,0.0,0.0,-5.00678391627494e-13,1.67092377257063e-07,8.46463830453478e-24,1.67091876578671e-07,4.92569540633187e-17,-0.5,-0.5,0.0,0.0,-3.29776727138035e-07,0.0,-3.29776727138035e-07,-1.96780636679113e-16,0.0,-2.60692621450316e-07,15.8832311823762,255011.338625322
1.823e-06,0.05,0.05,0.0,-3.10550161648224e-17,1.87414788738197e-10,4.13466103689492e-24,1.87414757683185e-10,5.12571795917526e-17,0.0,0.0,0.0,-3.0539476184035e-17,1.84396290133907e-10,3.52481902210612e-24,1.84396259594435e-10,4.92039387320833e-17,-0.5,-0.5,0.0,0.0,-3.71811017277932e-10,0.0,-3.71811017277932e-10,-2.01202600353961e-16,0.0,-2.63482366519498e-07,25.6138598237538,267262.809404541
1.828e-06,0.05,0.05,0.0,-2.01767860822265e-17,1.25958648785948e-10,4.08576577423545e-24,1.25958628609166e-10,5.120503494574e-17,0.0,0.0,0.0,-1.97734745488902e-17,1.2393182432119e-10,3.48830224291339e-24,1.23931804547719e-10,4.91433513853861e-17,-0.5,-0.5,0.0,0.0,-2.498904332065e-10,0.0,-2.498904332065e-10,-2.02586570419935e-16,0.0,-2.66267664894111e-07,25.6061135381436,271793.097790862
1.833e-06,0.05,0.05,0.0,-1.36033056092212e-17,8.65932766203477e-11,4.04846233374257e-24,8.65932630170461e-11,5.11616068339053e-17,0.0,0.0,0.0,-1.32076447787401e-17,8.52455843257289e-11,3.46023465121323e-24,8.52455711180876e-11,4.90947373898362e-17,-0.5,-0.5,0.0,0.0,-1.71838834135117e-10,0.0,-1.71838834135117e-10,-2.03491895613493e-16,0.0,-2.69048644475773e-07,25.6495223046771,275088.969842152
1.838e-06,0.05,0.05,0.0,-9.39422300590204e-18,6.09190541995864e-11,4.01837911088086e-24,6.09190448053675e-11,5.11247008129012e-17,0.0,0.0,0.0,-9.40106952836955e-18,5.99804621012033e-11,3.43752353214756e-24,5.99804527001372e-11,4.90545236651804e-17,-0.5,-0.5,0.0,0.0,-1.20899497505507e-10,0.0,-1.20899497505507e-10,-2.0409639310102e-16,0.0,-2.71825281376977e-07,25.7248311675996,277605.648849
1.843e-06,0.05,0.05,0.0,-6.63507104661399e-18,4.31610232198875e-11,3.99246623967841e-24,4.31610165848204e-11,5.10919979744041e-17,0.0,0.0,0.0,-6.41074415062415e-18,4.24828942566261e-11,3.41813414319334e-24,4.24828878458853e-11,4.90194560963443e-17,-0.5,-0.5,0.0,0.0,-8.56439044307035e-11,0.0,-8.56439044307035e-11,-2.04524612623174e-16,0.0,-2.74597894531114e-07,25.8161909153934,279663.550365249
1.848e-06,0.05,0.05,0.0,-4.46486586570453e-18,3.08542707470294e-11,3.96949337288913e-24,3.08542662821675e-11,5.10623817162268e-17,0.0,0.0,0.0,-4.41772867576094e-18,3.03391472092092e-11,3.40104819564594e-24,3.0339142791484e-11,4.89880349892892e-17,-0.5,-0.5,0.0,0.0,-6.11934090806395e-11,0.0,-6.11934090806395e-11,-2.04830579668577e-16,0.0,-2.77366477013258e-07,25.9166370088096,281401.711245714
1.853e-06,0.05,0.05,0.0,-3.30501955441256e-18,2.23066490535015e-11,3.94859475772827e-24,2.23066457484859e-11,5.10350004851239e-17,0.0,0.0,0.0,-3.00150616609394e-18,2.18943204245014e-11,3.3855712852977e-24,2.18943174229986e-11,4.89591830322986e-17,-0.5,-0.5,0.0,0.0,-4.42009631714836e-11,0.0,-4.42009631714836e-11,-2.05051584484434e-16,0.0,-2.8013102258565e-07,26.021913049525,282916.359491901
1.858e-06,0.05,0.05,0.0,-2.18950380969227e-18,1.63574734165114e-11,3.92915968402335e-24,1.63574712270115e-11,5.10092244961609e-17,0.0,0.0,0.0,-2.34160478202918e-18,1.60109234003259e-11,3.37124157270905e-24,1.60109210587245e-11,4.89321389799755e-17,-0.5,-0.5,0.0,0.0,-3.23683922890281e-11,0.0,-3.23683922890281e-11,-2.0521342644588e-16,0.0,-2.82891525510406e-07,26.1295331609883,284274.285616166
1.863e-06,0.05,0.05,0.0,-1.69010279279129e-18,1.22076423696905e-11,3.91077309181103e-24,1.22076406795916e-11,5.09845972933306e-17,0.0,0.0,0.0,-1.5505883178998e-18,1.1903936876316e-11,3.35773226127634e-24,1.19039353257311e-11,4.89063695726521e-17,-0.5,-0.5,0.0,0.0,-2.41115760053224e-11,0.0,-2.41115760053224e-11,-2.05333984325906e-16,0.0,-2.85647980418449e-07,26.2381012794636,285521.942581176
