time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0085) Polarization/x","Pos(0,0.0085) Polarization/y","Pos(0,0.0085) ElectricField/x","Pos(0,0.0085) ElectricField/y"
1.717e-06,0.05,0.05,0.0,1.67949961492688e-12,1.05781239444875e-05,1.22057990151244e-22,1.05781256239871e-05,-1.07737095420032e-16,0.0,0.0,0.0,-1.42526759762723e-12,-1.18134183343425e-05,-1.09829065814533e-22,-1.18134197596101e-05,-1.08490742206768e-16,4.0,4.0,0.0,0.0,1.23529443233348e-06,0.0,1.23529443233348e-06,8.6983067005885e-16,0.0,-2.06989118940587e-07,-181.392478432752,-1657818.08329472
1.727e-06,0.05,0.05,0.0,3.4856417056648e-17,1.11963171811666e-05,1.2979112143475e-22,1.11963171812014e-05,-1.0781404673198e-16,0.0,0.0,0.0,-3.71320652548212e-17,-1.11963488685928e-05,-1.04789492534934e-22,-1.119634886863e-05,-1.08567956864274e-16,4.0,4.0,0.0,0.0,3.16874265175924e-11,0.0,3.16874265175924e-11,8.70473646490017e-16,0.0,-2.12226037561823e-07,-181.216301730328,-1657568.94558531
1.737e-06,0.05,0.05,0.0,3.64968136376633e-17,1.11965141631505e-05,1.29790813560315e-22,1.1196514163187e-05,-1.07852316345993e-16,0.0,0.0,0.0,-3.60625910132769e-17,-1.11965459471759e-05,-1.0478486379061e-22,-1.11965459472119e-05,-1.08606495629763e-16,4.0,4.0,0.0,0.0,3.17840253479176e-11,0.0,3.17840253479176e-11,8.70791265309453e-16,0.0,-2.17472914099155e-07,-181.066222899258,-1656687.87390736
1.747e-06,0.05,0.05,0.0,2.53517662784121e-17,1.11967117514521e-05,1.29790488272188e-22,1.11967117514774e-05,-1.07890742053096e-16,0.0,0.0,0.0,-4.78489208594692e-17,-1.11967436413464e-05,-1.04780196500827e-22,-1.11967436413942e-05,-1.08645188645339e-16,4.0,4.0,0.0,0.0,3.18898945869218e-11,0.0,3.18898945869218e-11,8.71109916534446e-16,0.0,-2.22728261148926e-07,-180.916106389894,-1655805.38490441
1.757e-06,0.05,0.05,0.0,1.84826055954104e-17,1.11969099239872e-05,1.29790145081508e-22,1.11969099240057e-05,-1.07929318076431e-16,0.0,0.0,0.0,-5.58016278135092e-17,-1.1196941912852e-05,-1.04775490791748e-22,-1.11969419129078e-05,-1.08684030153773e-16,4.0,4.0,0.0,0.0,3.1988864885677e-11,0.0,3.1988864885677e-11,8.71429557856218e-16,0.0,-2.2799164357655e-07,-180.765958000963,-1654921.5517038
1.767e-06,0.05,0.05,0.0,1.76282323761316e-17,1.11971086479431e-05,1.29789778768881e-22,1.11971086479607e-05,-1.07968044472662e-16,0.0,0.0,0.0,-5.56387943293643e-17,-1.11971407355969e-05,-1.04770746229549e-22,-1.11971407356526e-05,-1.08723020183761e-16,4.0,4.0,0.0,0.0,3.20876541461707e-11,0.0,3.20876541461707e-11,8.71750187542627e-16,0.0,-2.33263039258608e-07,-180.615777274437,-1654036.37806735
1.777e-06,0.05,0.05,0.0,1.93229067851953e-17,1.11973079515907e-05,1.29789394361203e-22,1.119730795161e-05,-1.08006921244802e-16,0.0,0.0,0.0,-5.48768944467603e-17,-1.11973401378203e-05,-1.0476596283177e-22,-1.11973401378752e-05,-1.08762158712887e-16,4.0,4.0,0.0,0.0,3.21862295614935e-11,0.0,3.21862295614935e-11,8.72071803537887e-16,0.0,-2.38542423305367e-07,-180.46556487784,-1653149.86815923
1.787e-06,0.05,0.05,0.0,1.8520801104037e-17,1.11975078449331e-05,1.29788991919122e-22,1.11975078449516e-05,-1.08045952069124e-16,0.0,0.0,0.0,-5.62639944968836e-17,-1.11975401322413e-05,-1.04761140595097e-22,-1.11975401322976e-05,-1.08801449511319e-16,4.0,4.0,0.0,0.0,3.22873080864383e-11,0.0,3.22873080864383e-11,8.72394417227373e-16,0.0,-2.43829768115276e-07,-180.315320946644,-1652262.02663177
1.797e-06,0.05,0.05,0.0,-7.95716979767952e-16,1.11977099220704e-05,1.29788553011977e-22,1.11977099212747e-05,-1.08085584173219e-16,0.0,0.0,0.0,-7.55565459041704e-16,-1.11977426980071e-05,-1.04756215585154e-22,-1.11977426987627e-05,-1.08841333927093e-16,4.0,4.0,0.0,0.0,3.27759367771174e-11,0.0,3.27759367771174e-11,8.72720433205148e-16,0.0,-2.49147610123188e-07,-180.16546959002,-1651369.06184998
1.807e-06,0.05,0.05,0.0,-1.77892565993416e-15,1.11979165601142e-05,1.29788058551823e-22,1.11979165583352e-05,-1.0812625063614e-16,0.0,0.0,0.0,-1.60359621359858e-15,-1.11979500933861e-05,-1.04751114167164e-22,-1.11979500949897e-05,-1.0888225100717e-16,4.0,4.0,0.0,0.0,3.35332717701703e-11,0.0,3.35332717701703e-11,8.73053873740392e-16,0.0,-2.54580642753282e-07,-180.013550228806,-1650456.74928531
