time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.006) Polarization/x","Pos(0,0.006) Polarization/y","Pos(0,0.006) ElectricField/x","Pos(0,0.006) ElectricField/y"
1.717e-06,0.05,0.05,0.0,2.66419718215312e-12,1.0488056169034e-05,1.12910277846914e-22,1.04880588332312e-05,-1.02692055462875e-16,0.0,0.0,0.0,-1.26021820506994e-12,-1.17829093083595e-05,-9.79531479302808e-23,-1.17829105685777e-05,-1.03405387857885e-16,3.0,3.0,0.0,0.0,1.29485320912909e-06,0.0,1.29485320912909e-06,8.22731302720671e-16,0.0,-1.24554156808593e-07,-122.987746917002,-1558671.12838435
1.727e-06,0.05,0.05,0.0,2.87270430670454e-17,1.11361574189983e-05,1.20617889836451e-22,1.1136157419027e-05,-1.02771927486476e-16,0.0,0.0,0.0,-2.77279289729711e-17,-1.11361776180864e-05,-9.33354529080554e-23,-1.11361776181141e-05,-1.03485444251816e-16,3.0,3.0,0.0,0.0,2.01990880105723e-11,0.0,2.01990880105723e-11,8.23393615068165e-16,0.0,-1.29333139396526e-07,-122.811071583567,-1558487.74716958
1.737e-06,0.05,0.05,0.0,2.92255949691187e-17,1.11363127896286e-05,1.20619742780388e-22,1.11363127896578e-05,-1.02796900669931e-16,0.0,0.0,0.0,-2.85340552339848e-17,-1.11363330527686e-05,-9.33352852478919e-23,-1.11363330527972e-05,-1.03510626484607e-16,3.0,3.0,0.0,0.0,2.02631399676982e-11,0.0,2.02631399676982e-11,8.23596098382812e-16,0.0,-1.34121907483966e-07,-122.682547762091,-1557411.23081796
1.747e-06,0.05,0.05,0.0,2.32087972154681e-17,1.11364686839364e-05,1.20621596203355e-22,1.11364686839596e-05,-1.02821983050074e-16,0.0,0.0,0.0,-3.40462702157789e-17,-1.11364890170165e-05,-9.33351067841854e-23,-1.11364890170506e-05,-1.03535916441875e-16,3.0,3.0,0.0,0.0,2.0333080005195e-11,0.0,2.0333080005195e-11,8.23799265157704e-16,0.0,-1.38919029348345e-07,-122.553956798262,-1556332.8398666
1.757e-06,0.05,0.05,0.0,2.03481546483298e-17,1.11366250838289e-05,1.20623449813809e-22,1.11366250838492e-05,-1.02847170671362e-16,0.0,0.0,0.0,-3.6661657411736e-17,-1.11366454824253e-05,-9.3334917377079e-23,-1.1136645482462e-05,-1.03561310182227e-16,3.0,3.0,0.0,0.0,2.03985965090561e-11,0.0,2.03985965090561e-11,8.24003087412928e-16,0.0,-1.43724082940154e-07,-122.425304283406,-1555252.66921925
1.767e-06,0.05,0.05,0.0,2.13392275826933e-17,1.113678198605e-05,1.20625303493916e-22,1.11367819860713e-05,-1.02872463601949e-16,0.0,0.0,0.0,-3.77311316532803e-17,-1.11368024500234e-05,-9.33347169325124e-23,-1.11368024500611e-05,-1.03586807750484e-16,3.0,3.0,0.0,0.0,2.046397342934e-11,0.0,2.046397342934e-11,8.24207563797971e-16,0.0,-1.48537042171581e-07,-122.296589920656,-1554170.72475355
1.777e-06,0.05,0.05,0.0,2.1284949754645e-17,1.11369393893288e-05,1.20627157149001e-22,1.11369393893501e-05,-1.02897861875447e-16,0.0,0.0,0.0,-3.67621719081217e-17,-1.11369599185211e-05,-9.33345053399799e-23,-1.11369599185579e-05,-1.03612409157544e-16,3.0,3.0,0.0,0.0,2.05291922787706e-11,0.0,2.05291922787706e-11,8.24412692778133e-16,0.0,-1.53357878437576e-07,-122.167813510922,-1553087.01291592
1.787e-06,0.05,0.05,0.0,2.14879890373442e-17,1.11370972985211e-05,1.20629010756046e-22,1.11370972985426e-05,-1.02923365501467e-16,0.0,0.0,0.0,-3.76869052748705e-17,-1.11371178954259e-05,-9.33342825519942e-23,-1.11371178954636e-05,-1.03638114389398e-16,3.0,3.0,0.0,0.0,2.0596904900256e-11,0.0,2.0596904900256e-11,8.2461848598635e-16,0.0,-1.58186560666697e-07,-122.038974294439,-1552001.54069632
1.797e-06,0.05,0.05,0.0,-2.16443895937204e-16,1.11372568617179e-05,1.2063087945738e-22,1.11372568615015e-05,-1.0294923940852e-16,0.0,0.0,0.0,-2.28095536358239e-16,-1.11372777513528e-05,-9.33340453872194e-23,-1.11372777515809e-05,-1.03664183849036e-16,3.0,3.0,0.0,0.0,2.08896349115398e-11,0.0,2.08896349115398e-11,8.24826336657103e-16,0.0,-1.63040916134667e-07,-121.91049457028,-1550910.30026236
1.807e-06,0.05,0.05,0.0,-7.41467295778639e-16,1.11374200647116e-05,1.20632785339756e-22,1.11374200639701e-05,-1.0297581433258e-16,0.0,0.0,0.0,-6.7186301732144e-16,-1.11374414374959e-05,-9.3333784423428e-23,-1.11374414381677e-05,-1.03690953946186e-16,3.0,3.0,0.0,0.0,2.13727845139685e-11,0.0,2.13727845139685e-11,8.25038857411037e-16,0.0,-1.67997532658109e-07,-121.780178912268,-1549796.07535995
1.817e-06,0.05,0.05,0.0,-7.3237877501544e-16,1.11375870806545e-05,1.2063472978604e-22,1.11375870799221e-05,-1.03003090562206e-16,0.0,0.0,0.0,-6.65747715361331e-16,-1.11376089352733e-05,-9.33334983792747e-23,-1.1137608935939e-05,-1.03718424926399e-16,3.0,3.0,0.0,0.0,2.18546187795101e-11,0.0,2.18546187795101e-11,8.25256199870799e-16,0.0,-1.73063756275746e-07,-121.646871136788,-1548657.2150566
