time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
0.0,0.05,0.05,0.0,-1.96264842955483e-22,1.69909781840363e-16,-1.34965930170754e-24,1.69909584225861e-16,5.7966308775929e-17,0.0,0.0,0.0,-2.0679078791436e-22,-1.69909779104579e-16,-1.7840055884405e-24,-1.69909987679373e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-4.43257391464066e-21,0.0,-4.43257391464066e-21,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.0907617614819907,210997.612358719
5e-09,0.05,0.05,0.0,-1.64167062560846e-19,1.70073904134201e-16,2.32322104490673e-26,1.69909737094872e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58203314831638e-19,-1.69751561368172e-16,-1.24776682784731e-24,-1.69909765930771e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-3.24647134819748e-23,0.0,-3.24647134819748e-23,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
1e-08,0.05,0.05,0.0,-1.64072873116894e-19,1.70073904134201e-16,2.31355105032688e-26,1.69909831284219e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58199402197903e-19,-1.69751561368172e-16,-1.24779732723821e-24,-1.69909762018167e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-4.16406765917857e-23,0.0,-4.16406765917857e-23,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
1.5e-08,0.05,0.05,0.0,-1.64118585053354e-19,1.70073904134201e-16,2.31631223136959e-26,1.69909785572311e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58221494741048e-19,-1.69751561368172e-16,-1.24784111624876e-24,-1.69909784110754e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,3.3024628422337e-24,0.0,3.3024628422337e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
2e-08,0.05,0.05,0.0,-1.64118389453083e-19,1.70073904134201e-16,2.31626326473751e-26,1.6990978576791e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223061314259e-19,-1.69751561368172e-16,-1.2478464350307e-24,-1.69909785677333e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-6.85603073585542e-25,0.0,-6.85603073585542e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
2.5e-08,0.05,0.05,0.0,-1.64117719375608e-19,1.70073904134201e-16,2.31633623325407e-26,1.69909786437988e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223120462225e-19,-1.69751561368172e-16,-1.24784608738663e-24,-1.69909785736481e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,1.31288320701996e-24,0.0,1.31288320701996e-24,-2.55895840893112e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
3e-08,0.05,0.05,0.0,-1.64118983855612e-19,1.70073904134201e-16,2.31628625099987e-26,1.69909785173508e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223161785816e-19,-1.69751561368172e-16,-1.24784633780375e-24,-1.69909785777804e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-1.56403875168072e-25,0.0,-1.56403875168072e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
3.5e-08,0.05,0.05,0.0,-1.64118559228538e-19,1.70073904134201e-16,2.3163140850168e-26,1.69909785598135e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223208694352e-19,-1.69751561368172e-16,-1.24784827363525e-24,-1.69909785824715e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,2.1828558214734e-24,0.0,2.1828558214734e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
4e-08,0.05,0.05,0.0,-1.64118232315842e-19,1.70073904134201e-16,2.31613630898981e-26,1.69909785925046e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58222798828862e-19,-1.69751561368172e-16,-1.24784612429542e-24,-1.69909785414847e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-1.41303098493415e-24,0.0,-1.41303098493415e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
4.5e-08,0.05,0.05,0.0,-1.64118718780309e-19,1.70073904134201e-16,2.31618708959139e-26,1.69909785438582e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.5822300426237e-19,-1.69751561368172e-16,-1.2478461018195e-24,-1.69909785620281e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-6.20389269543238e-25,0.0,-6.20389269543238e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
5e-08,0.05,0.05,0.0,-1.64118108833779e-19,1.70073904134201e-16,2.31618108870582e-26,1.69909786048529e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58224305526337e-19,-1.69751561368172e-16,-1.24784818716234e-24,-1.69909786921547e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-5.1708855708732e-25,0.0,-5.1708855708732e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
5.5e-08,0.05,0.05,0.0,-1.64118846150756e-19,1.70073904134201e-16,2.31627091137628e-26,1.69909785311213e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58221764146435e-19,-1.69751561368172e-16,-1.24784347879835e-24,-1.69909784380162e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-1.27106482294697e-24,0.0,-1.27106482294697e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
6e-08,0.05,0.05,0.0,-1.64118523111731e-19,1.70073904134201e-16,2.31616338918806e-26,1.69909785634251e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223677391284e-19,-1.69751561368172e-16,-1.24784463605307e-24,-1.69909786293408e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,9.90863974631978e-25,0.0,9.90863974631978e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.0907617614206703,210997.612358719
6.5e-08,0.05,0.05,0.0,-1.64118185398471e-19,1.70073904134201e-16,2.31614492773485e-26,1.69909785971964e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223496489439e-19,-1.69751561368172e-16,-1.24784639276542e-24,-1.69909786112508e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,1.37751846994462e-24,0.0,1.37751846994462e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.0907617614206703,210997.612358719
7e-08,0.05,0.05,0.0,-1.64118327691252e-19,1.70073904134201e-16,2.31637421854912e-26,1.69909785829673e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58221802517317e-19,-1.69751561368172e-16,-1.2478478403232e-24,-1.69909784418537e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-9.0374305239996e-25,0.0,-9.0374305239996e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
7.5e-08,0.05,0.05,0.0,-1.64118259093476e-19,1.70073904134201e-16,2.31614156742711e-26,1.69909785898269e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223685214712e-19,-1.69751561368172e-16,-1.24784731096881e-24,-1.69909786301234e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-2.07764960837207e-25,0.0,-2.07764960837207e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.0907617614206703,210997.612358719
8e-08,0.05,0.05,0.0,-1.64118358911041e-19,1.70073904134201e-16,2.31626279626548e-26,1.69909785798452e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223385955327e-19,-1.69751561368172e-16,-1.2478452120877e-24,-1.69909786001973e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-1.69099511305942e-25,0.0,-1.69099511305942e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
8.5e-08,0.05,0.05,0.0,-1.64118327828041e-19,1.70073904134201e-16,2.31615696142715e-26,1.69909785829534e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58222958759877e-19,-1.69751561368172e-16,-1.24784559225513e-24,-1.69909785574778e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-5.55754006618584e-25,0.0,-5.55754006618584e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.0907617614121062,210997.612358719
9e-08,0.05,0.05,0.0,-1.64118262047385e-19,1.70073904134201e-16,2.31624770500431e-26,1.69909785895316e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223005506817e-19,-1.69751561368172e-16,-1.24784271329754e-24,-1.69909785621522e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-1.2903975477126e-24,0.0,-1.2903975477126e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
9.5e-08,0.05,0.05,0.0,-1.64118271493976e-19,1.70073904134201e-16,2.31628061165591e-26,1.6990978588587e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223310237672e-19,-1.69751561368172e-16,-1.24784779958757e-24,-1.69909785926258e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-1.11101337009047e-25,0.0,-1.11101337009047e-25,-2.55895840893112e-16,0.0,3.02546772163013e-07,-0.0907617613385635,210997.612358719
1e-07,0.05,0.05,0.0,-1.6411887052129e-19,1.70073904134201e-16,2.31618968015021e-26,1.69909785286841e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223049169903e-19,-1.69751561368172e-16,-1.24785078631072e-24,-1.69909785665193e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-2.04962606910042e-26,0.0,-2.04962606910042e-26,-2.55895840893112e-16,0.0,3.02546772163013e-07,-0.090761761423525,210997.612358719
