time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.0085) Polarization/x","Pos(0,0.0085) Polarization/y","Pos(0,0.0085) ElectricField/x","Pos(0,0.0085) ElectricField/y"
8.08e-07,0.05,0.05,0.0,-5.79608018816705e-13,1.34123292723891e-07,1.0746249688273e-23,1.34122713115873e-07,5.4250249192527e-17,0.0,0.0,0.0,-4.88594890327218e-13,1.39475079382039e-07,1.2999645109629e-23,1.39474590787149e-07,5.2413947183035e-17,-0.5,-0.5,0.0,0.0,-2.73597303903022e-07,0.0,-2.73597303903022e-07,-2.05049490734968e-16,0.0,2.15946825144272e-07,-0.937700642490674,116985.709805269
8.13e-07,0.05,0.05,0.0,-3.59025398908204e-17,6.25387708921889e-11,4.30978704799442e-24,6.25387349896533e-11,5.43021659328371e-17,0.0,0.0,0.0,-3.47572583771386e-17,6.00306752096832e-11,5.78234067182017e-24,6.00306404524306e-11,5.24158327534059e-17,-0.5,-0.5,0.0,0.0,-1.2256937544208e-10,0.0,-1.2256937544208e-10,-2.10370901383442e-16,0.0,2.14692042080748e-07,7.65588244005935,130631.580777009
8.18e-07,0.05,0.05,0.0,-2.76785009969805e-18,4.7999551319605e-11,4.31200905789124e-24,4.79995485517592e-11,5.42982385595326e-17,0.0,0.0,0.0,-2.52818485812277e-18,4.65241452152326e-11,5.76386470388092e-24,4.65241426870535e-11,5.24044440909751e-17,-0.5,-0.5,0.0,0.0,-9.45236912388188e-11,0.0,-9.45236912388188e-11,-2.10861188222736e-16,0.0,2.13439454380842e-07,7.60734653634055,132264.212380772
8.23e-07,0.05,0.05,0.0,-1.4638436027702e-18,4.39400580285622e-11,4.31881798582033e-24,4.39400565647229e-11,5.42882971368563e-17,0.0,0.0,0.0,-1.24831822822718e-18,4.28130239037397e-11,5.74895647425468e-24,4.28130226554272e-11,5.23894455614878e-17,-0.5,-0.5,0.0,0.0,-8.67530792201889e-11,0.0,-8.67530792201889e-11,-2.11299521630543e-16,0.0,2.12188989241037e-07,7.58446746146082,133789.265970694
8.28e-07,0.05,0.05,0.0,-1.05480648083866e-18,4.08320325539565e-11,4.32744744257783e-24,4.08320314991543e-11,5.42757735248118e-17,0.0,0.0,0.0,-1.19561031802446e-18,3.99073727487459e-11,5.73547862313381e-24,3.99073715531413e-11,5.23730369110178e-17,-0.5,-0.5,0.0,0.0,-8.07394030533821e-11,0.0,-8.07394030533821e-11,-2.1170321864581e-16,0.0,2.10940653454842e-07,7.58353709162789,135237.023189312
8.33e-07,0.05,0.05,0.0,-1.06249742875593e-18,3.80960066488528e-11,4.33678780271017e-24,3.80960055863597e-11,5.4262187700449e-17,0.0,0.0,0.0,-9.83707474520239e-19,3.73189502218349e-11,5.7229044599506e-24,3.73189492381332e-11,5.23562713209347e-17,-0.5,-0.5,0.0,0.0,-7.54149548246674e-11,0.0,-7.54149548246674e-11,-2.12080293419934e-16,0.0,2.09694280858418e-07,7.59639379901134,136621.287483341
8.38e-07,0.05,0.05,0.0,-9.37753487866587e-19,3.56291578587764e-11,4.34654302075902e-24,3.56291569210272e-11,5.42481262963582e-17,0.0,0.0,0.0,-8.8054304631961e-19,3.49623877857276e-11,5.71102356901919e-24,3.49623869051902e-11,5.23395488005274e-17,-0.5,-0.5,0.0,0.0,-7.05915438262395e-11,0.0,-7.05915438262395e-11,-2.12433251139065e-16,0.0,2.08449871826946e-07,7.6195575328061,137945.928934274
8.43e-07,0.05,0.05,0.0,-8.74458419317558e-19,3.3372679317472e-11,4.35650050034178e-24,3.33726784430179e-11,5.42339324598281e-17,0.0,0.0,0.0,-9.47634835400854e-19,3.27887961761016e-11,5.69970991545004e-24,3.27887952284725e-11,5.23230759920344e-17,-0.5,-0.5,0.0,0.0,-6.61614736729159e-11,0.0,-6.61614736729159e-11,-2.12764058507429e-16,0.0,2.07207426559906e-07,7.6504447932164,139214.540774423
8.48e-07,0.05,0.05,0.0,-7.88220160839839e-19,3.128941118677e-11,4.36656391117822e-24,3.12894103985542e-11,5.42198068773733e-17,0.0,0.0,0.0,-7.56950249939369e-19,3.07683239444101e-11,5.6889029873881e-24,3.07683231874656e-11,5.23069539554558e-17,-0.5,-0.5,0.0,0.0,-6.20577335860428e-11,0.0,-6.20577335860428e-11,-2.1307434717536e-16,0.0,2.05966945090581e-07,7.68715434639787,140430.483207488
8.53e-07,0.05,0.05,0.0,-7.54936643321615e-19,2.93542001815207e-11,4.37665052926773e-24,2.93541994265884e-11,5.42058647547077e-17,0.0,0.0,0.0,-7.088305988912e-19,2.88814604800911e-11,5.67857195984399e-24,2.88814597712661e-11,5.22912266881722e-17,-0.5,-0.5,0.0,0.0,-5.82356591988643e-11,0.0,-5.82356591988643e-11,-2.13365525471354e-16,0.0,2.04728427294994e-07,7.72831615372321,141596.903047919
8.58e-07,0.05,0.05,0.0,-7.46897523470988e-19,2.75491494152388e-11,4.38672647278018e-24,2.75491486683456e-11,5.4192169586082e-17,0.0,0.0,0.0,-7.40061514719182e-19,2.71145242667831e-11,5.66863918619026e-24,2.71145235267273e-11,5.22759076716718e-17,-0.5,-0.5,0.0,0.0,-5.46636721950781e-11,0.0,-5.46636721950781e-11,-2.13638843832329e-16,0.0,2.03491872900311e-07,7.77295844917981,142716.749212704
8.63e-07,0.05,0.05,0.0,-7.37759348399336e-19,2.5860916974319e-11,4.39675099349879e-24,2.58609162365641e-11,5.41787536024238e-17,0.0,0.0,0.0,-4.74688834872186e-19,2.54571972063182e-11,5.6590890483317e-24,2.5457196731635e-11,5.22609943046833e-17,-0.5,-0.5,0.0,0.0,-5.13181129684958e-11,0.0,-5.13181129684958e-11,-2.13895434397172e-16,0.0,2.02257281492751e-07,7.82039589499056,143792.786436224
8.67999999999999e-07,0.05,0.05,0.0,-7.32251357676675e-19,2.4279091837965e-11,4.40674387166273e-24,2.4279091105718e-11,5.41656302451117e-17,0.0,0.0,0.0,-6.64478780580149e-19,2.39011691498079e-11,5.64989190304086e-24,2.39011684853348e-11,5.22464757183063e-17,-0.5,-0.5,0.0,0.0,-4.81802595910545e-11,0.0,-4.81802595910545e-11,-2.14136335695127e-16,0.0,2.01024652525038e-07,7.87014252390831,144827.60771253
8.72999999999999e-07,0.05,0.05,0.0,-4.30232849487949e-19,2.27951950844767e-11,4.41667525693806e-24,2.27951946542483e-11,5.41528017832142e-17,0.0,0.0,0.0,-7.37035167342231e-19,2.24393865518204e-11,5.64103386982441e-24,2.24393858147909e-11,5.22323369961663e-17,-0.5,-0.5,0.0,0.0,-4.52345804691657e-11,0.0,-4.52345804691657e-11,-2.14362508597473e-16,0.0,1.99793985323425e-07,7.92184804802046,145823.645695407
8.77999999999999e-07,0.05,0.05,0.0,-4.66968266803985e-19,2.14020607938735e-11,4.42652280014541e-24,2.14020603269096e-11,5.41402639569951e-17,0.0,0.0,0.0,-6.30383391020767e-19,2.10656376621273e-11,5.63248424082851e-24,2.10656370317496e-11,5.22185614483295e-17,-0.5,-0.5,0.0,0.0,-4.24676973586625e-11,0.0,-4.24676973586625e-11,-2.14574847084266e-16,0.0,1.98565279094305e-07,7.9752533116636,146783.183205077
8.82999999999999e-07,0.05,0.05,0.0,-4.19441275674137e-19,2.00934456204749e-11,4.4363178182612e-24,2.00934452010381e-11,5.41280087997082e-17,0.0,0.0,0.0,-5.03922462964272e-19,1.97743165297729e-11,5.62422619572672e-24,1.9774316025856e-11,5.22051318329757e-17,-0.5,-0.5,0.0,0.0,-3.98677612269665e-11,0.0,-3.98677612269665e-11,-2.14774185890401e-16,0.0,1.97338532930454e-07,8.03016012428377,147708.362949025
8.87999999999999e-07,0.05,0.05,0.0,-3.1660677952881e-19,1.88637848380347e-11,4.44605077176527e-24,1.88637845214324e-11,5.41160263451497e-17,0.0,0.0,0.0,-3.10129418082833e-19,1.85602853627132e-11,5.6162373721954e-24,1.85602850525894e-11,5.2192031008834e-17,-0.5,-0.5,0.0,0.0,-3.74240695740223e-11,0.0,-3.74240695740223e-11,-2.14961306238271e-16,0.0,1.96113745816912e-07,8.08641130613263,148601.1965395
8.92999999999999e-07,0.05,0.05,0.0,-2.97586961679963e-19,1.77080348079006e-11,4.45570602004036e-24,1.77080345103181e-11,5.4104305655235e-17,0.0,0.0,0.0,-6.35327460081576e-19,1.74187919377389e-11,5.60849538864965e-24,1.7418791302417e-11,5.21792422788504e-17,-0.5,-0.5,0.0,0.0,-3.51268258127752e-11,0.0,-3.51268258127752e-11,-2.15136940367335e-16,0.0,1.94890916636535e-07,8.1438777023583,149463.572874136
8.97999999999999e-07,0.05,0.05,0.0,-6.37279851720739e-19,1.66215703919639e-11,4.46528941748571e-24,1.66215697546885e-11,5.40928354336877e-17,0.0,0.0,0.0,-5.48390294491719e-19,1.63454136417707e-11,5.60100807671194e-24,1.6345413093386e-11,5.21667495655606e-17,-0.5,-0.5,0.0,0.0,-3.29669828480734e-11,0.0,-3.29669828480734e-11,-2.15301775281575e-16,0.0,1.93670044175234e-07,8.20244981752841,150297.265935285
9.02999999999999e-07,0.05,0.05,0.0,-5.09469437256451e-19,1.56001149163673e-11,4.47481321093592e-24,1.56001144069024e-11,5.40816043884897e-17,0.0,0.0,0.0,-5.89002040569567e-19,1.53360232273363e-11,5.59372566743209e-24,1.53360226383398e-11,5.21545374940997e-17,-0.5,-0.5,0.0,0.0,-3.09361370452723e-11,0.0,-3.09361370452723e-11,-2.15456455966802e-16,0.0,1.92451127126914e-07,8.2620324468992,151103.942055922
9.08e-07,0.05,0.05,0.0,-1.87001380083746e-19,1.46396946156815e-11,4.48425583041162e-24,1.46396944286846e-11,5.40706014422699e-17,0.0,0.0,0.0,-1.98974968547134e-19,1.43867585357933e-11,5.58666274062426e-24,1.43867583368239e-11,5.21425914240938e-17,-0.5,-0.5,0.0,0.0,-2.90264527655084e-11,0.0,-2.90264527655084e-11,-2.15601588230629e-16,0.0,1.91234164098149e-07,8.32254121759005,151885.166694205
