time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
0.0,0.05,0.05,0.0,-1.53655067712618e-22,5.00133670673195e-16,1.88582278448749e-24,5.0013351890395e-16,5.56498039761373e-17,0.0,0.0,0.0,-1.63319165007842e-22,-5.00133681007122e-16,-1.37356977172308e-24,-5.00133845699857e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-3.61104130180431e-21,0.0,-3.61104130180431e-21,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633707,212571.595650734
5e-09,0.05,0.05,0.0,-1.07137864273025e-19,5.00240808210813e-16,3.83321697579317e-26,5.00133670384873e-16,5.56498039761373e-17,0.0,0.0,0.0,8.32794177606726e-20,-5.00216974382056e-16,-1.72567403445135e-24,-5.00133696689969e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-1.28723852659463e-22,0.0,-1.28723852659463e-22,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633734,212571.595650733
1e-08,0.05,0.05,0.0,-1.07128487935186e-19,5.00240808210813e-16,3.82997915854728e-26,5.00133679761178e-16,5.56498039761373e-17,0.0,0.0,0.0,8.3341127292782e-20,-5.00216974382056e-16,-1.72575261812933e-24,-5.00133634980516e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-2.44930807422265e-22,0.0,-2.44930807422265e-22,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633734,212571.595650733
1.5e-08,0.05,0.05,0.0,-9.93141000230622e-20,5.00232993840728e-16,3.83185826486246e-26,5.00133679779023e-16,5.56498039761374e-17,0.0,0.0,0.0,8.32953669901096e-20,-5.00216974382056e-16,-1.72573116957658e-24,-5.00133680740797e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-5.18510749903827e-24,0.0,-5.18510749903827e-24,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633323,212571.595650733
2e-08,0.05,0.05,0.0,-1.07128884630427e-19,5.00240808210814e-16,3.83191993365628e-26,5.00133679364502e-16,5.56498039761373e-17,0.0,0.0,0.0,7.54813583631986e-20,-5.0020916001197e-16,-1.72572949192836e-24,-5.00133680379337e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-2.52163661204797e-24,0.0,-2.52163661204797e-24,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633734,212571.595650733
2.5e-08,0.05,0.05,0.0,-9.93149049745534e-20,5.00232993840728e-16,3.83189196800263e-26,5.00133678974072e-16,5.56498039761373e-17,0.0,0.0,0.0,-2.61029315166042e-20,-5.00107573200859e-16,-1.72572750359831e-24,-5.00133677858103e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,3.97604827562461e-25,0.0,3.97604827562461e-25,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633734,212571.595650733
3e-08,0.05,0.05,0.0,-9.93142997596419e-20,5.00232993840728e-16,3.83189640586649e-26,5.00133679579287e-16,5.56498039761373e-17,0.0,0.0,0.0,-2.61052789954287e-20,-5.00107573200858e-16,-1.72572887891115e-24,-5.00133680205583e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,1.2047460865276e-24,0.0,1.2047460865276e-24,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633734,212571.595650733
3.5e-08,0.05,0.05,0.0,-9.93146411823707e-20,5.00232993840728e-16,3.83189489694001e-26,5.00133679237865e-16,5.56498039761374e-17,0.0,0.0,0.0,8.32977386560771e-20,-5.00216974382056e-16,-1.72572845322516e-24,-5.00133678369128e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-3.56371438297188e-25,0.0,-3.56371438297188e-25,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633785,212571.595650733
4e-08,0.05,0.05,0.0,-9.93139653991341e-20,5.00232993840728e-16,3.8318667850805e-26,5.00133679913647e-16,5.56498039761373e-17,0.0,0.0,0.0,8.32987468786812e-20,-5.00216974382056e-16,-1.72573034523265e-24,-5.00133677360908e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-6.36695947398852e-25,0.0,-6.36695947398852e-25,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633988,212571.595650733
4.5e-08,0.05,0.05,0.0,-9.93149614658272e-20,5.00232993840728e-16,3.83189529325556e-26,5.00133678917581e-16,5.56498039761373e-17,0.0,0.0,0.0,-2.61042049907345e-20,-5.00107573200859e-16,-1.72572846758501e-24,-5.00133679131578e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-1.207011327985e-24,0.0,-1.207011327985e-24,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633785,212571.595650733
5e-08,0.05,0.05,0.0,-9.93144383352006e-20,5.00232993840728e-16,3.83187366091539e-26,5.00133679440711e-16,5.56498039761373e-17,0.0,0.0,0.0,8.3297605458553e-20,-5.00216974382056e-16,-1.72572772135485e-24,-5.00133678502325e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,1.09358291912521e-24,0.0,1.09358291912521e-24,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633627,212571.595650733
5.5e-08,0.05,0.05,0.0,-9.9314413332585e-20,5.00232993840728e-16,3.8318644310946e-26,5.00133679465714e-16,5.56498039761373e-17,0.0,0.0,0.0,-2.6103319332509e-20,-5.00107573200859e-16,-1.72572793154243e-24,-5.00133678245919e-16,5.38935370281763e-17,-0.5,-0.5,0.0,0.0,-1.78699307095396e-24,0.0,-1.78699307095396e-24,-1.7949957587733e-16,0.0,3.05329689483797e-07,93.1984303633785,212571.595650733
