time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
1.212e-06,0.05,0.05,0.0,-5.41144153760701e-13,1.12173432770902e-07,4.47845043017882e-24,1.12172891626748e-07,5.50115294267702e-17,0.0,0.0,0.0,-5.80568322331961e-13,1.16465990054079e-07,7.37022631153972e-24,1.16465409485757e-07,5.33225683822759e-17,-0.5,-0.5,0.0,0.0,-2.28638301112505e-07,0.0,-2.28638301112505e-07,-1.57648607095493e-16,0.0,1.28639879068427e-07,231.359370185022,160329.914028662
1.217e-06,0.05,0.05,0.0,-1.89253999348843e-17,3.83034515276194e-11,2.66718971314422e-25,3.83034326022197e-11,5.51665934728182e-17,0.0,0.0,0.0,-1.82326705931398e-17,3.53434016770287e-11,2.42075782199891e-24,3.53433834443605e-11,5.34357557131855e-17,-0.5,-0.5,0.0,0.0,-7.36468160465641e-11,0.0,-7.36468160465641e-11,-1.60431037836924e-16,0.0,1.26891390857777e-07,232.671105693959,173344.254375461
1.222e-06,0.05,0.05,0.0,-2.4375234196307e-18,2.77454474467257e-11,2.68782758436846e-25,2.77454450092026e-11,5.51870352912495e-17,0.0,0.0,0.0,-2.05923895065776e-18,2.59291302041443e-11,2.4326475359728e-24,2.59291281449077e-11,5.34464778418222e-17,-0.5,-0.5,0.0,0.0,-5.36745731541087e-11,0.0,-5.36745731541087e-11,-1.60714725157092e-16,0.0,1.25145872095762e-07,230.999058679005,175132.927148722
1.227e-06,0.05,0.05,0.0,-1.36706979210946e-18,2.38748771937195e-11,2.71877204639121e-25,2.387487582665e-11,5.51925196517188e-17,0.0,0.0,0.0,-1.04629666707372e-18,2.26464451656888e-11,2.44831841062002e-24,2.26464441193946e-11,5.34460028613701e-17,-0.5,-0.5,0.0,0.0,-4.65213199460419e-11,0.0,-4.65213199460419e-11,-1.60951501298922e-16,0.0,1.23403226055241e-07,229.366738937582,176811.109672878
1.232e-06,0.05,0.05,0.0,-9.32589397640631e-19,2.13114076110455e-11,2.75250687089804e-25,2.13114066784564e-11,5.51905724438132e-17,0.0,0.0,0.0,-8.3020469451088e-19,2.04055912502898e-11,2.46577269693283e-24,2.04055904200876e-11,5.34400275715948e-17,-0.5,-0.5,0.0,0.0,-4.1716997098545e-11,0.0,-4.1716997098545e-11,-1.61160086284415e-16,0.0,1.21663462878422e-07,227.832284284259,178409.453167659
1.237e-06,0.05,0.05,0.0,-7.47055424757138e-19,1.9329744911146e-11,2.78754861695514e-25,1.93297441640908e-11,5.51850131487481e-17,0.0,0.0,0.0,-5.37412692709924e-19,1.86241521228771e-11,2.48421416317877e-24,1.86241515854669e-11,5.34314181873012e-17,-0.5,-0.5,0.0,0.0,-3.79538957515853e-11,0.0,-3.79538957515853e-11,-1.61349855763173e-16,0.0,1.19926361304649e-07,226.389740903177,179943.215342445
1.242e-06,0.05,0.05,0.0,-4.78016609941717e-19,1.77187200036847e-11,2.82348564065532e-25,1.77187195256684e-11,5.51773207966881e-17,0.0,0.0,0.0,-5.32135957720982e-19,1.71404217890005e-11,2.50335836889862e-24,1.71404212568671e-11,5.3421289346537e-17,-0.5,-0.5,0.0,0.0,-3.48591407827715e-11,0.0,-3.48591407827715e-11,-1.61524151467087e-16,0.0,1.18191922848205e-07,225.033816612762,181416.869349159
1.247e-06,0.05,0.05,0.0,-4.60085216651311e-19,1.63557017561997e-11,2.86015239663573e-25,1.63557012961148e-11,5.51683853716983e-17,0.0,0.0,0.0,-5.15035705865716e-19,1.58611279817267e-11,2.52302444717161e-24,1.58611274666935e-11,5.34103137558763e-17,-0.5,-0.5,0.0,0.0,-3.22168287628038e-11,0.0,-3.22168287628038e-11,-1.61685235610901e-16,0.0,1.16460148842395e-07,223.756993731144,182834.347978503
1.252e-06,0.05,0.05,0.0,-4.04878416314674e-19,1.51671236296193e-11,2.89743268453121e-25,1.51671232247412e-11,5.51587498648291e-17,0.0,0.0,0.0,-4.3650484071981e-19,1.47296403747189e-11,2.54309807523362e-24,1.47296399382166e-11,5.33989019899702e-17,-0.5,-0.5,0.0,0.0,-2.98967631631224e-11,0.0,-2.98967631631224e-11,-1.61834719426717e-16,0.0,1.14731040448826e-07,222.551460157543,184199.191688205
1.257e-06,0.05,0.05,0.0,-4.13612380811432e-19,1.4107287859719e-11,2.93529348345177e-25,1.41072874461069e-11,5.51487482316522e-17,0.0,0.0,0.0,-3.06672991865842e-19,1.37102242113765e-11,2.56350032112717e-24,1.3710223904706e-11,5.33873055029678e-17,-0.5,-0.5,0.0,0.0,-2.78175113572004e-11,0.0,-2.78175113572004e-11,-1.61973806983503e-16,0.0,1.13004598665874e-07,221.409966409066,185514.632711621
