time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
1.111e-06,0.05,0.05,0.0,3.44235464125467e-12,1.13080941497454e-05,1.18880869866924e-22,1.13080975921001e-05,-4.30191856578888e-17,0.0,0.0,0.0,-3.47808752260661e-12,-1.18021996035019e-05,-9.0970765550933e-23,-1.18022030815894e-05,-4.35622114925478e-17,2.0,2.0,0.0,0.0,4.94105489489976e-07,0.0,4.94105489489976e-07,2.24392446732856e-16,0.0,2.43482322161251e-07,-259.015231702518,-845210.65227514
1.121e-06,0.05,0.05,0.0,2.12648468553678e-17,1.155564308574e-05,1.21680894937795e-22,1.15556430857613e-05,-4.30441059372963e-17,0.0,0.0,0.0,-2.82867895728758e-17,-1.15556472435096e-05,-8.92594538996711e-23,-1.15556472435379e-05,-4.35872250759221e-17,2.0,2.0,0.0,0.0,4.15776970107114e-12,0.0,4.15776970107114e-12,2.24526894032646e-16,0.0,2.42133687293274e-07,-258.996497250816,-845232.838082163
1.131e-06,0.05,0.05,0.0,2.6988142279572e-17,1.1555780923797e-05,1.21676144439703e-22,1.1555780923824e-05,-4.30514300582865e-17,0.0,0.0,0.0,-2.51668196050624e-17,-1.15557851256361e-05,-8.92516479746423e-23,-1.15557851256612e-05,-4.35946647426352e-17,2.0,2.0,0.0,0.0,4.20183928653834e-12,0.0,4.20183928653834e-12,2.24568795175792e-16,0.0,2.40776272779635e-07,-259.041767935426,-844963.146264633
1.141e-06,0.05,0.05,0.0,-5.39883462987104e-17,1.15559204839133e-05,1.21671313546843e-22,1.15559204838593e-05,-4.30588625796848e-17,0.0,0.0,0.0,-1.04410438265655e-16,-1.15559247309982e-05,-8.9243720547728e-23,-1.15559247311027e-05,-4.36022112633372e-17,2.0,2.0,0.0,0.0,4.24708491253096e-12,0.0,4.24708491253096e-12,2.24611155192359e-16,0.0,2.3941108717672e-07,-259.085943601117,-844691.895268667
1.151e-06,0.05,0.05,0.0,-1.12005313612561e-16,1.15560617069824e-05,1.21666404926483e-22,1.15560617068704e-05,-4.30663999941731e-17,0.0,0.0,0.0,-1.65752425119946e-16,-1.15560659983411e-05,-8.92356754173122e-23,-1.15560659985068e-05,-4.36098611556215e-17,2.0,2.0,0.0,0.0,4.29135847824293e-12,0.0,4.29135847824293e-12,2.2465395814406e-16,0.0,2.38038434627974e-07,-259.129050196778,-844419.145991232
1.161e-06,0.05,0.05,0.0,-1.25521095883567e-15,1.15562056105175e-05,1.21661406742271e-22,1.15562056092623e-05,-4.30740851367113e-17,0.0,0.0,0.0,-1.11454293143375e-15,-1.15562100129761e-05,-8.92274848122746e-23,-1.15562100140907e-05,-4.36176566123295e-17,2.0,2.0,0.0,0.0,4.40245860389497e-12,0.0,4.40245860389497e-12,2.24697610917208e-16,0.0,2.36635384711457e-07,-259.183794650826,-844140.393941202
1.171e-06,0.05,0.05,0.0,-2.43694582081335e-15,1.15563551558933e-05,1.21656230631786e-22,1.15563551534564e-05,-4.30821169202957e-17,0.0,0.0,0.0,-2.14679665496641e-15,-1.15563597296143e-05,-8.92189839475856e-23,-1.15563597317611e-05,-4.36257973576553e-17,2.0,2.0,0.0,0.0,4.57372107394597e-12,0.0,4.57372107394597e-12,2.24742920177988e-16,0.0,2.3518174575225e-07,-259.234038452892,-843851.522515827
1.181e-06,0.05,0.05,0.0,-2.42098210849737e-15,1.15565106648359e-05,1.21650863085329e-22,1.15565106624149e-05,-4.30905204641018e-17,0.0,0.0,0.0,-2.13596923341574e-15,-1.15565154094759e-05,-8.92101480670259e-23,-1.15565154116119e-05,-4.3634309224801e-17,2.0,2.0,0.0,0.0,4.74464011001288e-12,0.0,4.74464011001288e-12,2.24789939503767e-16,0.0,2.33677703457927e-07,-259.279448842724,-843552.566945046
1.191e-06,0.05,0.05,0.0,-2.4063974550718e-15,1.15566721241448e-05,1.21645304451176e-22,1.15566721217384e-05,-4.30992955967597e-17,0.0,0.0,0.0,-2.12395775109764e-15,-1.15566770393361e-05,-8.92009776723385e-23,-1.15566770414601e-05,-4.36431919829347e-17,2.0,2.0,0.0,0.0,4.91519128231503e-12,0.0,4.91519128231503e-12,2.24838665275818e-16,0.0,2.32123449490989e-07,-259.319993275794,-843243.565235055
1.201e-06,0.05,0.05,0.0,-2.39093028436796e-15,1.15568395195063e-05,1.21639555146092e-22,1.15568395171154e-05,-4.31084420858532e-17,0.0,0.0,0.0,-2.11280265228875e-15,-1.15568446048573e-05,-8.91914733433637e-23,-1.15568446069701e-05,-4.36524453409319e-17,2.0,2.0,0.0,0.0,5.08535090164673e-12,0.0,5.08535090164673e-12,2.24889093637658e-16,0.0,2.30519181361933e-07,-259.35564073337,-842924.556572468
