time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
0.0,0.05,0.05,0.0,-6.37738376184208e-23,1.11186616709705e-15,1.07476219116144e-23,1.11186611407083e-15,7.09052717582637e-18,0.0,0.0,0.0,-6.40947855405255e-23,-1.11186599406024e-15,-1.2516396035187e-22,-1.11186618331899e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,-4.40602257211863e-21,0.0,-4.40602257211863e-21,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225461206,211590.532113812
5e-09,0.05,0.05,0.0,5.36750090534103e-20,1.11181294703037e-15,1.0699227775137e-23,1.11186663273866e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27799813853248e-19,-1.11209426435345e-15,-1.25249005854627e-22,-1.11186658978861e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,1.86164722721544e-23,0.0,1.86164722721544e-23,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225509736,211590.532113812
1e-08,0.05,0.05,0.0,5.36691982836805e-20,1.11181294703037e-15,1.06992277752843e-23,1.11186662692789e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27791386140478e-19,-1.11209426435345e-15,-1.2524900585677e-22,-1.11186659821632e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,-3.25935823364732e-22,0.0,-3.25935823364732e-22,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225512591,211590.532113812
1.5e-08,0.05,0.05,0.0,5.36587257644847e-20,1.11181294703038e-15,1.06992277753245e-23,1.11186661645537e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27716814660906e-19,-1.11209426435345e-15,-1.25249005856691e-22,-1.1118666727878e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,-8.41881822192906e-24,0.0,-8.41881822192906e-24,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225504027,211590.532113812
2e-08,0.05,0.05,0.0,5.36707546311017e-20,1.11181294703038e-15,1.06992277753397e-23,1.11186662848423e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27718027973727e-19,-1.11209426435345e-15,-1.25249005856912e-22,-1.11186667157449e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,-7.24262069426733e-25,0.0,-7.24262069426733e-25,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225504027,211590.532113812
2.5e-08,0.05,0.05,0.0,5.36515336604354e-20,1.11181294703037e-15,1.06992277753263e-23,1.11186660926326e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27711086829022e-19,-1.11209426435345e-15,-1.25249005856905e-22,-1.11186667851563e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,4.35701416511187e-25,0.0,4.35701416511187e-25,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225504027,211590.532113812
3e-08,0.05,0.05,0.0,5.36704638314393e-20,1.11181294703037e-15,1.06992277753374e-23,1.11186662819343e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27722574842323e-19,-1.11209426435345e-15,-1.25249005856862e-22,-1.11186666702762e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,4.90469211985468e-26,0.0,4.90469211985468e-26,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225504027,211590.532113812
3.5e-08,0.05,0.05,0.0,5.36539674508609e-20,1.11181294703037e-15,1.06992277753155e-23,1.11186661169705e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27714245654402e-19,-1.11209426435345e-15,-1.25249005856912e-22,-1.11186667535681e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,4.35701416511187e-25,0.0,4.35701416511187e-25,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225461206,211590.532113812
4e-08,0.05,0.05,0.0,5.36286229727323e-20,1.11181294703037e-15,1.06992277753272e-23,1.11186658635257e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27776031913298e-19,-1.11209426435345e-15,-1.25249005856898e-22,-1.11186661357055e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,-3.37607574114092e-25,0.0,-3.37607574114092e-25,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225461206,211590.532113812
4.5e-08,0.05,0.05,0.0,5.36751062311909e-20,1.11181294703037e-15,1.0699227775358e-23,1.11186663283583e-15,7.09052717582637e-18,0.0,0.0,0.0,2.27753113715385e-19,-1.11209426435345e-15,-1.25249005856905e-22,-1.11186663648874e-15,6.76005790981405e-18,-0.5,-0.5,0.0,0.0,-1.11091656473937e-24,0.0,-1.11091656473937e-24,-1.58850853598289e-16,0.0,3.03338731541619e-07,-0.136864225466916,211590.532113812
