time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
1.01e-07,0.05,0.05,0.0,5.38778275241392e-12,8.37679665297682e-06,6.39386056256221e-23,8.37680204075957e-06,-3.83971510440981e-18,0.0,0.0,0.0,3.81722206842525e-12,-9.24888415213282e-06,-4.32038411948085e-23,-9.24888033491075e-06,-3.86639866338914e-18,3.0,3.0,0.0,0.0,8.72087544720494e-07,0.0,8.72087544720494e-07,5.35800733047395e-16,0.0,3.03338704558053e-07,-136.537288244981,-1454571.36986665
1.11e-07,0.05,0.05,0.0,-1.60340724634537e-17,8.81304392419369e-06,6.83055266684486e-23,8.81304392417765e-06,-3.84099161704291e-18,0.0,0.0,0.0,-1.97631602793648e-17,-8.81304405516667e-06,-4.19063451925701e-23,-8.81304405518643e-06,-3.86767389051267e-18,3.0,3.0,0.0,0.0,1.30972960973533e-13,0.0,1.30972960973533e-13,5.36082762035453e-16,0.0,3.03325798927823e-07,-136.490966277257,-1455262.98518857
1.21e-07,0.05,0.05,0.0,-2.00023847807629e-19,8.81304498028863e-06,6.83058414653949e-23,8.81304498028843e-06,-3.84100489385165e-18,0.0,0.0,0.0,2.3540495053541e-18,-8.81304523814667e-06,-4.19067467754095e-23,-8.81304523814431e-06,-3.86768712206801e-18,3.0,3.0,0.0,0.0,2.57858144776801e-13,0.0,2.57858144776801e-13,5.36084983246748e-16,0.0,3.03288927604286e-07,-136.490241607359,-1455255.67679534
1.31e-07,0.05,0.05,0.0,-4.64685552806038e-16,8.81304670051052e-06,6.83063438482852e-23,8.81304670004584e-06,-3.84102606291285e-18,0.0,0.0,0.0,-4.63871385385313e-16,-8.81304708665846e-06,-4.19073869826693e-23,-8.81304708712233e-06,-3.86770821756006e-18,3.0,3.0,0.0,0.0,3.86147634767523e-13,0.0,3.86147634767523e-13,5.36088523322993e-16,0.0,3.03230148167098e-07,-136.489096835967,-1455244.02597808
1.41e-07,0.05,0.05,0.0,-8.44892691979713e-16,8.81304907849535e-06,6.83070305353657e-23,8.81304907765046e-06,-3.84105498137806e-18,0.0,0.0,0.0,-8.3537296402702e-16,-8.81304959835694e-06,-4.1908261559573e-23,-8.81304959919231e-06,-3.86773703395579e-18,3.0,3.0,0.0,0.0,5.19861609909453e-13,0.0,5.19861609909453e-13,5.36093376380577e-16,0.0,3.03149893975508e-07,-136.487530067801,-1455228.11861549
1.51e-07,0.05,0.05,0.0,-8.75324460905461e-16,8.81305215440099e-06,6.83079044181465e-23,8.81305215352567e-06,-3.84109176869856e-18,0.0,0.0,0.0,-8.64859896686741e-16,-8.81305281586831e-06,-4.19093742045372e-23,-8.81305281673317e-06,-3.86777369453168e-18,3.0,3.0,0.0,0.0,6.61467387526873e-13,0.0,6.61467387526873e-13,5.36099635361193e-16,0.0,3.03047932616281e-07,-136.485522676994,-1455207.90859049
1.61e-07,0.05,0.05,0.0,-9.15540310909397e-16,8.81305594536313e-06,6.83089685972351e-23,8.81305594444759e-06,-3.84113658195945e-18,0.0,0.0,0.0,-9.08493239567792e-16,-8.81305675071462e-06,-4.19107296635126e-23,-8.81305675162311e-06,-3.86781837213989e-18,3.0,3.0,0.0,0.0,8.05351581333267e-13,0.0,8.05351581333267e-13,5.36107328017259e-16,0.0,3.02924049146498e-07,-136.483063707077,-1455183.3533037
1.71e-07,0.05,0.05,0.0,-9.65336197563858e-16,8.81306046278807e-06,6.8310226398923e-23,8.81306046182273e-06,-3.84118959798558e-18,0.0,0.0,0.0,-9.77834170044461e-16,-8.81306141385041e-06,-4.19123342134986e-23,-8.81306141482825e-06,-3.86787130157693e-18,3.0,3.0,0.0,0.0,9.51062365782396e-13,0.0,9.51062365782396e-13,5.36116473097283e-16,0.0,3.02778033113639e-07,-136.480141778513,-1455154.41104444
1.81e-07,0.05,0.05,0.0,-1.03122043450982e-15,8.81306571840367e-06,6.83116824028175e-23,8.81306571737245e-06,-3.84125108887143e-18,0.0,0.0,0.0,-1.04140657357355e-15,-8.81306681686342e-06,-4.19141952941679e-23,-8.81306681790482e-06,-3.86793275985953e-18,3.0,3.0,0.0,0.0,1.09846005476855e-12,0.0,1.09846005476855e-12,5.36127088311703e-16,0.0,3.02609678600718e-07,-136.476745628224,-1455121.04100006
1.91e-07,0.05,0.05,0.0,-1.07653437977044e-15,8.81307172105649e-06,6.831334027728e-23,8.81307171997996e-06,-3.84132125262167e-18,0.0,0.0,0.0,-1.07536841161237e-15,-8.81307296825757e-06,-4.19163181085374e-23,-8.81307296933293e-06,-3.86800293020021e-18,3.0,3.0,0.0,0.0,1.24720077433017e-12,0.0,1.24720077433017e-12,5.36139187667494e-16,0.0,3.02418784340336e-07,-136.472864056687,-1455083.20327931
