time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
1.01e-06,0.05,0.05,0.0,-9.09325569565379e-14,2.79244276706222e-08,1.93832571560626e-23,2.79243367380652e-08,7.7256000871306e-18,0.0,0.0,0.0,-9.90917650656602e-14,2.83614514421248e-08,2.7377672334477e-23,2.83613523503598e-08,7.38473648337473e-18,-0.5,-0.5,0.0,0.0,-5.62856890884251e-08,0.0,-5.62856890884251e-08,-1.16122058961119e-16,0.0,1.87517647761134e-07,-0.437356269116116,137205.968270094
1.015e-06,0.05,0.05,0.0,-3.29505055960553e-17,6.01837773627924e-11,9.88580658768348e-24,6.01837444122967e-11,7.61803902128172e-18,0.0,0.0,0.0,-3.30612637797349e-17,5.98005154476666e-11,2.18718851444873e-23,5.98004823864246e-11,7.27258158533082e-18,-0.5,-0.5,0.0,0.0,-1.19984226798742e-10,0.0,-1.19984226798742e-10,-1.21054840241154e-16,0.0,1.86009295918608e-07,5.97042637910877,150309.980177199
1.02e-06,0.05,0.05,0.0,-2.40036137244884e-18,4.80906195158125e-11,1.00732142495201e-23,4.80906171154612e-11,7.60658149926568e-18,0.0,0.0,0.0,-1.96893497466549e-18,4.7743108554816e-11,2.22512253377766e-23,4.77431065859033e-11,7.26024907159637e-18,-0.5,-0.5,0.0,0.0,-9.58337237013576e-11,0.0,-9.58337237013576e-11,-1.21548305278711e-16,0.0,1.84503531795621e-07,6.03595015956549,152031.783071732
1.025e-06,0.05,0.05,0.0,-1.11285541230224e-18,4.48762945339228e-11,1.03046829137445e-23,4.48762934210777e-11,7.59521728708073e-18,0.0,0.0,0.0,-9.21438386650298e-19,4.45807540883058e-11,2.26410311697175e-23,4.45807531668901e-11,7.24827489498827e-18,-0.5,-0.5,0.0,0.0,-8.9457046587955e-11,0.0,-8.9457046587955e-11,-1.21999354634942e-16,0.0,1.8300027041362e-07,6.0915054966866,153647.150104577
1.03e-06,0.05,0.05,0.0,-8.20263320638382e-19,4.21719712274029e-11,1.05292286151975e-23,4.21719704071501e-11,7.58414322369978e-18,0.0,0.0,0.0,-8.0963702918393e-19,4.19135308400243e-11,2.30155367812853e-23,4.19135300304103e-11,7.23675916952486e-18,-0.5,-0.5,0.0,0.0,-8.40855004425567e-11,0.0,-8.40855004425567e-11,-1.22419782137155e-16,0.0,1.81499520131956e-07,6.14797582293578,155185.097128795
1.035e-06,0.05,0.05,0.0,-8.12187015516075e-19,3.9663794713053e-11,1.07473391127605e-23,3.96637939008767e-11,7.57345452137771e-18,0.0,0.0,0.0,-9.79381552127686e-19,3.94325578749179e-11,2.33769959176017e-23,3.94325568955597e-11,7.22572298086434e-18,-0.5,-0.5,0.0,0.0,-7.90963507982618e-11,0.0,-7.90963507982618e-11,-1.22815263891146e-16,0.0,1.80001086964464e-07,6.20515820256405,156659.380411499
1.04e-06,0.05,0.05,0.0,-1.02546532297146e-18,3.73207970876433e-11,1.09590970968268e-23,3.7320796062189e-11,7.56319832365351e-18,0.0,0.0,0.0,-6.71813251418829e-19,3.71101044550799e-11,2.37256841172348e-23,3.71101037832904e-11,7.21518218722131e-18,-0.5,-0.5,0.0,0.0,-7.44308998460457e-11,0.0,-7.44308998460457e-11,-1.23187418390376e-16,0.0,1.78504971767937e-07,6.26281143460028,158073.862529299
1.045e-06,0.05,0.05,0.0,-1.00897543027293e-18,3.51260353824274e-11,1.11645780362247e-23,3.51260343734631e-11,7.55338895973272e-18,0.0,0.0,0.0,-5.59396032541157e-19,3.49315192226774e-11,2.4061904953797e-23,3.49315186633054e-11,7.20513128508074e-18,-0.5,-0.5,0.0,0.0,-7.00575530814087e-11,0.0,-7.00575530814087e-11,-1.23537706155783e-16,0.0,1.77011175221022e-07,6.32075059305441,159432.137333859
1.05e-06,0.05,0.05,0.0,-8.65958678321098e-19,3.30670509674473e-11,1.1363851182375e-23,3.30670501014999e-11,7.54402310462153e-18,0.0,0.0,0.0,-8.59443334064102e-19,3.28858187757949e-11,2.43859888686397e-23,3.28858179163759e-11,7.19555444015625e-18,-0.5,-0.5,0.0,0.0,-6.59528680195248e-11,0.0,-6.59528680195248e-11,-1.23867470495881e-16,0.0,1.75519697833319e-07,6.37883841341691,160737.568977275
1.055e-06,0.05,0.05,0.0,-6.35444468304984e-19,3.1133696398656e-11,1.15569966495312e-23,3.11336957632231e-11,7.53508815932612e-18,0.0,0.0,0.0,-6.54761480752996e-19,3.09637781098877e-11,2.46982920666893e-23,3.09637774551509e-11,7.18643108985412e-18,-0.5,-0.5,0.0,0.0,-6.20974732975172e-11,0.0,-6.20974732975172e-11,-1.24177957862368e-16,0.0,1.74030539953952e-07,6.43697255018864,161993.309477246
