time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
6.56e-07,0.05,0.05,0.0,-1.4502218283814e-12,9.58820469841108e-08,1.83126108439137e-24,9.58805967622824e-08,5.7900236476654e-17,0.0,0.0,0.0,-1.55107851050765e-12,1.0071757963426e-07,5.35155723989572e-24,1.0071602855575e-07,5.61655236085514e-17,-0.5,-0.5,0.0,0.0,-1.96596625318031e-07,0.0,-1.96596625318031e-07,-2.13035808948839e-16,0.0,2.60125566154712e-07,-4.45555157411767,115527.344455343
6.585e-07,0.05,0.05,0.0,-3.61636548516919e-16,1.70568433333358e-10,6.81214678404537e-26,1.7056807169681e-10,5.80486034121617e-17,0.0,0.0,0.0,-3.62509441795958e-16,1.6572857872869e-10,8.95251425773836e-25,1.65728216219249e-10,5.62803363543702e-17,-0.5,-0.5,0.0,0.0,-3.36296287916082e-10,0.0,-3.36296287916082e-10,-2.1762832937971e-16,0.0,2.59673567989458e-07,4.25197308172813,126590.244052241
6.61e-07,0.05,0.05,0.0,-3.61063477637143e-17,7.05901005349977e-11,6.43181451766951e-26,7.059006442865e-11,5.80749546814142e-17,0.0,0.0,0.0,-3.57238012636854e-17,6.62528220708546e-11,8.89304297721123e-25,6.62527863470542e-11,5.62952046145993e-17,-0.5,-0.5,0.0,0.0,-1.36842850775694e-10,0.0,-1.36842850775694e-10,-2.18030835124837e-16,0.0,2.59221995290043e-07,4.47095279914249,127637.96550334
6.635e-07,0.05,0.05,0.0,-7.34112891947236e-18,5.76795963573567e-11,6.37955409458264e-26,5.76795890162279e-11,5.80914406281828e-17,0.0,0.0,0.0,-6.62479942243732e-18,5.41928805851132e-11,8.88393038322003e-25,5.41928739603147e-11,5.63029438719847e-17,-0.5,-0.5,0.0,0.0,-1.11872462976496e-10,0.0,-1.11872462976496e-10,-2.18315902464071e-16,0.0,2.58770837449198e-07,4.50592335426525,128428.225460607
6.66e-07,0.05,0.05,0.0,-3.30317743025566e-18,5.3068051296532e-11,6.37164995022832e-26,5.30680479933546e-11,5.81015825979977e-17,0.0,0.0,0.0,-2.86477719511916e-18,5.02964830399547e-11,8.88545812817851e-25,5.02964801751784e-11,5.6306400422203e-17,-0.5,-0.5,0.0,0.0,-1.03364528168542e-10,0.0,-1.03364528168542e-10,-2.18574313784492e-16,0.0,2.58320088722571e-07,4.52841202550829,129177.513674472
6.685e-07,0.05,0.05,0.0,-2.27124462305618e-18,4.99073996437784e-11,6.37745318638715e-26,4.99073973725338e-11,5.81078943121422e-17,0.0,0.0,0.0,-1.93018481577187e-18,4.77072431983086e-11,8.89168701463151e-25,4.77072412681246e-11,5.63074565700222e-17,-0.5,-0.5,0.0,0.0,-9.76146386406517e-11,0.0,-9.76146386406517e-11,-2.18818350381094e-16,0.0,2.57869719352542e-07,4.55159392585703,129906.187463775
6.71e-07,0.05,0.05,0.0,-1.86893223780137e-18,4.7368879774099e-11,6.38792593078104e-26,4.73688779051668e-11,5.81114878561419e-17,0.0,0.0,0.0,-1.67086303621526e-18,4.56134777937468e-11,8.9009922956296e-25,4.56134761228847e-11,5.63069039834222e-17,-0.5,-0.5,0.0,0.0,-9.29823540280605e-11,0.0,-9.29823540280605e-11,-2.19050806266164e-16,0.0,2.57419729436915e-07,4.5765028306199,130616.563313268
6.735e-07,0.05,0.05,0.0,-1.66855221966105e-18,4.52044024999549e-11,6.40004487787677e-26,4.52044008314028e-11,5.81131312237232e-17,0.0,0.0,0.0,-1.32972845961792e-18,4.37908089909156e-11,8.91247063375435e-25,4.3790807661188e-11,5.63052520201555e-17,-0.5,-0.5,0.0,0.0,-8.89952084931349e-11,0.0,-8.89952084931349e-11,-2.19273294287397e-16,0.0,2.56970119060016e-07,4.60303603916909,131309.509717211
6.76e-07,0.05,0.05,0.0,-1.35624022398166e-18,4.33023484745458e-11,6.4132079386311e-26,4.33023471183056e-11,5.81133642371892e-17,0.0,0.0,0.0,-1.25827653447334e-18,4.21496172019978e-11,8.92577477335061e-25,4.21496159437222e-11,5.63028374736603e-17,-0.5,-0.5,0.0,0.0,-8.54519630620447e-11,0.0,-8.54519630620447e-11,-2.19486924195052e-16,0.0,2.56520888293142e-07,4.63091174977831,131985.625399625
6.785e-07,0.05,0.05,0.0,-1.23218056417653e-18,4.15962611454729e-11,6.42732193981062e-26,4.15962599132924e-11,5.81125721257159e-17,0.0,0.0,0.0,-1.10129705809451e-18,4.06419699697736e-11,8.94024108223045e-25,4.06419688684774e-11,5.62998891022928e-17,-0.5,-0.5,0.0,0.0,-8.22382287820523e-11,0.0,-8.22382287820523e-11,-2.19692519767007e-16,0.0,2.56072037194958e-07,4.65985301338789,132645.446597635
