time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
0.0,0.05,0.05,0.0,-1.96264842955483e-22,1.69909781840363e-16,-1.34965930170754e-24,1.69909584225861e-16,5.7966308775929e-17,0.0,0.0,0.0,-2.0679078791436e-22,-1.69909779104579e-16,-1.7840055884405e-24,-1.69909987679373e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-4.43257391464066e-21,0.0,-4.43257391464066e-21,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.0907617614819907,210997.612358719
2e-09,0.05,0.05,0.0,-1.64110035602151e-19,1.70073904134201e-16,2.31551228457636e-26,1.69909794121754e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58219097318337e-19,-1.69751561368172e-16,-1.24785345121153e-24,-1.69909781713344e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-2.90640454792384e-23,0.0,-2.90640454792384e-23,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
4e-09,0.05,0.05,0.0,-1.64115525963453e-19,1.70073904134201e-16,2.31691423316599e-26,1.69909788631406e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58237262866176e-19,-1.69751561368172e-16,-1.24786236473465e-24,-1.69909799878901e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-2.74758193442052e-24,0.0,-2.74758193442052e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
6e-09,0.05,0.05,0.0,-1.64120763177448e-19,1.70073904134201e-16,2.3169111555635e-26,1.69909783394192e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58219037180343e-19,-1.69751561368172e-16,-1.24782732457373e-24,-1.6990978165318e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-5.88365004416344e-25,0.0,-5.88365004416344e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
8e-09,0.05,0.05,0.0,-1.64119133990864e-19,1.70073904134201e-16,2.31633980986271e-26,1.69909785023373e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58224523788354e-19,-1.69751561368172e-16,-1.24784081627151e-24,-1.69909787139801e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-1.37408594537918e-24,0.0,-1.37408594537918e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761435401,210997.612358719
1e-08,0.05,0.05,0.0,-1.64117134141645e-19,1.70073904134201e-16,2.3160061328861e-26,1.69909787023219e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223544475442e-19,-1.69751561368172e-16,-1.24784445884139e-24,-1.69909786160492e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-3.07536572475479e-24,0.0,-3.07536572475479e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
1.2e-08,0.05,0.05,0.0,-1.6411779128793e-19,1.70073904134201e-16,2.31624369734465e-26,1.69909786366075e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58220875493434e-19,-1.69751561368172e-16,-1.24784128080939e-24,-1.69909783491507e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,2.88528384465177e-25,0.0,2.88528384465177e-25,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.0907617614762813,210997.612358719
1.4e-08,0.05,0.05,0.0,-1.64118801463678e-19,1.70073904134201e-16,2.31596444740747e-26,1.69909785355897e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58224198340706e-19,-1.69751561368172e-16,-1.2478461787909e-24,-1.69909786814359e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,2.45379355821597e-24,0.0,2.45379355821597e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
1.6e-08,0.05,0.05,0.0,-1.64119037020141e-19,1.70073904134201e-16,2.31615339317809e-26,1.69909785120342e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58222785000262e-19,-1.69751561368172e-16,-1.24784903395477e-24,-1.69909785401022e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-5.82061264147454e-24,0.0,-5.82061264147454e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.0907617614762813,210997.612358719
1.8e-08,0.05,0.05,0.0,-1.64117101838889e-19,1.70073904134201e-16,2.31599628913933e-26,1.69909787055522e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58221583702145e-19,-1.69751561368172e-16,-1.24784313047952e-24,-1.69909784199717e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,5.7403567683734e-24,0.0,5.7403567683734e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
2e-08,0.05,0.05,0.0,-1.64121020863475e-19,1.70073904134201e-16,2.31639720772962e-26,1.69909783136501e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58224184287643e-19,-1.69751561368172e-16,-1.24784256999225e-24,-1.69909786800302e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,-6.4005943844435e-24,0.0,-6.4005943844435e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
2.2e-08,0.05,0.05,0.0,-1.64116253944768e-19,1.70073904134201e-16,2.31614859432089e-26,1.69909787903417e-16,5.7966308775929e-17,0.0,0.0,0.0,-1.58223605137719e-19,-1.69751561368172e-16,-1.2478445046176e-24,-1.69909786221154e-16,5.61068229292567e-17,-0.5,-0.5,0.0,0.0,6.62966210759248e-24,0.0,6.62966210759248e-24,-2.55895840893113e-16,0.0,3.02546772163013e-07,-0.090761761460636,210997.612358719
