time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
5.2e-07,0.05,0.05,0.0,-8.24915048669477e-13,7.34232696933965e-08,4.6629002630158e-24,7.34224447783479e-08,5.8070547996302e-17,0.0,0.0,0.0,-9.01828038157829e-13,7.71137377069965e-08,7.29785600252897e-24,7.71128358789584e-08,5.63417355193588e-17,-0.5,-0.5,0.0,0.0,-1.50535280657304e-07,0.0,-1.50535280657304e-07,-2.13994962974957e-16,0.0,2.9637070112906e-07,-7.1767684815787,105607.46751023
5.225e-07,0.05,0.05,0.0,-3.10423458015143e-16,1.56728420272087e-10,5.45283886637006e-26,1.56728109848629e-10,5.82069598054841e-17,0.0,0.0,0.0,-3.11681497151296e-16,1.52104865891956e-10,7.32036104256863e-25,1.52104554210459e-10,5.64491403268763e-17,-0.5,-0.5,0.0,0.0,-3.08832664059127e-10,0.0,-3.08832664059127e-10,-2.17980599308531e-16,0.0,2.96310670506943e-07,1.22879801831132,115085.389199843
5.25e-07,0.05,0.05,0.0,-3.17509327191623e-17,7.0126765418198e-11,5.09008793214872e-26,7.01267336672654e-11,5.82357266523396e-17,0.0,0.0,0.0,-3.10726349131061e-17,6.58953323975972e-11,7.2541212706877e-25,6.5895301324963e-11,5.64667503299062e-17,-0.5,-0.5,0.0,0.0,-1.36022034992207e-10,0.0,-1.36022034992207e-10,-2.18373516080023e-16,0.0,2.96250728779369e-07,1.4162660092814,115975.704032199
5.275e-07,0.05,0.05,0.0,-6.90617748983441e-18,5.83232657419388e-11,5.02379943963115e-26,5.83232588357614e-11,5.82543599802683e-17,0.0,0.0,0.0,-6.09153068661797e-18,5.48949559060184e-11,7.23095090314827e-25,5.48949498144884e-11,5.64768245935699e-17,-0.5,-0.5,0.0,0.0,-1.13218208650224e-10,0.0,-1.13218208650224e-10,-2.18661561312849e-16,0.0,2.96190874141826e-07,1.42422734789593,116642.231301007
5.3e-07,0.05,0.05,0.0,-3.44114665925771e-18,5.38031786073081e-11,5.00155778666934e-26,5.38031751661615e-11,5.82665237820244e-17,0.0,0.0,0.0,-2.82489634016497e-18,5.10606504390927e-11,7.21750664618477e-25,5.1060647614197e-11,5.6482404777234e-17,-0.5,-0.5,0.0,0.0,-1.04863822780351e-10,0.0,-1.04863822780351e-10,-2.189237208698e-16,0.0,2.9613110563812e-07,1.41971951100481,117270.73445598
5.325e-07,0.05,0.05,0.0,-2.27733445706988e-18,5.06306221387725e-11,4.99140505699119e-26,5.06306198614381e-11,5.82747652137721e-17,0.0,0.0,0.0,-2.05284924952125e-18,4.84420886408485e-11,7.20752479930453e-25,4.8442086588e-11,5.64854482966131e-17,-0.5,-0.5,0.0,0.0,-9.90727064494421e-11,0.0,-9.90727064494421e-11,-2.19171402635923e-16,0.0,2.9607141644052e-07,1.41572782555518,117879.048169148
5.35e-07,0.05,0.05,0.0,-1.87200191303664e-18,4.8066257377026e-11,4.98580764304055e-26,4.80662555050242e-11,5.82802097394991e-17,0.0,0.0,0.0,-1.64099229688967e-18,4.6313957494517e-11,7.19995750041562e-25,4.63139558535255e-11,5.64867824091715e-17,-0.5,-0.5,0.0,0.0,-9.43802113585658e-11,0.0,-9.43802113585658e-11,-2.1940735316432e-16,0.0,2.96011806847858e-07,1.41333524062491,118469.239379622
5.375e-07,0.05,0.05,0.0,-1.67394212854965e-18,4.58774159597096e-11,4.98255866779677e-26,4.58774142857675e-11,5.82836375826286e-17,0.0,0.0,0.0,-1.42068901753967e-18,4.4464474257047e-11,7.19427840571553e-25,4.44644728363587e-11,5.64869439109367e-17,-0.5,-0.5,0.0,0.0,-9.03418871226135e-11,0.0,-9.03418871226135e-11,-2.19633207882126e-16,0.0,2.95952277144795e-07,1.41249281178996,119042.131800162
5.4e-07,0.05,0.05,0.0,-1.39230437007395e-18,4.39547452777966e-11,4.98039311580707e-26,4.39547438854923e-11,5.82855995414839e-17,0.0,0.0,0.0,-1.20468962088933e-18,4.28039671562581e-11,7.18996688214491e-25,4.28039659515692e-11,5.64862899797208e-17,-0.5,-0.5,0.0,0.0,-8.67587098370693e-11,0.0,-8.67587098370693e-11,-2.19850104656719e-16,0.0,2.95892827602311e-07,1.41295795122291,119598.315361032
5.425e-07,0.05,0.05,0.0,-1.33425362114092e-18,4.22317069155474e-11,4.97836534915061e-26,4.22317055812938e-11,5.82864904089517e-17,0.0,0.0,0.0,-1.06657201889564e-18,4.12827162739633e-11,7.18679877184897e-25,4.1282715207392e-11,5.64850640709392e-17,-0.5,-0.5,0.0,0.0,-8.35144207889487e-11,0.0,-8.35144207889487e-11,-2.20058890708691e-16,0.0,2.95833458478142e-07,1.41447889632769,120138.323860594
5.45e-07,0.05,0.05,0.0,-1.23711617471915e-18,4.06631732666685e-11,4.97678613576602e-26,4.06631720295524e-11,5.82865965680562e-17,0.0,0.0,0.0,-1.09868623638182e-18,3.98693264855521e-11,7.18445609310189e-25,3.98693253868666e-11,5.64834357045583e-17,-0.5,-0.5,0.0,0.0,-8.05324974164137e-11,0.0,-8.05324974164137e-11,-2.20260221952232e-16,0.0,2.95774170017213e-07,1.41683411074687,120662.666780208
5.475e-07,0.05,0.05,0.0,-1.0379884773886e-18,3.92171496138401e-11,4.97567584466401e-26,3.92171485758517e-11,5.82861277151671e-17,0.0,0.0,0.0,-9.12805483424492e-19,3.85427119323904e-11,7.18287885123404e-25,3.85427110195856e-11,5.64815250908321e-17,-0.5,-0.5,0.0,0.0,-7.77598595954739e-11,0.0,-7.77598595954739e-11,-2.20454621601221e-16,0.0,2.9571496245204e-07,1.41983905407364,121171.835473849
5.5e-07,0.05,0.05,0.0,-9.24315601839504e-19,3.78704175197135e-11,4.97507968461325e-26,3.7870416595398e-11,5.82852385329358e-17,0.0,0.0,0.0,-8.44855821920119e-19,3.72881616408162e-11,7.18176266648438e-25,3.72881607959611e-11,5.64794187720709e-17,-0.5,-0.5,0.0,0.0,-7.5158577391356e-11,0.0,-7.5158577391356e-11,-2.20642518044699e-16,0.0,2.95655836003129e-07,1.42334398739248,121666.304812268
