time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
6.76e-07,0.05,0.05,0.0,-3.44186964877386e-13,4.80655680822755e-08,3.68165391353001e-24,4.80652238953106e-08,5.80950593691641e-17,0.0,0.0,0.0,-3.75323415180455e-13,5.04963427437104e-08,1.91134986489685e-24,5.04959674202953e-08,5.63601003793237e-17,-0.5,-0.5,0.0,0.0,-9.85611913156058e-08,0.0,-9.85611913156058e-08,-2.15089224607193e-16,0.0,2.97018800276809e-07,-8.86044649045165,107980.046958041
6.785e-07,0.05,0.05,0.0,-2.221825222454e-16,1.31164170636113e-10,5.39794715060149e-26,1.31163948453591e-10,5.82082874903927e-17,0.0,0.0,0.0,-2.24566591560918e-16,1.26922731791294e-10,7.31477685855161e-25,1.26922507224703e-10,5.64502403608781e-17,-0.5,-0.5,0.0,0.0,-2.58086455678264e-10,0.0,-2.58086455678264e-10,-2.1803024605343e-16,0.0,2.96979644423321e-07,1.45038596588393,114957.373472715
6.81e-07,0.05,0.05,0.0,-2.39452059233282e-17,6.76890654456288e-11,5.08395491074751e-26,6.7689041500423e-11,5.82370832464482e-17,0.0,0.0,0.0,-2.3366229878239e-17,6.35370506262013e-11,7.25295379897035e-25,6.35370272599721e-11,5.64680355841357e-17,-0.5,-0.5,0.0,0.0,-1.31226068760406e-10,0.0,-1.31226068760406e-10,-2.18398068860941e-16,0.0,2.9694052079189e-07,1.69145683214828,115776.548432363
6.835e-07,0.05,0.05,0.0,-5.82675555545207e-18,5.79034716075913e-11,5.02174343310791e-26,5.79034657808358e-11,5.82556529715074e-17,0.0,0.0,0.0,-5.14464054207194e-18,5.45201524760612e-11,7.22917068218902e-25,5.45201473314214e-11,5.64781463503783e-17,-0.5,-0.5,0.0,0.0,-1.1242361311231e-10,0.0,-1.1242361311231e-10,-2.1868338682039e-16,0.0,2.96901429480273e-07,1.70830952237412,116428.926496849
6.86e-07,0.05,0.05,0.0,-3.04311446058181e-18,5.36387217309992e-11,5.00034310802941e-26,5.36387186878848e-11,5.8267815713089e-17,0.0,0.0,0.0,-2.65732870851566e-18,5.09302384387034e-11,7.21472693773751e-25,5.09302357813754e-11,5.64838001403326e-17,-0.5,-0.5,0.0,0.0,-1.04568954469265e-10,0.0,-1.04568954469265e-10,-2.18944809206563e-16,0.0,2.96862370636015e-07,1.70879201812759,117048.108356435
6.885e-07,0.05,0.05,0.0,-2.20740708972098e-18,5.05272820545627e-11,4.98945176342612e-26,5.05272798471557e-11,5.82761004336667e-17,0.0,0.0,0.0,-1.87676266307919e-18,4.83658600272059e-11,7.20349570423608e-25,4.8365858150444e-11,5.6486945361409e-17,-0.5,-0.5,0.0,0.0,-9.88931379975965e-11,0.0,-9.88931379975965e-11,-2.19192042051557e-16,0.0,2.96823342426858e-07,1.70927139675757,117647.670228442
6.91e-07,0.05,0.05,0.0,-1.96313006158065e-18,4.79857778593652e-11,4.98320444318509e-26,4.79857758962352e-11,5.8281619458002e-17,0.0,0.0,0.0,-1.54299419049142e-18,4.62555638834093e-11,7.19478319472654e-25,4.62555623404158e-11,5.64884001119989e-17,-0.5,-0.5,0.0,0.0,-9.42413382366661e-11,0.0,-9.42413382366661e-11,-2.19427645397148e-16,0.0,2.9678434524985e-07,1.71116948601177,118229.258232297
6.935e-07,0.05,0.05,0.0,-1.59678008247186e-18,4.5810230695811e-11,4.97898557818779e-26,4.5810229099031e-11,5.82851436843732e-17,0.0,0.0,0.0,-1.2849355215316e-18,4.44156125266579e-11,7.1878504196021e-25,4.44156112417231e-11,5.64886948925658e-17,-0.5,-0.5,0.0,0.0,-9.02258403412277e-11,0.0,-9.02258403412277e-11,-2.19653209998002e-16,0.0,2.96745379487555e-07,1.71450113934544,118793.621128079
6.96e-07,0.05,0.05,0.0,-1.37495228366942e-18,4.38972019131331e-11,4.97547513509649e-26,4.38972005381809e-11,5.82872175314222e-17,0.0,0.0,0.0,-1.28839125948748e-18,4.27619135336579e-11,7.18236191325957e-25,4.27619122452673e-11,5.64881828077985e-17,-0.5,-0.5,0.0,0.0,-8.66591127834527e-11,0.0,-8.66591127834527e-11,-2.1986985777996e-16,0.0,2.96706445508537e-07,1.71903926345935,119341.334549619
6.985e-07,0.05,0.05,0.0,-1.13481927760317e-18,4.21817697617792e-11,4.97286995841664e-26,4.21817686269599e-11,5.82882313866315e-17,0.0,0.0,0.0,-1.07493255476853e-18,4.12461312374141e-11,7.17792578151276e-25,4.12461301624823e-11,5.64871046511992e-17,-0.5,-0.5,0.0,0.0,-8.34278987896911e-11,0.0,-8.34278987896911e-11,-2.20078427526934e-16,0.0,2.96667543667809e-07,1.72453892086193,119872.928673479
