time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
5.158e-06,0.05,0.05,0.0,-4.44788674527007e-13,1.10011666676465e-07,1.69804470812089e-23,1.10011221887791e-07,4.18782141710687e-17,0.0,0.0,0.0,-4.21021233288963e-13,1.11569484229494e-07,4.30932898433109e-23,1.11569063208261e-07,3.96232733054414e-17,0.0,0.0,0.0,0.0,-2.21580285096055e-07,0.0,-2.21580285096055e-07,-1.79250581794978e-16,0.0,3.17321127035954e-07,30.6815689482743,92644.0066735895
5.1605e-06,0.05,0.05,0.0,-4.40534276145314e-16,2.17052606896891e-10,1.09544136118272e-23,2.17052166362625e-10,4.17667903092969e-17,0.0,0.0,0.0,-4.44984728048036e-16,1.3945174827528e-10,3.01610902322836e-23,1.39451303290582e-10,3.95012975403398e-17,0.0,0.0,0.0,0.0,-3.5650346965306e-10,0.0,-3.5650346965306e-10,-1.84508836476428e-16,0.0,3.17361296818906e-07,44.132072331986,106501.067752777
5.163e-06,0.05,0.05,0.0,-3.91928162633793e-17,1.01357141121501e-10,1.09255470252932e-23,1.01357101928696e-10,4.1758933335049e-17,0.0,0.0,0.0,-4.15838798723678e-17,2.01282383491941e-11,3.00507037805523e-23,2.01281967653443e-11,3.94938163580248e-17,0.0,0.0,0.0,0.0,-1.21485298693947e-10,0.0,-1.21485298693947e-10,-1.84880577327114e-16,0.0,3.17401277340637e-07,44.2611913465314,107465.388435599
5.1655e-06,0.05,0.05,0.0,-4.79846049388802e-18,9.13221542428797e-11,1.09007685376498e-23,9.13221494444301e-11,4.17542846346389e-17,0.0,0.0,0.0,-6.94004838069709e-18,6.99755866609307e-12,2.99471150601713e-23,6.99755172607463e-12,3.94897163143363e-17,0.0,0.0,0.0,0.0,-9.83197011705583e-11,0.0,-9.83197011705583e-11,-1.85130945567365e-16,0.0,3.17441076814817e-07,44.0247061568598,108101.923611712
5.168e-06,0.05,0.05,0.0,-1.01408399949105e-18,9.01069677465995e-11,1.0876235939873e-23,9.01069667325264e-11,4.1750177035182e-17,0.0,0.0,0.0,-3.02986046344935e-18,2.74677934182933e-12,2.98436873033493e-23,2.74677631199871e-12,3.9486262799739e-17,0.0,0.0,0.0,0.0,-9.28537430379518e-11,0.0,-9.28537430379518e-11,-1.8536307992496e-16,0.0,3.17480699763803e-07,43.6818726418901,108690.473689189
5.1705e-06,0.05,0.05,0.0,-1.55122720442519e-19,8.98734660461395e-11,1.08520147854321e-23,8.98734658910276e-11,4.17463543142605e-17,0.0,0.0,0.0,-2.20601919776797e-18,-5.04474282276538e-13,2.97391872385691e-23,-5.04476488265997e-13,3.94831597010125e-17,0.0,0.0,0.0,0.0,-8.93689894021789e-11,0.0,-8.93689894021789e-11,-1.85586502398465e-16,0.0,3.17520163899484e-07,43.2617133249398,109256.772385517
5.173e-06,0.05,0.05,0.0,6.61543697776981e-20,8.98503291673714e-11,1.08279111511052e-23,8.98503292335366e-11,4.17427832273185e-17,0.0,0.0,0.0,-2.0448797475697e-18,-3.52909087607546e-12,2.96336359678061e-23,-3.52909292092558e-12,3.94803524470563e-17,0.0,0.0,0.0,0.0,-8.632123631269e-11,0.0,-8.632123631269e-11,-1.85802305489247e-16,0.0,3.175594700347e-07,42.7666938433413,109803.667161274
5.1755e-06,0.05,0.05,0.0,-9.90797691267703e-20,8.99002405571615e-11,1.08039220663343e-23,8.99002404580925e-11,4.17394478214262e-17,0.0,0.0,0.0,-2.22866543178415e-18,-6.46400434253404e-12,2.95269082965823e-23,-6.46400657116994e-12,3.947780829278e-17,0.0,0.0,0.0,0.0,-8.34362338687348e-11,0.0,-8.34362338687348e-11,-1.86010896073919e-16,0.0,3.17598618964974e-07,42.1979151521681,110332.127758905
5.178e-06,0.05,0.05,0.0,-6.70130895863745e-21,8.99966214603192e-11,1.07801005576726e-23,8.99966214536286e-11,4.17363355404151e-17,0.0,0.0,0.0,-2.03327044095089e-18,-9.3348211104018e-12,2.94190053256427e-23,-9.33482314364282e-12,3.94755018382485e-17,0.0,0.0,0.0,0.0,-8.06617983099453e-11,0.0,-8.06617983099453e-11,-1.86212550569694e-16,0.0,3.17637611469065e-07,41.556389719133,110842.780432727
5.1805e-06,0.05,0.05,0.0,5.37149799970983e-20,9.0132295835301e-11,1.07563354957313e-23,9.01322958890268e-11,4.17334348389175e-17,0.0,0.0,0.0,-2.03914794737003e-18,-1.21473768086464e-11,2.93098630208531e-23,-1.2147378847765e-11,3.94734119389054e-17,0.0,0.0,0.0,0.0,-7.7984917015525e-11,0.0,-7.7984917015525e-11,-1.86407512862232e-16,0.0,3.17676448309469e-07,40.8432558294949,111336.178061359
