time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
7.99e-06,0.05,0.05,0.0,-4.43328278311968e-12,1.04408718836964e-07,8.74109772278032e-23,1.04404285554181e-07,3.36630428994884e-17,0.0,0.0,0.0,-1.16496484062136e-12,8.81398574962072e-08,1.122932735276e-22,8.81386925313667e-08,3.12975702562012e-17,0.0,0.0,0.0,0.0,-1.92542978081251e-07,0.0,-1.92542978081251e-07,-1.6218815974867e-16,0.0,-6.80008173540221e-07,80.8917670816736,396809.961649393
7.9925e-06,0.05,0.05,0.0,6.29889785212277e-16,1.78271221555612e-08,6.79070565023446e-23,1.7827122785451e-08,3.3547337851758e-17,0.0,0.0,0.0,-1.22811555855785e-15,-1.76426011551492e-08,8.45265235642231e-23,-1.76426023832647e-08,3.12064430698942e-17,0.0,0.0,0.0,0.0,-1.8452040217465e-10,0.0,-1.8452040217465e-10,-1.66590272283207e-16,0.0,-6.81209850598522e-07,-57.0473902388508,408488.245680357
7.995e-06,0.05,0.05,0.0,3.05905292169804e-16,1.82923064467332e-08,6.70337481178721e-23,1.82923067526385e-08,3.35312529659468e-17,0.0,0.0,0.0,-3.49223510325643e-16,-1.82495708652046e-08,7.71261539645729e-23,-1.82495712144281e-08,3.11916506182354e-17,0.0,0.0,0.0,0.0,-4.27355347650387e-11,0.0,-4.27355347650387e-11,-1.66736454627315e-16,0.0,-6.82410366692295e-07,-65.529296670224,409154.382786324
7.9975e-06,0.05,0.05,0.0,2.69365174845397e-16,1.86613385906535e-08,6.62422508770652e-23,1.86613388600188e-08,3.35171774904081e-17,0.0,0.0,0.0,-2.7720414336462e-16,-1.8632664795573e-08,7.02807823121748e-23,-1.86326650727771e-08,3.11784894990223e-17,0.0,0.0,0.0,0.0,-2.86737872673301e-11,0.0,-2.86737872673301e-11,-1.66811040864789e-16,0.0,-6.8360975135774e-07,-68.5027073391308,409679.68916968
8e-06,0.05,0.05,0.0,2.55370062499213e-16,1.90093259593606e-08,6.54714237349894e-23,1.90093262147307e-08,3.35035287287974e-17,0.0,0.0,0.0,-2.58525031928776e-16,-1.89848909540682e-08,6.3696076635873e-23,-1.89848912125931e-08,3.11657650238345e-17,0.0,0.0,0.0,0.0,-2.44350020494799e-11,0.0,-2.44350020494799e-11,-1.66872128369913e-16,0.0,-6.84808019782256e-07,-70.929728459912,410181.636032042
8.0025e-06,0.05,0.05,0.0,2.46804731468744e-16,1.93456814779717e-08,6.47046134394379e-23,1.93456817247765e-08,3.34901238115289e-17,0.0,0.0,0.0,-2.49023117814758e-16,-1.9324205769846e-08,5.72749334905245e-23,-1.93242060188691e-08,3.11532989322646e-17,0.0,0.0,0.0,0.0,-2.14757058946428e-11,0.0,-2.14757058946428e-11,-1.66925817634649e-16,0.0,-6.86005253371348e-07,-73.374696338823,410671.229973582
8.005e-06,0.05,0.05,0.0,2.39048090604217e-16,1.96717436379517e-08,6.39413669451706e-23,1.96717438769999e-08,3.34769262729752e-17,0.0,0.0,0.0,-2.41056861035443e-16,-1.96528103567357e-08,5.1017558611813e-23,-1.96528105977925e-08,3.11410394704782e-17,0.0,0.0,0.0,0.0,-1.89332792158845e-11,0.0,-1.89332792158845e-11,-1.66973150832689e-16,0.0,-6.87201451227489e-07,-75.9338381451947,411150.090175976
8.0075e-06,0.05,0.05,0.0,2.32217019418459e-16,1.99881138362213e-08,6.3182434290911e-23,1.99881140684384e-08,3.34639140301633e-17,0.0,0.0,0.0,-2.33660038509892e-16,-1.99714964357145e-08,4.49307854693716e-23,-1.99714966693745e-08,3.11289504606603e-17,0.0,0.0,0.0,0.0,-1.66173988756954e-11,0.0,-1.66173988756954e-11,-1.67014694329878e-16,0.0,-6.88396612464484e-07,-78.6219172687138,411618.998016514
8.01e-06,0.05,0.05,0.0,2.25596321932558e-16,2.02951959298665e-08,6.24290413999372e-23,2.02951961554629e-08,3.34510699309055e-17,0.0,0.0,0.0,-2.26831158226047e-16,-2.02807232514086e-08,3.90219597044597e-23,-2.02807234782397e-08,3.11170040834509e-17,0.0,0.0,0.0,0.0,-1.44726772073662e-11,0.0,-1.44726772073662e-11,-1.67050876022897e-16,0.0,-6.89590736207133e-07,-81.4260405862753,412078.532536113
8.0125e-06,0.05,0.05,0.0,2.18827373417183e-16,2.05933428772509e-08,6.16833700903264e-23,2.05933430960783e-08,3.34383793476643e-17,0.0,0.0,0.0,-2.202960158525e-16,-2.05808665736747e-08,3.32990562237041e-23,-2.05808667939706e-08,3.11051783259604e-17,0.0,0.0,0.0,0.0,-1.24763019027861e-11,0.0,-1.24763019027861e-11,-1.67082066777654e-16,0.0,-6.90783821590924e-07,-84.3242611621501,412529.211761203
