time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
7.688e-06,0.05,0.05,0.0,9.84846080944068e-17,8.67995305084932e-09,4.87144096217033e-23,8.67995314933398e-09,3.48909199188411e-17,0.0,0.0,0.0,-9.96425763194195e-17,-8.66589676708563e-09,4.57663147757607e-23,-8.66589686672816e-09,3.25702593000146e-17,0.0,0.0,0.0,0.0,-1.40562826079552e-11,0.0,-1.40562826079552e-11,-1.71086252734792e-16,0.0,-5.32909076873949e-07,-49.0971301595456,366961.360706827
1.0188e-05,0.05,0.05,0.0,2.62451171347425e-16,2.64745472868042e-07,5.21729640803738e-23,2.64745473130493e-07,2.85021268928819e-17,0.0,0.0,0.0,-2.63071911184168e-16,-2.64749404186422e-07,-6.32766975856965e-23,-2.64749404449493e-07,2.60949259497004e-17,0.0,0.0,0.0,0.0,3.93131819925754e-12,0.0,3.93131819925754e-12,-1.53589624964411e-16,0.0,-1.25095865110564e-06,-91.1933177523514,567082.952577912
1.2688e-05,0.05,0.05,0.0,1.37596995429534e-16,4.97640235293316e-07,5.27536878320962e-23,4.97640235430913e-07,2.66515281007214e-17,0.0,0.0,0.0,-1.37623192020155e-16,-4.97641743577428e-07,-6.09786119567797e-23,-4.97641743715052e-07,2.41610443710004e-17,0.0,0.0,0.0,0.0,1.50828416631677e-12,0.0,1.50828416631677e-12,-1.48455952926673e-16,0.0,-1.47386414288472e-06,-124.239426394008,623509.057317877
1.5188e-05,0.05,0.05,0.0,6.73736104961588e-17,6.06329197373971e-07,5.32351602987817e-23,6.06329197441344e-07,2.58027071376741e-17,0.0,0.0,0.0,-6.72649291969417e-17,-6.06329977655415e-07,-6.13989440230183e-23,-6.0632997772268e-07,2.32506841936444e-17,0.0,0.0,0.0,0.0,7.80281212583816e-13,0.0,7.80281212583816e-13,-1.46152739342479e-16,0.0,-1.57635980231231e-06,-127.275851868996,648023.743676716
1.7688e-05,0.05,0.05,0.0,8.96252584197937e-17,6.53972727486007e-07,5.36008649616432e-23,6.53972727575632e-07,2.53516713375304e-17,0.0,0.0,0.0,-1.17093106133367e-17,-6.5397313690719e-07,-6.18557350964686e-23,-6.53973136918899e-07,2.27583421239639e-17,0.0,0.0,0.0,0.0,4.09421304216365e-13,0.0,4.09421304216365e-13,-1.4498931094087e-16,0.0,-1.63121340543673e-06,-118.977493354083,660659.134447578
2.0188e-05,0.05,0.05,0.0,1.51912584112593e-17,6.74102040266287e-07,5.38539310310122e-23,6.74102040281478e-07,2.50939167369913e-17,0.0,0.0,0.0,-1.47538947088608e-17,-6.74102288830928e-07,-6.21586617138841e-23,-6.74102288845682e-07,2.24724098607423e-17,0.0,0.0,0.0,0.0,2.48564317990862e-13,0.0,2.48564317990862e-13,-1.44367900145893e-16,0.0,-1.66326441269594e-06,-109.807747920207,667817.581635412
2.2688e-05,0.05,0.05,0.0,5.34184291042032e-18,6.81238243389253e-07,5.40213087226631e-23,6.81238243394594e-07,2.49419872637144e-17,0.0,0.0,0.0,-5.1516192260103e-18,-6.81238377711691e-07,-6.23505185938258e-23,-6.81238377716842e-07,2.23009417523252e-17,0.0,0.0,0.0,0.0,1.34322255786084e-13,0.0,1.34322255786084e-13,-1.44032094506428e-16,0.0,-1.68278451109825e-06,-102.177335423159,672049.993803348
2.5188e-05,0.05,0.05,0.0,7.5021507239909e-19,6.82037335411894e-07,5.41323184050494e-23,6.82037335412644e-07,2.48527554771787e-17,0.0,0.0,0.0,-6.10499922422907e-19,-6.82037405268187e-07,-6.2466042206708e-23,-6.82037405268797e-07,2.2198097703723e-17,0.0,0.0,0.0,0.0,6.98560856080408e-14,0.0,6.98560856080408e-14,-1.43857454292408e-16,0.0,-1.69479008659057e-06,-96.4010313670645,674568.900256744
2.7688e-05,0.05,0.05,0.0,-1.35468412503885e-18,6.80057093197983e-07,5.42059245616972e-23,6.80057093196628e-07,2.48007802838646e-17,0.0,0.0,0.0,1.45984741688244e-18,-6.80057127229808e-07,-6.25346534123769e-23,-6.80057127228348e-07,2.21366015302218e-17,0.0,0.0,0.0,0.0,3.40316592031364e-14,0.0,3.40316592031364e-14,-1.437723751444e-16,0.0,-1.7022326394327e-06,-92.2678141886892,676073.285014634
3.0188e-05,0.05,0.05,0.0,-2.31648221232993e-18,6.77132785364348e-07,5.4254835682121e-23,6.77132785362031e-07,2.47708453490972e-17,0.0,0.0,0.0,2.05627530981134e-18,-6.77132800039649e-07,-6.2575293730593e-23,-6.77132800037592e-07,2.20999817830256e-17,0.0,0.0,0.0,0.0,1.46755407570497e-14,0.0,1.46755407570497e-14,-1.43735686292507e-16,0.0,-1.70688552695889e-06,-89.4239528022395,676974.887683148
