time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
7.326e-06,0.05,0.05,0.0,-9.07725561326667e-13,9.31584486145392e-08,4.95233034926133e-23,9.3157540888978e-08,3.66741219421117e-17,0.0,0.0,0.0,-6.10822967470559e-13,9.2102119458172e-08,9.30279501200351e-23,9.21015086352046e-08,3.43445188184996e-17,0.0,0.0,0.0,0.0,-1.85259049524225e-07,0.0,-1.85259049524225e-07,-1.68568799806798e-16,0.0,-3.52713066659968e-07,67.2847869725563,296977.144182964
7.3285e-06,0.05,0.05,0.0,-2.03137086543421e-16,2.65532722155998e-09,3.50937621565065e-23,2.65532701842292e-09,3.65420932233498e-17,0.0,0.0,0.0,-6.38615864345567e-16,-2.35332690995571e-09,7.1214639912055e-23,-2.3533275485715e-09,3.42229889223092e-17,0.0,0.0,0.0,0.0,-3.01999469853539e-10,0.0,-3.01999469853539e-10,-1.73686395104655e-16,0.0,-3.5397784307828e-07,46.1626929278715,311178.389674361
7.331e-06,0.05,0.05,0.0,4.18501347342505e-17,2.67617153463645e-09,3.50219162801487e-23,2.67617157648662e-09,3.65236469458075e-17,0.0,0.0,0.0,-1.18073944552139e-16,-2.59417209487796e-09,6.93637624500516e-23,-2.59417221295184e-09,3.42063297731107e-17,0.0,0.0,0.0,0.0,-8.19993635336088e-11,0.0,-8.19993635336088e-11,-1.73955692888075e-16,0.0,-3.55241527130835e-07,33.9690955184287,312320.191578343
7.3335e-06,0.05,0.05,0.0,5.81881511575735e-17,2.75315654430206e-09,3.49667444124113e-23,2.75315660249025e-09,3.6508059250668e-17,0.0,0.0,0.0,-7.21635169205172e-17,-2.69632830703647e-09,6.76592393042313e-23,-2.69632837919992e-09,3.41919424540921e-17,0.0,0.0,0.0,0.0,-5.68282233195475e-11,0.0,-5.68282233195475e-11,-1.74103127645956e-16,0.0,-3.56504145217585e-07,23.6036224391742,313112.794646478
7.336e-06,0.05,0.05,0.0,5.63555947120298e-17,2.82969571164019e-09,3.49156559084533e-23,2.82969576799582e-09,3.64930744059287e-17,0.0,0.0,0.0,-6.22827946877668e-17,-2.78132888164503e-09,6.60138165712294e-23,-2.78132894392776e-09,3.41780693339264e-17,0.0,0.0,0.0,0.0,-4.83668239871305e-11,0.0,-4.83668239871305e-11,-1.74224044705923e-16,0.0,-3.57765711084985e-07,13.7387665449738,313821.516787357
7.3385e-06,0.05,0.05,0.0,5.37247470319387e-17,2.9030360883614e-09,3.48653014679484e-23,2.90303614208618e-09,3.64784306917482e-17,0.0,0.0,0.0,-5.81932882925035e-17,-2.86048391095051e-09,6.4386289085753e-23,-2.86048396914374e-09,3.41644853275411e-17,0.0,0.0,0.0,0.0,-4.25521729310385e-11,0.0,-4.25521729310385e-11,-1.74330425138251e-16,0.0,-3.59026298255617e-07,4.61196541678944,314483.614547614
7.341e-06,0.05,0.05,0.0,5.17788914117068e-17,2.97339236503099e-09,3.48152577247145e-23,2.97339241680991e-09,3.64640736545447e-17,0.0,0.0,0.0,-5.50703382269261e-17,-2.93550523639071e-09,6.27673950485797e-23,-2.93550529146098e-09,3.41511368460367e-17,0.0,0.0,0.0,0.0,-3.78871253433774e-11,0.0,-3.78871253433774e-11,-1.74425142951609e-16,0.0,-3.60285906020184e-07,-3.57691761440925,315109.552637133
7.3435e-06,0.05,0.05,0.0,5.00557927006013e-17,3.04120469849623e-09,3.4765305230247e-23,3.04120474855206e-09,3.6449968792444e-17,0.0,0.0,0.0,-5.2579908022223e-17,-3.00723531566915e-09,6.11499001445733e-23,-3.007235368249e-09,3.41379902606276e-17,0.0,0.0,0.0,0.0,-3.39693801444505e-11,0.0,-3.39693801444505e-11,-1.74510066401971e-16,0.0,-3.61544533693258e-07,-10.756302178002,315706.561026207
7.346e-06,0.05,0.05,0.0,4.83479517759393e-17,3.10687130936674e-09,3.4714990573753e-23,3.10687135771473e-09,3.64360890409236e-17,0.0,0.0,0.0,-5.05187836732306e-17,-3.07625530078353e-09,5.95285492544846e-23,-3.07625535130225e-09,3.41250206245943e-17,0.0,0.0,0.0,0.0,-3.06160064053378e-11,0.0,-3.06160064053378e-11,-1.74586606417984e-16,0.0,-3.62802180609413e-07,-16.9476389544287,316280.142989765
7.3485e-06,0.05,0.05,0.0,4.68362544861532e-17,3.1707178735239e-09,3.46641735572666e-23,3.17071792036019e-09,3.64224117562394e-17,0.0,0.0,0.0,-4.87843918050848e-17,-3.14301032856497e-09,5.79001047085227e-23,-3.14301037734931e-09,3.41122081044268e-17,0.0,0.0,0.0,0.0,-2.7707542812037e-11,0.0,-2.7707542812037e-11,-1.74655875275014e-16,0.0,-3.6405884612024e-07,-22.2283307175055,316834.564815481
