time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
5.002e-06,0.05,0.05,0.0,-2.24534304578804e-13,-8.62725649359137e-08,-2.7443951126139e-19,-8.62727894704927e-08,4.15280476434819e-17,0.0,0.0,0.0,-2.08183242751998e-13,-8.74850162949604e-08,-7.78863133364056e-19,-8.7485224478982e-08,3.92081919267698e-17,0.0,0.0,0.0,0.0,1.73758013949476e-07,0.0,1.73758013949476e-07,-1.94693629458377e-16,0.0,2.3317030528865e-07,-9.03782678320911,162610.505433227
5.004e-06,0.05,0.05,0.0,7.38605986253891e-18,2.73900226596192e-11,-2.2807461365459e-21,2.73900300433983e-11,4.1373025591544e-17,0.0,0.0,0.0,3.45678395939691e-18,-3.65572401546829e-11,-2.9634423442419e-20,-3.65572367275334e-11,3.91081560326464e-17,0.0,0.0,0.0,0.0,9.16720668424347e-12,0.0,9.16720668424347e-12,-1.94407190097362e-16,0.0,2.33171467331416e-07,-11.0069673767438,162580.275010461
5.006e-06,0.05,0.05,0.0,2.89142155039801e-19,2.83442224387962e-11,-2.1285950364161e-21,2.83442227258097e-11,4.13756639277925e-17,0.0,0.0,0.0,9.24301775268079e-19,-3.498838527782e-11,-2.83414555569316e-20,-3.49883843818597e-11,3.91146458771751e-17,0.0,0.0,0.0,0.0,6.64416165562095e-12,0.0,6.64416165562095e-12,-1.94392908235812e-16,0.0,2.33172629474139e-07,-12.6179054784304,162555.934147017
5.008e-06,0.05,0.05,0.0,8.56397320440662e-20,2.84949581204609e-11,-2.08654004434191e-21,2.84949582040141e-11,4.13782480215711e-17,0.0,0.0,0.0,7.11986879996904e-19,-3.41685684980431e-11,-2.77824804119232e-20,-3.41685678138387e-11,3.91201945449953e-17,0.0,0.0,0.0,0.0,5.67360960948717e-12,0.0,5.67360960948717e-12,-1.94381229935099e-16,0.0,2.33173791690534e-07,-14.0611537076435,162533.933056283
5.01e-06,0.05,0.05,0.0,4.6221633954037e-20,2.85493059732543e-11,-2.05761445116441e-21,2.85493060174183e-11,4.138073911434e-17,0.0,0.0,0.0,3.0578928568648e-19,-3.36645980944464e-11,-2.73871491695506e-20,-3.36645978160443e-11,3.91251516418053e-17,0.0,0.0,0.0,0.0,5.11529183581656e-12,0.0,5.11529183581656e-12,-1.94370999351427e-16,0.0,2.33174953991608e-07,-15.4177288754494,162513.113404727
5.012e-06,0.05,0.05,0.0,1.6505673624775e-19,2.85682041472582e-11,-2.03169042775132e-21,2.85682043102833e-11,4.138317925784e-17,0.0,0.0,0.0,3.46840211371777e-19,-3.3294681605126e-11,-2.70316061521603e-20,-3.32946812853174e-11,3.91297686171493e-17,0.0,0.0,0.0,0.0,4.72647697968101e-12,0.0,4.72647697968101e-12,-1.94361546397467e-16,0.0,2.33176116313398e-07,-16.7339019681288,162492.82259772
5.014e-06,0.05,0.05,0.0,-1.68681372330281e-20,2.85680349628771e-11,-2.00706024137864e-21,2.85680349440019e-11,4.13855806270821e-17,0.0,0.0,0.0,3.9613615242417e-19,-3.30037081813591e-11,-2.66933835461785e-20,-3.30037078119163e-11,3.91341189714109e-17,0.0,0.0,0.0,0.0,4.43567286858232e-12,0.0,4.43567286858232e-12,-1.9435267505173e-16,0.0,2.33177278645298e-07,-18.0233341024867,162472.865045456
5.016e-06,0.05,0.05,0.0,2.69443412657013e-20,2.85575515755419e-11,-1.98314184483455e-21,2.85575516005031e-11,4.13879501655979e-17,0.0,0.0,0.0,2.85691087290243e-19,-3.27616979573741e-11,-2.63647577387012e-20,-3.27616976980478e-11,3.91382496635817e-17,0.0,0.0,0.0,0.0,4.20414614476794e-12,0.0,4.20414614476794e-12,-1.94344266759441e-16,0.0,2.33178440976838e-07,-19.2935756013768,162453.133096905
5.018e-06,0.05,0.05,0.0,-9.32557304350884e-20,2.85414948775139e-11,-1.95973001900485e-21,2.85414947822984e-11,4.1390291962161e-17,0.0,0.0,0.0,1.57528846782068e-19,-3.25519478928467e-11,-2.60430073864774e-20,-3.25519477613609e-11,3.91421927620596e-17,0.0,0.0,0.0,0.0,4.01045298023688e-12,0.0,4.01045298023688e-12,-1.9433624585348e-16,0.0,2.33179603297656e-07,-20.5488411477084,162433.567315028
5.02e-06,0.05,0.05,0.0,1.45771728900039e-19,2.85224343391279e-11,-1.93674760817664e-21,2.85224344829629e-11,4.13926085496335e-17,0.0,0.0,0.0,1.9787114342737e-19,-3.23648747286182e-11,-2.57271173538147e-20,-3.23648745564742e-11,3.91459716464453e-17,0.0,0.0,0.0,0.0,3.84244012902605e-12,0.0,3.84244012902605e-12,-1.94328560973222e-16,0.0,2.3318076559748e-07,-21.7915211491168,162414.134706035
