time,drain_contact OuterVoltage,drain_contact InnerVoltage,drain_contact QuasiFermiPotential,drain_contact DisplacementCurrent,drain_contact eCurrent,drain_contact hCurrent,drain_contact TotalCurrent,drain_contact Charge,source_contact OuterVoltage,source_contact InnerVoltage,source_contact QuasiFermiPotential,source_contact DisplacementCurrent,source_contact eCurrent,source_contact hCurrent,source_contact TotalCurrent,source_contact Charge,gate_contact OuterVoltage,gate_contact InnerVoltage,gate_contact QuasiFermiPotential,gate_contact DisplacementCurrent,gate_contact eCurrent,gate_contact hCurrent,gate_contact TotalCurrent,gate_contact Charge,"Pos(0,0.007) Polarization/x","Pos(0,0.007) Polarization/y","Pos(0,0.007) ElectricField/x","Pos(0,0.007) ElectricField/y"
6.662e-06,0.05,0.05,0.0,-2.79050290402705e-13,8.72902276344895e-08,1.18508436947744e-26,8.72899485841991e-08,3.92435163127959e-17,0.0,0.0,0.0,-2.63729113188457e-13,8.83954964346203e-08,7.46884332470435e-27,8.83952327055071e-08,3.69470297476616e-17,0.0,0.0,0.0,0.0,-1.75685181289706e-07,0.0,-1.75685181289706e-07,-1.72530553429354e-16,0.0,-1.89179740630097e-07,73.355627866411,249410.217302092
6.6645e-06,0.05,0.05,0.0,-3.43799940491696e-16,5.82360756734449e-10,3.19034861061752e-28,5.82360412934508e-10,3.91399521896734e-17,0.0,0.0,0.0,-3.86048031466669e-16,4.21171624886841e-10,5.17108603454333e-28,4.2117123883881e-10,3.68396930138075e-17,0.0,0.0,0.0,0.0,-1.00353165177382e-09,0.0,-1.00353165177382e-09,-1.76511559807502e-16,0.0,-1.90335777901523e-07,74.5722150256539,260245.909803523
6.667e-06,0.05,0.05,0.0,-1.44822659509924e-16,3.17315826008365e-10,3.17076623709214e-28,3.17315681185706e-10,3.90925861255782e-17,0.0,0.0,0.0,-1.68971153279822e-16,1.15612337497867e-10,5.1409001151669e-28,1.15612168526713e-10,3.67943686680091e-17,0.0,0.0,0.0,0.0,-4.32927849712448e-10,0.0,-4.32927849712448e-10,-1.77873572816186e-16,0.0,-1.91490826604229e-07,73.3663326805006,264264.387856813
6.6695e-06,0.05,0.05,0.0,-6.53786724952041e-17,2.11237468006392e-10,3.16768536723793e-28,2.1123740262772e-10,3.90674785523663e-17,0.0,0.0,0.0,-7.91744994229845e-17,-1.15495740559609e-11,5.13717099531722e-28,-1.15496532304603e-11,3.67706740706583e-17,0.0,0.0,0.0,0.0,-1.99687749397097e-10,0.0,-1.99687749397097e-10,-1.78431346753875e-16,0.0,-1.92644908496081e-07,72.0877811291755,266161.423804968
6.672e-06,0.05,0.05,0.0,-3.15031476912334e-17,1.65928108924076e-10,3.16289473601708e-28,1.65928077420928e-10,3.9050938935599e-17,0.0,0.0,0.0,-3.93502373158179e-17,-6.82779427179067e-11,5.12197208671016e-28,-6.8277982068144e-11,3.67549342214432e-17,0.0,0.0,0.0,0.0,-9.76500953527763e-11,0.0,-9.76500953527763e-11,-1.78675471992257e-16,0.0,-1.9379803567234e-07,71.1161383246581,267224.702129643
6.6745e-06,0.05,0.05,0.0,-1.48669744375325e-17,1.44595006759374e-10,3.16255176492723e-28,1.445949918924e-10,3.90377657990268e-17,0.0,0.0,0.0,-1.98442552910005e-17,-9.68751836721376e-11,5.12066796864566e-28,-9.68752035163929e-11,3.67422109516053e-17,0.0,0.0,0.0,0.0,-4.7719788376598e-11,0.0,-4.7719788376598e-11,-1.78794771463199e-16,0.0,-1.94950274730692e-07,70.4055028352982,267953.351822322
6.677e-06,0.05,0.05,0.0,-6.57602525232585e-18,1.34945843275132e-10,3.16273212228401e-28,1.34945836699107e-10,3.90262264554353e-17,0.0,0.0,0.0,-1.01039014542941e-17,-1.11685004440698e-10,5.11969682708881e-28,-1.11685014544599e-10,3.67309156691247e-17,0.0,0.0,0.0,0.0,-2.3260822153293e-11,0.0,-2.3260822153293e-11,-1.78852923518582e-16,0.0,-1.96101625246877e-07,69.8789607517238,268516.781775056
6.6795e-06,0.05,0.05,0.0,-2.63405288333343e-18,1.31009789474593e-10,3.16306697800229e-28,1.31009786840541e-10,3.90154843178542e-17,0.0,0.0,0.0,-5.59282482877767e-18,-1.19750959115788e-10,5.11931019419119e-28,-1.19750964708613e-10,3.67203033764875e-17,0.0,0.0,0.0,0.0,-1.12588221306428e-11,0.0,-1.12588221306428e-11,-1.78881070573909e-16,0.0,-1.9725208686002e-07,69.4654899822724,268998.407596309
6.682e-06,0.05,0.05,0.0,-8.26963264577767e-19,1.29874938202603e-10,3.16396461509607e-28,1.2987493737564e-10,3.90051354048333e-17,0.0,0.0,0.0,-3.29730695023477e-18,-1.24523673877519e-10,5.1191292693964e-28,-1.24523677174826e-10,3.67100232384192e-17,0.0,0.0,0.0,0.0,-5.35126019111337e-12,0.0,-5.35126019111337e-12,-1.78894448724386e-16,0.0,-1.98401659242387e-07,69.1128554105938,269439.317880757
6.6845e-06,0.05,0.05,0.0,3.82909863552965e-19,1.30118225293003e-10,3.16448260659667e-28,1.30118225675913e-10,3.89949845054397e-17,0.0,0.0,0.0,-2.3152249068993e-18,-1.27691998712599e-10,5.11908864870826e-28,-1.27692001027824e-10,3.66999092665405e-17,0.0,0.0,0.0,0.0,-2.42622464870218e-12,0.0,-2.42622464870218e-12,-1.78900514286008e-16,0.0,-1.99550342084442e-07,68.7866189518929,269859.753820502
6.687e-06,0.05,0.05,0.0,7.13175535695206e-19,1.31043475435842e-10,3.16563138042329e-28,1.31043476149017e-10,3.89849371677488e-17,0.0,0.0,0.0,-1.74402112806538e-18,-1.300822908668e-10,5.11896751966166e-28,-1.30082292610821e-10,3.6689882527703e-17,0.0,0.0,0.0,0.0,-9.61183537529274e-13,0.0,-9.61183537529274e-13,-1.78902917244852e-16,0.0,-2.00698135087471e-07,68.4655029711254,270269.686005243
6.6895e-06,0.05,0.05,0.0,8.76512834642932e-19,1.32309943542911e-10,3.16602121958775e-28,1.32309944419424e-10,3.89749475860205e-17,0.0,0.0,0.0,-1.22802638114452e-18,-1.32098909878848e-10,5.11877816106613e-28,-1.32098911106875e-10,3.6679905268743e-17,0.0,0.0,0.0,0.0,-2.11033311141521e-13,0.0,-2.11033311141521e-13,-1.7890344482813e-16,0.0,-2.01845037959937e-07,68.1369266562965,270674.024856088
6.692e-06,0.05,0.05,0.0,1.02202692382756e-18,1.33750815378252e-10,3.1668370957857e-28,1.33750816400279e-10,3.89649934539016e-17,0.0,0.0,0.0,-1.04721602287811e-18,-1.33939760945612e-10,5.11862901999575e-28,-1.33939761992828e-10,3.66699593029754e-17,0.0,0.0,0.0,0.0,1.88945591501366e-13,0.0,1.88945591501366e-13,-1.78902972464151e-16,0.0,-2.02991050415677e-07,67.7936994881297,271075.187834111
