repeat,level,G_uA_um
1,1,1.713481e-03
1,2,2.548982e-02
1,3,4.614129e-01
1,4,4.764186e+00
1,5,1.498773e+01
1,6,2.381949e+01
1,7,3.005035e+01
1,8,3.451067e+01
1,9,3.781501e+01
1,10,4.033388e+01
1,11,4.229617e+01
1,12,4.385023e+01
1,13,4.509668e+01
1,14,4.610631e+01
1,15,4.693053e+01
2,1,1.843576e-03
2,2,2.572120e-02
2,3,3.737532e-01
2,4,3.128427e+00
2,5,1.026717e+01
2,6,1.809498e+01
2,7,2.441042e+01
2,8,2.924942e+01
2,9,3.298753e+01
2,10,3.592459e+01
2,11,3.826559e+01
2,12,4.015104e+01
2,13,4.168232e+01
2,14,4.293439e+01
2,15,4.396310e+01
3,1,5.376542e-03
3,2,6.194929e-02
3,3,6.985864e-01
3,4,4.350671e+00
3,5,1.161218e+01
3,6,1.889341e+01
3,7,2.475721e+01
3,8,2.931049e+01
3,9,3.286604e+01
3,10,3.567819e+01
3,11,3.792894e+01
3,12,3.974662e+01
3,13,4.122548e+01
3,14,4.243516e+01
3,15,4.342978e+01
4,1,6.391272e-03
4,2,7.123327e-02
4,3,7.725180e-01
4,4,4.577644e+00
4,5,1.183357e+01
4,6,1.900677e+01
4,7,2.476886e+01
4,8,2.923549e+01
4,9,3.270855e+01
4,10,3.543753e+01
4,11,3.759843e+01
4,12,3.931932e+01
4,13,4.069199e+01
4,14,4.178697e+01
4,15,4.265774e+01
5,1,6.936030e-03
5,2,7.724531e-02
5,3,8.278205e-01
5,4,4.754578e+00
5,5,1.204276e+01
5,6,1.917153e+01
5,7,2.488854e+01
5,8,2.932307e+01
5,9,3.277442e+01
5,10,3.548774e+01
5,11,3.763754e+01
5,12,3.934926e+01
5,13,4.071415e+01
5,14,4.180272e+01
5,15,4.266770e+01
6,1,6.955288e-03
6,2,7.737492e-02
6,3,8.286386e-01
6,4,4.755902e+00
6,5,1.204211e+01
6,6,1.916954e+01
6,7,2.488613e+01
6,8,2.932025e+01
6,9,3.277068e+01
6,10,3.548085e+01
6,11,3.762416e+01
6,12,3.932340e+01
6,13,4.066905e+01
6,14,4.173025e+01
6,15,4.255963e+01
7,1,7.076518e-03
7,2,7.813283e-02
7,3,8.324428e-01
7,4,4.761326e+00
7,5,1.204123e+01
7,6,1.916221e+01
7,7,2.487418e+01
7,8,2.930460e+01
7,9,3.275131e+01
7,10,3.545705e+01
7,11,3.759497e+01
7,12,3.928787e+01
7,13,4.062633e+01
7,14,4.167963e+01
7,15,4.250039e+01
8,1,7.191251e-03
8,2,7.885073e-02
8,3,8.361484e-01
8,4,4.768113e+00
8,5,1.204258e+01
8,6,1.915723e+01
8,7,2.486520e+01
8,8,2.929338e+01
8,9,3.273888e+01
8,10,3.544392e+01
8,11,3.758112e+01
8,12,3.927285e+01
8,13,4.060921e+01
8,14,4.165930e+01
8,15,4.247548e+01
9,1,7.206065e-03
9,2,7.903143e-02
9,3,8.369670e-01
9,4,4.769897e+00
9,5,1.204460e+01
9,6,1.915902e+01
9,7,2.486666e+01
9,8,2.929454e+01
9,9,3.273973e+01
9,10,3.544446e+01
9,11,3.758117e+01
9,12,3.927217e+01
9,13,4.060735e+01
9,14,4.165571e+01
9,15,4.246956e+01
10,1,7.212046e-03
10,2,7.906431e-02
10,3,8.370112e-01
10,4,4.769763e+00
10,5,1.204468e+01
10,6,1.915951e+01
10,7,2.486733e+01
10,8,2.929524e+01
10,9,3.274033e+01
10,10,3.544490e+01
10,11,3.758163e+01
10,12,3.927274e+01
10,13,4.060832e+01
10,14,4.165735e+01
10,15,4.247218e+01
11,1,7.213111e-03
11,2,7.909114e-02
11,3,8.373038e-01
11,4,4.770830e+00
11,5,1.204599e+01
11,6,1.916072e+01
11,7,2.486856e+01
11,8,2.929644e+01
11,9,3.274157e+01
11,10,3.544607e+01
11,11,3.758266e+01
11,12,3.927347e+01
11,13,4.060855e+01
11,14,4.165684e+01
11,15,4.247064e+01
