level,median_uA_um,sigma_log10,range_log10,spacing_log10,separable_from_prev
1,6.945659e-03,2.478907e-01,6.241792e-01,,False
2,7.731011e-02,1.997947e-01,4.916137e-01,1.046523e+00,True
3,8.282296e-01,1.260633e-01,3.501463e-01,1.029914e+00,True
4,4.758614e+00,5.721888e-02,1.831830e-01,7.593298e-01,True
5,1.204234e+01,3.962788e-02,1.642851e-01,4.032305e-01,True
6,1.915926e+01,3.203592e-02,1.193742e-01,2.016678e-01,True
7,2.486700e+01,2.650754e-02,9.027426e-02,1.132446e-01,True
8,2.929992e+01,2.252161e-02,7.204296e-02,7.124307e-02,True
9,3.276100e+01,1.962748e-02,6.300285e-02,4.849069e-02,False
10,3.546895e+01,1.750760e-02,5.620655e-02,3.449120e-02,False
11,3.761129e+01,1.596755e-02,5.133128e-02,2.546994e-02,False
12,3.932136e+01,1.488351e-02,4.788699e-02,1.931030e-02,False
13,4.068052e+01,1.417187e-02,4.553986e-02,1.475795e-02,False
14,4.175861e+01,1.376870e-02,4.408581e-02,1.135957e-02,False
15,4.260868e+01,1.362900e-02,4.337770e-02,8.752071e-03,False
