state,vds_idx,point,Vds_V,Vg_V,Id_uA_um
ers,0,0,5.000000e-02,-1.500000e+00,9.165691e-05
ers,0,1,5.000000e-02,-1.450000e+00,7.319781e-05
ers,0,2,5.000000e-02,-1.400000e+00,6.346822e-05
ers,0,3,5.000000e-02,-1.350000e+00,5.644587e-05
ers,0,4,5.000000e-02,-1.300000e+00,5.107192e-05
ers,0,5,5.000000e-02,-1.250000e+00,4.579991e-05
ers,0,6,5.000000e-02,-1.200000e+00,4.083142e-05
ers,0,7,5.000000e-02,-1.150000e+00,3.619545e-05
ers,0,8,5.000000e-02,-1.100000e+00,3.095643e-05
ers,0,9,5.000000e-02,-1.050000e+00,2.590585e-05
ers,0,10,5.000000e-02,-1.000000e+00,2.121907e-05
ers,0,11,5.000000e-02,-9.500000e-01,1.635063e-05
ers,0,12,5.000000e-02,-9.000000e-01,1.183071e-05
ers,0,13,5.000000e-02,-8.500000e-01,5.752332e-06
ers,0,14,5.000000e-02,-8.000000e-01,8.023034e-07
ers,0,15,5.000000e-02,-7.500000e-01,1.360651e-06
ers,0,16,5.000000e-02,-7.000000e-01,2.182384e-06
ers,0,17,5.000000e-02,-6.500000e-01,3.641725e-06
ers,0,18,5.000000e-02,-6.000000e-01,4.404471e-06
ers,0,19,5.000000e-02,-5.500000e-01,1.030818e-06
ers,0,20,5.000000e-02,-5.000000e-01,1.068882e-06
ers,0,21,5.000000e-02,-4.500000e-01,9.268203e-07
ers,0,22,5.000000e-02,-4.000000e-01,2.034094e-06
ers,0,23,5.000000e-02,-3.500000e-01,1.790562e-06
ers,0,24,5.000000e-02,-3.000000e-01,2.153975e-06
ers,0,25,5.000000e-02,-2.500000e-01,9.006282e-06
ers,0,26,5.000000e-02,-2.000000e-01,5.498582e-05
ers,0,27,5.000000e-02,-1.500000e-01,2.865398e-04
ers,0,28,5.000000e-02,-1.000000e-01,9.496154e-04
ers,0,29,5.000000e-02,-5.000000e-02,2.200346e-03
ers,0,30,5.000000e-02,0.000000e+00,4.406635e-03
ers,0,31,5.000000e-02,5.000000e-02,9.026148e-03
ers,0,32,5.000000e-02,1.000000e-01,2.197427e-02
ers,0,33,5.000000e-02,1.500000e-01,6.915255e-02
ers,0,34,5.000000e-02,2.000000e-01,2.865230e-01
ers,0,35,5.000000e-02,2.500000e-01,1.224683e+00
ers,0,36,5.000000e-02,3.000000e-01,4.399107e+00
ers,0,37,5.000000e-02,3.500000e-01,1.127626e+01
ers,0,38,5.000000e-02,4.000000e-01,2.020258e+01
ers,0,39,5.000000e-02,4.500000e-01,2.887604e+01
ers,0,40,5.000000e-02,5.000000e-01,3.585571e+01
ers,0,41,5.000000e-02,5.500000e-01,4.078815e+01
ers,0,42,5.000000e-02,6.000000e-01,4.484286e+01
ers,0,43,5.000000e-02,6.500000e-01,4.820079e+01
ers,0,44,5.000000e-02,7.000000e-01,5.062199e+01
ers,0,45,5.000000e-02,7.500000e-01,5.277530e+01
ers,0,46,5.000000e-02,8.000000e-01,5.468878e+01
ers,0,47,5.000000e-02,8.500000e-01,5.643126e+01
ers,0,48,5.000000e-02,9.000000e-01,5.801639e+01
ers,0,49,5.000000e-02,9.500000e-01,5.946490e+01
ers,0,50,5.000000e-02,1.000000e+00,6.078596e+01
ers,1,0,5.000000e-01,-1.500000e+00,1.075616e-04
ers,1,1,5.000000e-01,-1.450000e+00,9.998665e-05
ers,1,2,5.000000e-01,-1.400000e+00,9.556299e-05
ers,1,3,5.000000e-01,-1.350000e+00,9.166928e-05
ers,1,4,5.000000e-01,-1.300000e+00,8.763028e-05
ers,1,5,5.000000e-01,-1.250000e+00,8.368188e-05
ers,1,6,5.000000e-01,-1.200000e+00,7.965712e-05
ers,1,7,5.000000e-01,-1.150000e+00,7.519468e-05
ers,1,8,5.000000e-01,-1.100000e+00,7.073334e-05
ers,1,9,5.000000e-01,-1.050000e+00,6.685953e-05
ers,1,10,5.000000e-01,-1.000000e+00,6.281524e-05
ers,1,11,5.000000e-01,-9.500000e-01,5.821536e-05
ers,1,12,5.000000e-01,-9.000000e-01,5.326147e-05
ers,1,13,5.000000e-01,-8.500000e-01,4.850353e-05
ers,1,14,5.000000e-01,-8.000000e-01,4.421333e-05
ers,1,15,5.000000e-01,-7.500000e-01,3.922037e-05
ers,1,16,5.000000e-01,-7.000000e-01,3.374982e-05
ers,1,17,5.000000e-01,-6.500000e-01,2.868743e-05
ers,1,18,5.000000e-01,-6.000000e-01,2.317973e-05
ers,1,19,5.000000e-01,-5.500000e-01,1.798182e-05
ers,1,20,5.000000e-01,-5.000000e-01,1.292092e-05
ers,1,21,5.000000e-01,-4.500000e-01,7.794026e-06
ers,1,22,5.000000e-01,-4.000000e-01,1.323420e-06
ers,1,23,5.000000e-01,-3.500000e-01,5.677803e-06
ers,1,24,5.000000e-01,-3.000000e-01,6.365731e-06
ers,1,25,5.000000e-01,-2.500000e-01,9.472815e-07
ers,1,26,5.000000e-01,-2.000000e-01,4.432683e-05
ers,1,27,5.000000e-01,-1.500000e-01,2.748716e-04
ers,1,28,5.000000e-01,-1.000000e-01,1.062516e-03
