t_us,G_uA_um
0.000000e+00,6.112643e-02
2.500000e+00,1.864405e+00
5.000000e+00,3.504509e+00
7.500000e+00,4.269924e+00
1.000000e+01,4.605442e+00
1.250000e+01,4.747197e+00
1.500000e+01,4.797452e+00
1.750000e+01,4.803080e+00
2.000000e+01,4.789134e+00
2.250000e+01,4.768541e+00
2.500000e+01,4.747533e+00
2.750000e+01,4.728784e+00
3.000000e+01,4.713158e+00
3.250000e+01,4.700653e+00
3.500000e+01,4.690910e+00
3.750000e+01,4.683458e+00
4.000000e+01,4.677832e+00
4.250000e+01,4.673626e+00
4.500000e+01,4.670506e+00
4.750000e+01,4.668204e+00
5.000000e+01,4.666513e+00
5.250000e+01,4.665276e+00
5.500000e+01,4.664373e+00
5.750000e+01,4.663715e+00
6.000000e+01,4.663236e+00
6.250000e+01,4.662889e+00
6.500000e+01,4.662637e+00
6.750000e+01,4.662455e+00
7.000000e+01,4.662323e+00
7.250000e+01,4.662227e+00
7.500000e+01,4.662158e+00
7.750000e+01,4.662108e+00
8.000000e+01,4.662072e+00
8.250000e+01,4.662046e+00
8.500000e+01,4.662027e+00
8.750000e+01,4.662013e+00
9.000000e+01,4.662003e+00
9.250000e+01,4.661996e+00
9.500000e+01,4.661991e+00
9.750000e+01,4.661987e+00
1.000000e+02,4.661985e+00
