cycle,pulse_n,G_ltp_uA_um,G_ltd_uA_um
1,1,1.713481e-03,4.433720e+01
1,2,2.548982e-02,3.654582e+01
1,3,4.614129e-01,2.666276e+01
1,4,4.764186e+00,1.599876e+01
1,5,1.498773e+01,6.349634e+00
1,6,2.381949e+01,1.694418e+00
1,7,3.005035e+01,5.003247e-01
1,8,3.451067e+01,1.900329e-01
1,9,3.781501e+01,8.371379e-02
1,10,4.033388e+01,4.022094e-02
1,11,4.229617e+01,2.098342e-02
1,12,4.385023e+01,1.206130e-02
1,13,4.509668e+01,7.659304e-03
1,14,4.610631e+01,5.343711e-03
1,15,4.693053e+01,4.028292e-03
2,1,1.843576e-03,4.104049e+01
2,2,2.572120e-02,3.308505e+01
2,3,3.737532e-01,2.343609e+01
2,4,3.128427e+00,1.353896e+01
2,5,1.026717e+01,5.456167e+00
2,6,1.809498e+01,1.694911e+00
2,7,2.441042e+01,5.891403e-01
2,8,2.924942e+01,2.514263e-01
2,9,3.298753e+01,1.240892e-01
2,10,3.592459e+01,6.786705e-02
2,11,3.826559e+01,4.036160e-02
2,12,4.015104e+01,2.598325e-02
2,13,4.168232e+01,1.801717e-02
2,14,4.293439e+01,1.337193e-02
2,15,4.396310e+01,1.050480e-02
3,1,5.376542e-03,4.041824e+01
3,2,6.194930e-02,3.240613e+01
3,3,6.985864e-01,2.281601e+01
3,4,4.350671e+00,1.308064e+01
3,5,1.161218e+01,5.284072e+00
3,6,1.889341e+01,1.684921e+00
3,7,2.475721e+01,6.019843e-01
3,8,2.931049e+01,2.619344e-01
3,9,3.286604e+01,1.314505e-01
3,10,3.567819e+01,7.317166e-02
3,11,3.792894e+01,4.434973e-02
3,12,3.974662e+01,2.909143e-02
3,13,4.122548e+01,2.043746e-02
3,14,4.243516e+01,1.533149e-02
3,15,4.342978e+01,1.214217e-02
