pulse_n,G_250K_uA_um,G_300K_uA_um,G_350K_uA_um
1,6.588109e-05,6.384404e-04,3.283544e-04
2,7.872825e-05,7.056238e-04,3.196682e-04
3,1.314965e-04,9.690726e-04,3.134332e-04
4,3.153372e-04,1.704614e-03,3.196739e-04
5,9.419072e-04,3.708090e-03,3.608907e-04
6,3.074901e-03,9.134910e-03,5.109914e-04
7,9.956474e-03,2.361752e-02,1.006434e-03
8,2.989417e-02,6.112643e-02,2.525813e-03
9,8.256549e-02,1.509697e-01,6.773728e-03
10,2.204362e-01,3.502692e-01,1.814011e-02
11,5.806081e-01,7.759136e-01,4.855842e-02
12,1.439557e+00,1.635070e+00,1.256082e-01
13,3.136820e+00,3.166956e+00,3.032371e-01
14,5.800822e+00,5.455601e+00,6.799678e-01
15,9.183591e+00,8.316845e+00,1.413462e+00
