Vg_V,Id_erased_uA_um,Id_programmed_uA_um,Id_erased_total_uA_um,Id_programmed_total_uA_um,Py_erased_C_cm2,Py_programmed_C_cm2
-1.000000e+00,1.800240e-04,1.863068e-04,1.800240e-04,1.863068e-04,3.090959e-07,-1.949990e-06
-9.500000e-01,2.342408e-04,8.140550e-05,2.342408e-04,8.140550e-05,3.110117e-07,-1.972606e-06
-9.000000e-01,2.805301e-04,3.256923e-05,2.805301e-04,3.256923e-05,3.129249e-07,-1.994341e-06
-8.500000e-01,2.300930e-04,9.286551e-06,2.300930e-04,9.286551e-06,3.148263e-07,-2.015166e-06
-8.000000e-01,2.070290e-04,2.263860e-06,2.070290e-04,2.263860e-06,3.167100e-07,-2.035062e-06
-7.500000e-01,2.050469e-04,7.524911e-06,2.050469e-04,7.524911e-06,3.185718e-07,-2.054009e-06
-7.000000e-01,2.176320e-04,9.073478e-06,2.176320e-04,9.073478e-06,3.204072e-07,-2.071995e-06
-6.500000e-01,2.168739e-04,9.622465e-06,2.168739e-04,9.622464e-06,3.222121e-07,-2.089011e-06
-6.000000e-01,1.972186e-04,9.411484e-06,1.972186e-04,9.411484e-06,3.239816e-07,-2.105051e-06
-5.500000e-01,1.756001e-04,3.284751e-06,1.756001e-04,3.284752e-06,3.257112e-07,-2.120116e-06
-5.000000e-01,1.586931e-04,4.188175e-05,1.586931e-04,4.188175e-05,3.273960e-07,-2.134209e-06
-4.500000e-01,1.407890e-04,3.291187e-04,1.407890e-04,3.291187e-04,3.290313e-07,-2.147337e-06
-4.000000e-01,1.180157e-04,1.826997e-03,1.180157e-04,1.826997e-03,3.306125e-07,-2.159514e-06
-3.500000e-01,8.945349e-05,9.970264e-03,8.945348e-05,9.970264e-03,3.321357e-07,-2.170764e-06
-3.000000e-01,5.915609e-05,5.692323e-02,5.915609e-05,5.692323e-02,3.335977e-07,-2.181110e-06
-2.500000e-01,2.142299e-05,2.787926e-01,2.142299e-05,2.787926e-01,3.349965e-07,-2.190578e-06
-2.000000e-01,5.685649e-05,1.182049e+00,5.685650e-05,1.182049e+00,3.363315e-07,-2.199201e-06
-1.500000e-01,3.343464e-04,4.233265e+00,3.343464e-04,4.233265e+00,3.376028e-07,-2.207013e-06
-1.000000e-01,1.024140e-03,1.041854e+01,1.024140e-03,1.041854e+01,3.388090e-07,-2.214057e-06
-5.000000e-02,2.282002e-03,1.768938e+01,2.282002e-03,1.768938e+01,3.399446e-07,-2.220385e-06
0.000000e+00,4.503908e-03,2.436514e+01,4.503908e-03,2.436514e+01,3.410022e-07,-2.226058e-06
5.000000e-02,9.185351e-03,3.017489e+01,9.185351e-03,3.017489e+01,3.419745e-07,-2.231140e-06
1.000000e-01,2.238589e-02,3.526352e+01,2.238589e-02,3.526352e+01,3.428561e-07,-2.235699e-06
1.500000e-01,7.081978e-02,3.979483e+01,7.081978e-02,3.979483e+01,3.436440e-07,-2.239804e-06
2.000000e-01,2.942423e-01,4.392581e+01,2.942423e-01,4.392581e+01,3.443374e-07,-2.243524e-06
2.500000e-01,1.252053e+00,4.795847e+01,1.252053e+00,4.795847e+01,3.449369e-07,-2.246926e-06
3.000000e-01,4.469789e+00,5.141603e+01,4.469789e+00,5.141603e+01,3.454429e-07,-2.250074e-06
3.500000e-01,1.139514e+01,5.401402e+01,1.139514e+01,5.401402e+01,3.458547e-07,-2.253032e-06
4.000000e-01,2.034699e+01,5.600426e+01,2.034699e+01,5.600426e+01,3.461690e-07,-2.255861e-06
4.500000e-01,2.904521e+01,5.793428e+01,2.904521e+01,5.793428e+01,3.463800e-07,-2.258618e-06
5.000000e-01,3.599482e+01,5.975729e+01,3.599482e+01,5.975729e+01,3.464806e-07,-2.261348e-06
5.500000e-01,4.090795e+01,6.154284e+01,4.090795e+01,6.154284e+01,3.464622e-07,-2.264073e-06
6.000000e-01,4.495921e+01,6.271727e+01,4.495921e+01,6.271727e+01,3.463161e-07,-2.266804e-06
6.500000e-01,4.829623e+01,6.366759e+01,4.829623e+01,6.366759e+01,3.460328e-07,-2.269552e-06
7.000000e-01,5.071277e+01,6.459987e+01,5.071277e+01,6.459987e+01,3.456030e-07,-2.272327e-06
7.500000e-01,5.286014e+01,6.548412e+01,5.286014e+01,6.548412e+01,3.450169e-07,-2.275138e-06
8.000000e-01,5.477187e+01,6.631340e+01,5.477187e+01,6.631340e+01,3.442645e-07,-2.277995e-06
8.500000e-01,5.651042e+01,6.708741e+01,5.651042e+01,6.708741e+01,3.433358e-07,-2.280907e-06
9.000000e-01,5.809187e+01,6.780853e+01,5.809187e+01,6.780853e+01,3.422206e-07,-2.283884e-06
9.500000e-01,5.953438e+01,6.848013e+01,5.953438e+01,6.848013e+01,3.409085e-07,-2.286933e-06
1.000000e+00,6.085066e+01,6.910582e+01,6.085066e+01,6.910582e+01,3.393890e-07,-2.290065e-06
