state,vg_idx,point,Vg_V,Vds_V,Id_uA_um
ers,0,0,0.000000e+00,0.000000e+00,2.260693e-04
ers,0,1,0.000000e+00,5.000000e-02,3.019125e-03
ers,0,2,0.000000e+00,1.000000e-01,3.232057e-03
ers,0,3,0.000000e+00,1.500000e-01,3.077261e-03
ers,0,4,0.000000e+00,2.000000e-01,2.896610e-03
ers,0,5,0.000000e+00,2.500000e-01,2.736725e-03
ers,0,6,0.000000e+00,3.000000e-01,2.600474e-03
ers,0,7,0.000000e+00,3.500000e-01,2.484160e-03
ers,0,8,0.000000e+00,4.000000e-01,2.383791e-03
ers,0,9,0.000000e+00,4.500000e-01,2.296251e-03
ers,0,10,0.000000e+00,5.000000e-01,2.219229e-03
ers,0,11,0.000000e+00,5.500000e-01,2.150937e-03
ers,0,12,0.000000e+00,6.000000e-01,2.090268e-03
ers,0,13,0.000000e+00,6.500000e-01,2.035889e-03
ers,0,14,0.000000e+00,7.000000e-01,1.986770e-03
ers,0,15,0.000000e+00,7.500000e-01,1.943165e-03
ers,0,16,0.000000e+00,8.000000e-01,1.906380e-03
ers,0,17,0.000000e+00,8.500000e-01,1.875179e-03
ers,0,18,0.000000e+00,9.000000e-01,1.846882e-03
ers,0,19,0.000000e+00,9.500000e-01,1.821082e-03
ers,0,20,0.000000e+00,1.000000e+00,1.798084e-03
ers,1,0,2.000000e-01,0.000000e+00,4.090668e-06
ers,1,1,2.000000e-01,5.000000e-02,3.273477e-01
ers,1,2,2.000000e-01,1.000000e-01,4.017880e-01
ers,1,3,2.000000e-01,1.500000e-01,4.224158e-01
ers,1,4,2.000000e-01,2.000000e-01,4.313435e-01
ers,1,5,2.000000e-01,2.500000e-01,4.369919e-01
ers,1,6,2.000000e-01,3.000000e-01,4.413069e-01
ers,1,7,2.000000e-01,3.500000e-01,4.448662e-01
ers,1,8,2.000000e-01,4.000000e-01,4.478947e-01
ers,1,9,2.000000e-01,4.500000e-01,4.505051e-01
ers,1,10,2.000000e-01,5.000000e-01,4.528403e-01
ers,1,11,2.000000e-01,5.500000e-01,4.549303e-01
ers,1,12,2.000000e-01,6.000000e-01,4.567565e-01
ers,1,13,2.000000e-01,6.500000e-01,4.583445e-01
ers,1,14,2.000000e-01,7.000000e-01,4.597672e-01
ers,1,15,2.000000e-01,7.500000e-01,4.610808e-01
ers,1,16,2.000000e-01,8.000000e-01,4.622932e-01
ers,1,17,2.000000e-01,8.500000e-01,4.634004e-01
ers,1,18,2.000000e-01,9.000000e-01,4.644009e-01
ers,1,19,2.000000e-01,9.500000e-01,4.652997e-01
ers,1,20,2.000000e-01,1.000000e+00,4.661135e-01
ltp03,0,0,0.000000e+00,0.000000e+00,1.246542e-05
ltp03,0,1,0.000000e+00,5.000000e-02,1.623057e+00
ltp03,0,2,0.000000e+00,1.000000e-01,2.082805e+00
ltp03,0,3,0.000000e+00,1.500000e-01,2.251809e+00
ltp03,0,4,0.000000e+00,2.000000e-01,2.342857e+00
ltp03,0,5,0.000000e+00,2.500000e-01,2.406316e+00
ltp03,0,6,0.000000e+00,3.000000e-01,2.455783e+00
ltp03,0,7,0.000000e+00,3.500000e-01,2.495864e+00
ltp03,0,8,0.000000e+00,4.000000e-01,2.528551e+00
ltp03,0,9,0.000000e+00,4.500000e-01,2.554878e+00
ltp03,0,10,0.000000e+00,5.000000e-01,2.575422e+00
ltp03,0,11,0.000000e+00,5.500000e-01,2.590525e+00
ltp03,0,12,0.000000e+00,6.000000e-01,2.600505e+00
ltp03,0,13,0.000000e+00,6.500000e-01,2.605582e+00
ltp03,0,14,0.000000e+00,7.000000e-01,2.606513e+00
ltp03,0,15,0.000000e+00,7.500000e-01,2.603839e+00
ltp03,0,16,0.000000e+00,8.000000e-01,2.597843e+00
ltp03,0,17,0.000000e+00,8.500000e-01,2.588649e+00
ltp03,0,18,0.000000e+00,9.000000e-01,2.576479e+00
ltp03,0,19,0.000000e+00,9.500000e-01,2.561678e+00
ltp03,0,20,0.000000e+00,1.000000e+00,2.544672e+00
ltp03,1,0,2.000000e-01,0.000000e+00,4.755248e-06
ltp03,1,1,2.000000e-01,5.000000e-02,2.315344e+01
ltp03,1,2,2.000000e-01,1.000000e-01,4.067882e+01
ltp03,1,3,2.000000e-01,1.500000e-01,5.237825e+01
ltp03,1,4,2.000000e-01,2.000000e-01,5.890870e+01
ltp03,1,5,2.000000e-01,2.500000e-01,6.208205e+01
ltp03,1,6,2.000000e-01,3.000000e-01,6.369446e+01
ltp03,1,7,2.000000e-01,3.500000e-01,6.469225e+01
ltp03,1,8,2.000000e-01,4.000000e-01,6.538977e+01
ltp03,1,9,2.000000e-01,4.500000e-01,6.590366e+01
ltp03,1,10,2.000000e-01,5.000000e-01,6.628826e+01
ltp03,1,11,2.000000e-01,5.500000e-01,6.657451e+01
ltp03,1,12,2.000000e-01,6.000000e-01,6.678203e+01
ltp03,1,13,2.000000e-01,6.500000e-01,6.692353e+01
ltp03,1,14,2.000000e-01,7.000000e-01,6.700725e+01
ltp03,1,15,2.000000e-01,7.500000e-01,6.703713e+01
ltp03,1,16,2.000000e-01,8.000000e-01,6.701869e+01
ltp03,1,17,2.000000e-01,8.500000e-01,6.695776e+01
ltp03,1,18,2.000000e-01,9.000000e-01,6.685515e+01
ltp03,1,19,2.000000e-01,9.500000e-01,6.672293e+01
ltp03,1,20,2.000000e-01,1.000000e+00,6.656492e+01
ltp06,0,0,0.000000e+00,0.000000e+00,4.214344e-05
ltp06,0,1,0.000000e+00,5.000000e-02,8.981553e-01
ltp06,0,2,0.000000e+00,1.000000e-01,1.218095e+00
ltp06,0,3,0.000000e+00,1.500000e-01,1.400743e+00
ltp06,0,4,0.000000e+00,2.000000e-01,1.550336e+00
ltp06,0,5,0.000000e+00,2.500000e-01,1.692044e+00
ltp06,0,6,0.000000e+00,3.000000e-01,1.832205e+00
ltp06,0,7,0.000000e+00,3.500000e-01,1.972420e+00
ltp06,0,8,0.000000e+00,4.000000e-01,2.112927e+00
ltp06,0,9,0.000000e+00,4.500000e-01,2.253478e+00
ltp06,0,10,0.000000e+00,5.000000e-01,2.393593e+00
ltp06,0,11,0.000000e+00,5.500000e-01,2.532636e+00
ltp06,0,12,0.000000e+00,6.000000e-01,2.669992e+00
ltp06,0,13,0.000000e+00,6.500000e-01,2.805024e+00
ltp06,0,14,0.000000e+00,7.000000e-01,2.937228e+00
ltp06,0,15,0.000000e+00,7.500000e-01,3.066490e+00
ltp06,0,16,0.000000e+00,8.000000e-01,3.192511e+00
ltp06,0,17,0.000000e+00,8.500000e-01,3.314855e+00
ltp06,0,18,0.000000e+00,9.000000e-01,3.433071e+00
ltp06,0,19,0.000000e+00,9.500000e-01,3.546857e+00
ltp06,0,20,0.000000e+00,1.000000e+00,3.656050e+00
