t_s,G_uA_um,t_rel_s,equivalent_reads
1.020400e-05,1.597868e+01,0.000000e+00,0.000000e+00
1.020900e-05,1.602743e+01,5.000000e-09,5.000000e-02
1.021400e-05,1.607594e+01,1.000000e-08,1.000000e-01
1.021900e-05,1.612426e+01,1.500000e-08,1.500000e-01
1.022400e-05,1.617239e+01,2.000000e-08,2.000000e-01
1.022900e-05,1.622032e+01,2.500000e-08,2.500000e-01
1.023400e-05,1.626806e+01,3.000000e-08,3.000000e-01
1.023900e-05,1.631560e+01,3.500000e-08,3.500000e-01
1.024400e-05,1.636296e+01,4.000000e-08,4.000000e-01
1.024900e-05,1.641011e+01,4.500000e-08,4.500000e-01
1.025400e-05,1.645707e+01,5.000000e-08,5.000000e-01
1.025900e-05,1.650384e+01,5.500000e-08,5.500000e-01
1.026400e-05,1.655041e+01,6.000000e-08,6.000000e-01
1.026900e-05,1.659678e+01,6.500000e-08,6.500000e-01
1.027400e-05,1.664296e+01,7.000000e-08,7.000000e-01
1.027900e-05,1.668894e+01,7.500000e-08,7.500000e-01
1.028400e-05,1.673473e+01,8.000000e-08,8.000000e-01
1.028900e-05,1.678032e+01,8.500000e-08,8.500000e-01
1.029400e-05,1.682571e+01,9.000000e-08,9.000000e-01
1.029900e-05,1.687091e+01,9.500000e-08,9.500000e-01
1.030400e-05,1.691591e+01,1.000000e-07,1.000000e+00
1.030400e-05,1.691591e+01,1.000000e-07,1.000000e+00
1.034900e-05,1.731115e+01,1.450000e-07,1.450000e+00
1.039400e-05,1.768839e+01,1.900000e-07,1.900000e+00
1.043900e-05,1.804715e+01,2.350000e-07,2.350000e+00
1.048400e-05,1.838997e+01,2.800000e-07,2.800000e+00
1.052900e-05,1.871698e+01,3.250000e-07,3.250000e+00
1.057400e-05,1.902838e+01,3.700000e-07,3.700000e+00
1.061900e-05,1.932437e+01,4.150000e-07,4.150000e+00
1.066400e-05,1.960521e+01,4.600000e-07,4.600000e+00
1.070900e-05,1.987117e+01,5.050000e-07,5.050000e+00
1.075400e-05,2.012256e+01,5.500000e-07,5.500000e+00
1.079900e-05,2.035969e+01,5.950000e-07,5.950000e+00
1.084400e-05,2.058289e+01,6.400000e-07,6.400000e+00
1.088900e-05,2.079251e+01,6.850000e-07,6.850000e+00
1.093400e-05,2.098890e+01,7.300000e-07,7.300000e+00
1.097900e-05,2.117242e+01,7.750000e-07,7.750000e+00
1.102400e-05,2.134343e+01,8.200000e-07,8.200000e+00
