seg,t_s,G_uA_um,t_rel_s,node,T_K,state
hold,1.000400e-05,1.541901e+01,0.000000e+00,t12_ret,300,programmed
hold,1.000400e-05,1.541901e+01,0.000000e+00,t12_ret,300,programmed
hold,1.000900e-05,1.484973e+01,5.000000e-09,t12_ret,300,programmed
hold,1.000900e-05,1.484973e+01,5.000000e-09,t12_ret,300,programmed
hold,1.001400e-05,1.490426e+01,1.000000e-08,t12_ret,300,programmed
hold,1.001400e-05,1.490426e+01,1.000000e-08,t12_ret,300,programmed
hold,1.001900e-05,1.495667e+01,1.500000e-08,t12_ret,300,programmed
hold,1.001900e-05,1.495667e+01,1.500000e-08,t12_ret,300,programmed
hold,1.002400e-05,1.500870e+01,2.000000e-08,t12_ret,300,programmed
hold,1.002400e-05,1.500870e+01,2.000000e-08,t12_ret,300,programmed
hold,1.002900e-05,1.506051e+01,2.500000e-08,t12_ret,300,programmed
hold,1.002900e-05,1.506051e+01,2.500000e-08,t12_ret,300,programmed
hold,1.003400e-05,1.511213e+01,3.000000e-08,t12_ret,300,programmed
hold,1.003400e-05,1.511213e+01,3.000000e-08,t12_ret,300,programmed
hold,1.003900e-05,1.516357e+01,3.500000e-08,t12_ret,300,programmed
hold,1.003900e-05,1.516357e+01,3.500000e-08,t12_ret,300,programmed
hold,1.004400e-05,1.521483e+01,4.000000e-08,t12_ret,300,programmed
hold,1.004400e-05,1.521483e+01,4.000000e-08,t12_ret,300,programmed
hold,1.004900e-05,1.526590e+01,4.500000e-08,t12_ret,300,programmed
hold,1.004900e-05,1.526590e+01,4.500000e-08,t12_ret,300,programmed
hold,1.005400e-05,1.531679e+01,5.000000e-08,t12_ret,300,programmed
hold,1.005400e-05,1.531679e+01,5.000000e-08,t12_ret,300,programmed
hold,1.005900e-05,1.536749e+01,5.500000e-08,t12_ret,300,programmed
hold,1.005900e-05,1.536749e+01,5.500000e-08,t12_ret,300,programmed
hold,1.006400e-05,1.541801e+01,6.000000e-08,t12_ret,300,programmed
