Vg_V,Id_erased_uA_um,Id_programmed_uA_um
-4.000000e-01,2.440891e-04,3.764329e-04
-3.500000e-01,1.100895e-04,1.966785e-03
-3.000000e-01,6.088843e-05,1.248346e-02
-2.500000e-01,1.564487e-05,7.770082e-02
-2.000000e-01,7.988336e-05,3.958883e-01
-1.500000e-01,4.075369e-04,1.756255e+00
-1.000000e-01,1.169912e-03,6.133012e+00
-5.000000e-02,2.523704e-03,1.342754e+01
-0.000000e+00,4.922035e-03,2.095370e+01
5.000000e-02,1.013585e-02,2.759660e+01
1.000000e-01,2.537457e-02,3.334925e+01
1.500000e-01,8.367863e-02,3.839149e+01
2.000000e-01,3.554945e-01,4.291882e+01
2.500000e-01,1.489068e+00,4.729902e+01
3.000000e-01,5.127810e+00,5.088573e+01
3.500000e-01,1.247469e+01,5.359268e+01
4.000000e-01,2.151561e+01,5.573343e+01
4.500000e-01,3.018378e+01,5.777458e+01
5.000000e-01,3.679943e+01,5.970013e+01
