node,id_base_uA_um,G1_uA_um,G2_uA_um,G3_uA_um,G4_uA_um,G5_uA_um,G6_uA_um,G7_uA_um,G8_uA_um,G9_uA_um,G10_uA_um,G11_uA_um,G12_uA_um,G13_uA_um,G14_uA_um,G15_uA_um
v_01,2.787471e-03,3.823494e-04,4.532856e-04,7.055695e-04,1.381246e-03,3.082822e-03,7.234886e-03,1.726347e-02,4.058167e-02,9.072937e-02,1.905897e-01,3.802889e-01,7.297768e-01,1.343061e+00,2.329788e+00,3.745312e+00
v_02,2.843275e-03,3.891144e-04,4.620902e-04,7.258080e-04,1.440705e-03,3.265791e-03,7.804454e-03,1.903324e-02,4.564444e-02,1.035490e-01,2.202543e-01,4.455407e-01,8.664640e-01,1.606654e+00,2.780047e+00,4.416505e+00
v_03,2.848540e-03,3.818074e-04,4.504855e-04,7.077715e-04,1.416375e-03,3.253733e-03,7.911098e-03,1.970895e-02,4.825714e-02,1.113097e-01,2.402462e-01,4.933312e-01,9.729933e-01,1.819196e+00,3.146341e+00,4.958246e+00
v_04,5.549634e-03,1.520173e-03,1.917456e-03,3.172636e-03,6.352771e-03,1.432397e-02,3.442419e-02,8.239114e-02,1.873498e-01,4.047121e-01,8.397823e-01,1.656489e+00,3.018582e+00,4.970271e+00,7.381828e+00,1.002543e+01
v_05,5.839375e-03,1.573565e-03,1.973556e-03,3.293617e-03,6.734392e-03,1.568858e-02,3.917201e-02,9.697300e-02,2.271617e-01,5.061563e-01,1.081550e+00,2.165230e+00,3.914788e+00,6.285279e+00,9.039641e+00,1.190196e+01
v_06,1.250300e-02,6.261375e-03,8.046713e-03,1.350352e-02,2.759185e-02,6.316030e-02,1.491720e-01,3.463707e-01,7.789802e-01,1.664629e+00,3.245635e+00,5.593190e+00,8.507590e+00,1.165522e+01,1.475833e+01,1.766128e+01
v_07,1.321786e-02,6.648318e-03,8.567609e-03,1.451719e-02,3.010444e-02,6.997686e-02,1.675700e-01,3.950493e-01,9.029680e-01,1.945458e+00,3.769222e+00,6.381733e+00,9.501905e+00,1.276548e+01,1.591152e+01,1.881311e+01
v_08,1.374808e-02,6.820676e-03,8.749312e-03,1.487877e-02,3.118411e-02,7.346036e-02,1.782685e-01,4.266348e-01,9.911908e-01,2.156417e+00,4.168895e+00,6.979338e+00,1.024452e+01,1.358373e+01,1.675319e+01,1.964806e+01
v_09,2.286323e-03,2.253576e-04,2.469643e-04,3.367492e-04,5.912095e-04,1.253749e-03,2.867205e-03,6.571524e-03,1.490503e-02,3.315669e-02,7.034242e-02,1.401933e-01,2.644047e-01,4.791809e-01,8.416174e-01,1.426280e+00
v_10,2.317538e-03,2.224309e-04,2.424671e-04,3.317734e-04,5.931518e-04,1.294900e-03,3.057321e-03,7.268059e-03,1.721614e-02,3.983792e-02,8.699393e-02,1.773987e-01,3.427611e-01,6.381079e-01,1.148042e+00,1.969846e+00
v_11,7.980668e-03,2.816788e-03,3.561553e-03,5.824535e-03,1.145767e-02,2.544400e-02,5.951378e-02,1.365207e-01,2.984551e-01,6.278363e-01,1.272989e+00,2.425665e+00,4.206214e+00,6.550593e+00,9.237423e+00,1.201945e+01
v_12,8.516749e-03,2.958086e-03,3.715001e-03,6.119651e-03,1.229928e-02,2.820132e-02,6.810476e-02,1.605240e-01,3.609095e-01,7.833653e-01,1.628028e+00,3.115947e+00,5.311348e+00,8.033994e+00,1.098275e+01,1.390389e+01
v_13,1.920560e-03,1.782655e-04,1.815358e-04,2.088941e-04,2.979925e-04,5.442179e-04,1.171843e-03,2.622018e-03,5.724081e-03,1.226955e-02,2.587417e-02,5.244425e-02,1.002797e-01,1.810280e-01,3.124817e-01,5.223546e-01
v_14,1.943172e-03,1.781785e-04,1.814222e-04,2.094183e-04,3.019107e-04,5.615227e-04,1.233161e-03,2.806459e-03,6.236216e-03,1.364846e-02,2.934176e-02,6.026172e-02,1.162385e-01,2.115933e-01,3.690392e-01,6.244272e-01
v_15,1.938604e-03,1.761807e-04,1.786035e-04,2.048295e-04,2.941748e-04,5.500204e-04,1.224108e-03,2.830561e-03,6.403148e-03,1.430435e-02,3.135779e-02,6.535867e-02,1.274914e-01,2.346129e-01,4.142338e-01,7.100942e-01
v_16,3.193255e-03,3.636285e-04,4.165822e-04,6.087669e-04,1.122150e-03,2.385478e-03,5.314786e-03,1.196793e-02,2.685379e-02,5.812108e-02,1.181988e-01,2.262732e-01,4.150302e-01,7.395222e-01,1.279561e+00,2.120355e+00
v_17,3.256680e-03,3.621476e-04,4.128209e-04,6.073284e-04,1.141153e-03,2.488711e-03,5.714115e-03,1.337901e-02,3.128763e-02,6.987490e-02,1.453607e-01,2.845256e-01,5.358510e-01,9.812142e-01,1.729694e+00,2.873649e+00
v_18,5.563958e-03,1.275576e-03,1.578043e-03,2.527331e-03,4.844897e-03,1.031957e-02,2.343624e-02,5.371179e-02,1.172586e-01,2.410325e-01,4.748647e-01,9.091379e-01,1.676812e+00,2.905445e+00,4.631118e+00,6.758710e+00
v_19,5.720443e-03,1.318278e-03,1.631226e-03,2.628175e-03,5.088842e-03,1.100427e-02,2.547480e-02,5.936524e-02,1.311934e-01,2.728058e-01,5.451663e-01,1.058673e+00,1.967458e+00,3.396796e+00,5.345168e+00,7.667534e+00
v_20,5.806590e-03,1.312205e-03,1.612906e-03,2.600080e-03,5.069627e-03,1.110751e-02,2.617998e-02,6.207951e-02,1.391211e-01,2.930296e-01,5.942203e-01,1.170540e+00,2.193446e+00,3.783170e+00,5.903141e+00,8.368627e+00
